policy_id,horizon_ms,minimum_leg_move_bps,minimum_consensus_sum_bps,maximum_signed_xau_response_ratio,minimum_source_quote_count,eligible_full_weekdays,candidates,candidates_per_full_weekday,active_days,active_day_share,long_candidates,short_candidates,minority_direction_share,selection_eligible
H01000__LM025__CS030__RR050__QC05,1000,0.25,0.3,0.5,5,44,44,1.0,44,1.0,24,20,0.45454545454545453,True
H01000__LM025__CS030__RR075__QC02,1000,0.25,0.3,0.75,2,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
H01000__LM025__CS030__RR075__QC05,1000,0.25,0.3,0.75,5,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
H01000__LM025__CS040__RR000__QC02,1000,0.25,0.4,0.0,2,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
H01000__LM025__CS040__RR000__QC05,1000,0.25,0.4,0.0,5,44,37,0.8409090909090909,37,0.8409090909090909,21,16,0.43243243243243246,True
H01000__LM025__CS040__RR025__QC02,1000,0.25,0.4,0.25,2,44,44,1.0,44,1.0,24,20,0.45454545454545453,True
H01000__LM025__CS040__RR025__QC05,1000,0.25,0.4,0.25,5,44,43,0.9772727272727273,43,0.9772727272727273,25,18,0.4186046511627907,True
H01000__LM025__CS040__RR050__QC02,1000,0.25,0.4,0.5,2,44,44,1.0,44,1.0,28,16,0.36363636363636365,True
H01000__LM025__CS040__RR050__QC05,1000,0.25,0.4,0.5,5,44,44,1.0,44,1.0,24,20,0.45454545454545453,True
H01000__LM025__CS040__RR075__QC02,1000,0.25,0.4,0.75,2,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
H01000__LM025__CS040__RR075__QC05,1000,0.25,0.4,0.75,5,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
H01000__LM025__CS050__RR000__QC02,1000,0.25,0.5,0.0,2,44,44,1.0,44,1.0,25,19,0.4318181818181818,True
H01000__LM025__CS050__RR000__QC05,1000,0.25,0.5,0.0,5,44,37,0.8409090909090909,37,0.8409090909090909,21,16,0.43243243243243246,True
H01000__LM025__CS050__RR025__QC02,1000,0.25,0.5,0.25,2,44,44,1.0,44,1.0,24,20,0.45454545454545453,True
H01000__LM025__CS050__RR025__QC05,1000,0.25,0.5,0.25,5,44,43,0.9772727272727273,43,0.9772727272727273,25,18,0.4186046511627907,True
