prediction_index,fallback_entry_time_utc,fallback_side,fallback_sleeve,oracle_index,oracle_entry_time_utc,oracle_trade_number,absolute_delta_minutes,variant
204,2022-03-07 00:00:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,3309,2022-03-07 00:05:00+00:00,2,5.0,MACRO_SURPRISE_CARRY
205,2022-03-07 00:15:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,3311,2022-03-07 00:15:00+00:00,4,0.0,MACRO_SURPRISE_CARRY
208,2022-03-17 00:00:00+00:00,LONG,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,3340,2022-03-17 00:00:00+00:00,1,0.0,MACRO_SURPRISE_CARRY
209,2022-03-17 00:15:00+00:00,LONG,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,3342,2022-03-17 00:20:00+00:00,3,5.0,MACRO_SURPRISE_CARRY
210,2022-03-17 00:30:00+00:00,LONG,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,3343,2022-03-17 00:25:00+00:00,4,5.0,MACRO_SURPRISE_CARRY
212,2022-03-18 00:00:00+00:00,LONG,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,3344,2022-03-18 00:00:00+00:00,1,0.0,MACRO_SURPRISE_CARRY
213,2022-03-18 00:15:00+00:00,LONG,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,3346,2022-03-18 00:10:00+00:00,3,5.0,MACRO_SURPRISE_CARRY
224,2022-06-06 00:00:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,3568,2022-06-06 00:10:00+00:00,1,10.0,MACRO_SURPRISE_CARRY
225,2022-06-06 00:15:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,3569,2022-06-06 00:15:00+00:00,2,0.0,MACRO_SURPRISE_CARRY
226,2022-06-06 00:30:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,3571,2022-06-06 00:25:00+00:00,4,5.0,MACRO_SURPRISE_CARRY
228,2022-07-14 00:00:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,3681,2022-07-14 00:10:00+00:00,2,10.0,MACRO_SURPRISE_CARRY
229,2022-07-14 00:15:00+00:00,SHORT,N39_NEUTRAL_CONSENSUS_SURPRISE_FAMILY,3682,2022-07-14 00:15:00+00:00,3,0.0,MACRO_SURPRISE_CARRY
