policy_id,attempt_no,timeframe,mechanic,entry_time,exit_time,direction,entry_price,exit_price,initial_stop,final_stop,initial_risk_price,risk_usd,entry_spread,entry_spread_r,exit_reason,gross_r,extra_cost_r,stress_net_r,holding_minutes,current_account_feasible
H4_TSMOM_60_TRAIL,11096,H4,TSMOM,2016-09-28 04:00:00+00:00,2016-09-28 08:00:00+00:00,LONG,1325.719,1323.059,1314.6254311782823,1314.6254311782823,11.093568821717872,11.093568821717872,0.2599999999999909,0.02343700248120236,SIGNAL_EXIT,-0.239778563846163,0.03230099700935054,-0.32207956085551354,240.0,False
H4_TSMOM_120_TRAIL,11097,H4,TSMOM,2016-09-28 04:00:00+00:00,2016-09-30 04:00:00+00:00,LONG,1325.719,1322.248,1312.4067174139386,1312.4067174139386,13.312282586061446,13.312282586061446,0.2599999999999909,0.019530835401001968,SIGNAL_EXIT,-0.26073665260338563,0.07511859769616404,-0.38585525029954965,2880.0,False
H4_DONCHIAN_20_10_TRAIL,11094,H4,DONCHIAN,2016-09-28 08:00:00+00:00,2016-10-10 01:00:00+00:00,SHORT,1323.059,1262.0768889288524,1334.0594528806319,1262.0768889288524,11.000452880631993,11.000452880631993,0.25,0.022726337062009862,STOP,5.543600043823288,0.39979414614919007,5.093805897674097,16860.0,False
H4_TSMOM_60_TRAIL,11096,H4,TSMOM,2016-09-29 00:00:00+00:00,2016-09-30 17:30:00+00:00,LONG,1323.742,1314.3379497381638,1312.3749440477698,1314.3379497381638,11.367055952230245,11.367055952230245,0.2839999999998781,0.024984481574946114,STOP,-0.8273074665380723,0.07963436945656358,-0.9569418359946359,2490.0,False
H4_TSMOM_120_TRAIL,11097,H4,TSMOM,2016-09-30 20:00:00+00:00,2016-10-13 03:20:00+00:00,SHORT,1317.459,1261.3328416969075,1332.1859603613073,1261.3328416969075,14.72696036130709,14.72696036130709,0.2619999999999436,0.017790500793925534,STOP,3.811116274241882,0.3128238503682341,3.4482924238736476,17720.0,False
H4_TSMOM_60_TRAIL,11096,H4,TSMOM,2016-10-03 08:00:00+00:00,2016-10-03 16:00:00+00:00,LONG,1316.522,1311.652,1305.0302618424691,1305.0302618424691,11.49173815753078,11.49173815753078,0.2619999999999436,0.022798987969304668,SIGNAL_EXIT,-0.423782715307386,0.03625793252116662,-0.5100406478285526,480.0,False
H4_TSMOM_60_TRAIL,11096,H4,TSMOM,2016-10-04 08:00:00+00:00,2016-10-10 01:00:00+00:00,SHORT,1307.993,1262.0768889288524,1319.240019648943,1262.0768889288524,11.247019648943017,11.247019648943017,0.28899999999998727,0.02569569619513799,STOP,4.082513635108893,0.20431338598066928,3.828200249128224,8220.0,False
H4_DONCHIAN_55_20_TRAIL,11095,H4,DONCHIAN,2016-10-04 16:00:00+00:00,2016-10-13 03:20:00+00:00,SHORT,1277.17,1261.3328416969075,1294.9173822798055,1261.3328416969075,17.747382279805343,17.747382279805343,0.17099999999982174,0.009635223792660496,STOP,0.8923658742119726,0.1839864452287885,0.658379428983184,12200.0,False
D1_DONCHIAN_20_10_TRAIL,11098,D1,DONCHIAN,2016-10-05 00:00:00+00:00,2016-10-28 17:55:00+00:00,SHORT,1268.129,1281.1315134455913,1299.7001357041054,1281.1315134455913,31.571135704105536,31.571135704105536,0.36000000000012733,0.011402820708578837,STOP,-0.41184813772475465,0.27275815488330385,-0.7346062926080585,34195.0,False
D1_DONCHIAN_55_20_TRAIL,11099,D1,DONCHIAN,2016-10-05 00:00:00+00:00,2016-11-01 11:55:00+00:00,SHORT,1268.129,1287.7102656865231,1307.5929196301317,1287.7102656865231,39.46391963013192,39.46391963013192,0.36000000000012733,0.00912225656686307,STOP,-0.4961814708230943,0.2514647509733196,-0.797646221796414,39595.0,False
