strategy_id,setup_episode_id,UTC_date,chronological_segment,direction,signal_time,entry_time,entry_bid,entry_ask,entry_price,entry_spread,stop,target,initial_risk_price,exit_time,exit_bid,exit_ask,exit_price,exit_spread,exit_reason,gross_R,baseline_net_R,stress_incremental_entry_spread_R,stress_incremental_exit_spread_R,stress_slippage_R,stress_net_R,broker_transfer_diagnostic_R,MFE_R,MAE_R,holding_minutes,stop_gap,target_gap,identical_timestamp_ambiguity,forced_exit,Capital_contract_minimum_loss,Capital_required_margin,Capital_account_feasible,Capital_rejection_reason,entry_delay_minutes
XAU_V2_LONDON_SESSION_SWEEP_RECLAIM,E-2024-01-09,2024-01-09,DEVELOPMENT,SHORT,2024-01-09T08:15:00.000Z,2024-01-09T08:15:00.099Z,2032.345,2032.685,2032.345,0.34,2038.50394763,2021.56684164,6.15894763274,2024-01-09T10:25:50.898Z,2038.235,2038.535,2038.535,0.3,STOP,-1.00504183005,-1.00504183005,0.0162365400655,0.0227311560916,0.05,-1.09400952621,-1.15504183005,0.13151597453,-1.00504183005,130.84665,true,false,false,false,,,,,0.00165
XAU_V2_LONDON_SESSION_SWEEP_RECLAIM,E-2024-01-12,2024-01-12,DEVELOPMENT,SHORT,2024-01-12T07:45:00.000Z,2024-01-12T07:45:00.041Z,2036.415,2036.785,2036.415,0.37,2039.61287812,2030.81871329,3.19787811903,2024-01-12T08:07:03.176Z,2039.345,2039.685,2039.685,0.34,STOP,-1.02255304245,-1.02255304245,0.0218895146702,0.0312707352432,0.05,-1.12571329237,-1.17255304245,0.178243190886,-1.02255304245,22.05225,true,false,false,false,,,,,0.000683333333333
XAU_V2_INTRADAY_IMPULSE_CONTINUATION,F-1705503600000,2024-01-17,DEVELOPMENT,SHORT,2024-01-17T15:20:00.000Z,2024-01-17T15:20:00.097Z,2010.655,2011.025,2010.655,0.37,2014.52825966,2002.90848068,3.87325965848,2024-01-17T18:19:55.452Z,2002.575,2002.895,2002.90848068,0.32,TARGET,2,2,0.018072632917,0.0309816564292,0.05,1.90094571065,1.85,2.00348044909,-0.444070408818,179.922583333,false,true,false,false,,,,,0.00161666666667
XAU_V2_LONDON_SESSION_SWEEP_RECLAIM,E-2024-01-18,2024-01-18,DEVELOPMENT,SHORT,2024-01-18T07:30:00.000Z,2024-01-18T07:30:00.821Z,2011.385,2011.705,2011.385,0.32,2013.6161268,2007.48052809,2.23112680372,2024-01-18T07:38:55.606Z,2013.285,2013.625,2013.625,0.34,STOP,-1.00397700223,-1.00397700223,0.0537844822625,0.0448204018855,0.05,-1.15258188638,-1.15397700223,0,-1.00397700223,8.91308333333,true,false,false,false,,,,,0.0136833333333
XAU_V2_H1_FAILED_AUCTION_REVERSAL,D-1705903200000-LONG,2024-01-22,DEVELOPMENT,LONG,2024-01-22T06:30:00.000Z,2024-01-22T06:30:00.139Z,2024.115,2024.475,2024.475,0.36,2019.91829365,2031.325,4.55670635334,2024-01-22T07:00:42.856Z,2019.885,2020.195,2019.885,0.31,STOP,-1.00730651573,-1.00730651573,0.0175565405792,0.0285293784412,0.05,-1.10339243475,-1.15730651573,0,-1.00730651573,30.71195,true,false,false,false,,,,,0.00231666666667
XAU_V2_H1_FAILED_AUCTION_REVERSAL,D-1706086800000-SHORT,2024-01-24,DEVELOPMENT,SHORT,2024-01-24T10:00:00.000Z,2024-01-24T10:00:00.216Z,2030.735,2031.025,2030.735,0.29,2032.69563991,2026.57,1.96063991124,2024-01-24T10:55:57.982Z,2032.405,2032.745,2032.745,0.34,STOP,-1.02517549933,-1.02517549933,0.0765056342779,0.0510037561854,0.05,-1.20268488979,-1.17517549933,0.617145449843,-1.02517549933,55.9627666667,true,false,false,false,,,,,0.0036
XAU_V2_LONDON_SESSION_SWEEP_RECLAIM,E-2024-01-25,2024-01-25,DEVELOPMENT,LONG,2024-01-25T08:45:00.000Z,2024-01-25T08:45:00.528Z,2014.645,2014.985,2014.985,0.34,2012.82353124,2018.76757033,2.16146875948,2024-01-25T09:09:05.215Z,2012.815,2013.155,2012.815,0.34,STOP,-1.00394696452,-1.00394696452,0.0462648370749,0.0462648370749,0.05,-1.14647663867,-1.15394696452,0,-1.00394696452,24.0781166667,true,false,false,false,,,,,0.0088
XAU_V2_LONDON_SESSION_SWEEP_RECLAIM,E-2024-01-26,2024-01-26,DEVELOPMENT,LONG,2024-01-26T09:30:00.000Z,2024-01-26T09:30:00.284Z,2019.725,2020.015,2020.015,0.29,2018.30118234,2023.01418091,1.7138176628,2024-01-26T10:46:54.658Z,2023.065,2023.355,2023.01418091,0.29,TARGET,1.75,1.75,0.0875238966523,0.0875238966524,0.05,1.5249522067,1.6,1.77965256527,-0.239231984183,76.9062333333,false,true,false,false,,,,,0.00473333333333
XAU_V2_INTRADAY_IMPULSE_CONTINUATION,F-1706535900000,2024-01-29,DEVELOPMENT,LONG,2024-01-29T14:05:00.000Z,2024-01-29T14:05:01.237Z,2035.925,2036.215,2036.215,0.29,2035.0634182,2038.5181636,1.1515818012,2024-01-29T14:17:59.014Z,2034.975,2035.285,2034.975,0.31,STOP,-1.07677978126,-1.07677978126,0.130255618701,0.112888202874,0.05,-1.36992360283,-1.22677978126,0.390766856102,-1.07677978126,12.96295,true,false,false,false,,,,,0.0206166666667
XAU_V2_H1_FAILED_AUCTION_REVERSAL,D-1706536800000-SHORT,2024-01-29,DEVELOPMENT,SHORT,2024-01-29T14:30:00.000Z,2024-01-29T14:30:00.092Z,2032.865,2033.135,2032.865,0.27,2036.16086856,2024.985,3.29586855585,2024-01-29T14:40:50.744Z,2024.354,2024.665,2024.985,0.311,TARGET,2.39087204677,2.39087204677,0.0515797268973,0.0391399104103,0.05,2.25015240946,2.24087204677,2.4879632974,-0.0840446138268,10.8442,false,true,false,false,,,,,0.00153333333333
