record_type,symbol,month,basis,timeframe,item_count,first_utc,last_utc,relative_path,bytes,sha256,contract_normalized_sha256
BARS,XAUUSD,2021-12,Mid,H1,505,2021-12-01T00:00:00.000Z,2021-12-31T21:00:00.000Z,bars/XAUUSD/mid/H1/year=2021/month=12/bars.parquet,17416,15561c05f756ae8a839a5de6b21a51cf8416842bfeb8680a54eec3ecb4dbe622,
BARS,XAUUSD,2021-12,Mid,H4,136,2021-12-01T00:00:00.000Z,2021-12-31T20:00:00.000Z,bars/XAUUSD/mid/H4/year=2021/month=12/bars.parquet,7503,121e81410878c4cf2ca516eef561ed70bf6027be9555dccb5185812051a787bd,
TICKS,XAUUSD,2022-01,Bid/Ask,TICK,4049409,2022-01-02T23:00:00.245Z,2022-01-31T23:59:59.310Z,normalized/XAUUSD/year=2022/month=01/ticks.parquet,43361021,919e44cdeb769e1c76e5a711d18ac68519058527d6efd5b4dd29702f89a65f2b,54d57f3155712533bef9eeda0ee88a37b057c2bf6abec3a24843bd70cb98f1ce
BARS,XAUUSD,2022-01,Bid,M5,5760,2022-01-02T23:00:00.000Z,2022-01-31T23:55:00.000Z,bars/XAUUSD/bid/M5/year=2022/month=01/bars.parquet,122451,3a3cfe9c1d3159467641579deb4d1f052904e30767569b4f3d70275eb989e54a,
BARS,XAUUSD,2022-01,Bid,M15,1920,2022-01-02T23:00:00.000Z,2022-01-31T23:45:00.000Z,bars/XAUUSD/bid/M15/year=2022/month=01/bars.parquet,45131,ddcdf3d2d559cf8fcb8689d39a808c2bc2c8d2b73c104558d837e4df4d99d7e6,
BARS,XAUUSD,2022-01,Bid,H1,480,2022-01-02T23:00:00.000Z,2022-01-31T23:00:00.000Z,bars/XAUUSD/bid/H1/year=2022/month=01/bars.parquet,14540,5a762a82e89fc641beaa068545a8be7043de04b7a3f862ec9017ae7f488bd380,
BARS,XAUUSD,2022-01,Bid,H4,131,2022-01-02T20:00:00.000Z,2022-01-31T20:00:00.000Z,bars/XAUUSD/bid/H4/year=2022/month=01/bars.parquet,6505,2f13062d91b55cd27fd3035caba92a294dab792e2f82d8419d0b132d999d94a9,
BARS,XAUUSD,2022-01,Ask,M5,5760,2022-01-02T23:00:00.000Z,2022-01-31T23:55:00.000Z,bars/XAUUSD/ask/M5/year=2022/month=01/bars.parquet,122833,a28aed5117e20440b6659137b5749bfcfec38d5a87a0c108c8d59afdeb76f8a4,
BARS,XAUUSD,2022-01,Ask,M15,1920,2022-01-02T23:00:00.000Z,2022-01-31T23:45:00.000Z,bars/XAUUSD/ask/M15/year=2022/month=01/bars.parquet,45297,8b57bab7fb55ee9b77530575a86054720d1fa080b4cb25c72cd00197ac184ea6,
BARS,XAUUSD,2022-01,Ask,H1,480,2022-01-02T23:00:00.000Z,2022-01-31T23:00:00.000Z,bars/XAUUSD/ask/H1/year=2022/month=01/bars.parquet,14582,95ec6c05b92f16c8a7999f39b5a83776b21d4f916ed9dbc7355b565395748eaa,
BARS,XAUUSD,2022-01,Ask,H4,131,2022-01-02T20:00:00.000Z,2022-01-31T20:00:00.000Z,bars/XAUUSD/ask/H4/year=2022/month=01/bars.parquet,6586,49c65b7a7391cb93e7daed515cbd19fc7de951c6c9d6b93f4ca18166be43dfe1,
BARS,XAUUSD,2022-01,Mid,M5,5760,2022-01-02T23:00:00.000Z,2022-01-31T23:55:00.000Z,bars/XAUUSD/mid/M5/year=2022/month=01/bars.parquet,133191,eeb5d70c417071566b3c7f1b0e8f3d58208f484000ee17a4dda2f5146f56415c,
BARS,XAUUSD,2022-01,Mid,M15,1920,2022-01-02T23:00:00.000Z,2022-01-31T23:45:00.000Z,bars/XAUUSD/mid/M15/year=2022/month=01/bars.parquet,49885,f030c966730d7f946d528f47054b755ec19ee71166f7bfb47cdcefbbb90fbcb6,
