candidate,decision_scope,frequency_bias_diagnosis,absolute_concentration_gate,cells,total_trades,max_absolute_single_trade_pct,max_absolute_top5_pct,max_normalized_top_trade_r,max_normalized_top5_trade_r,concentration_failed_cells,normalized_concentration_flag,gate_context
h1_month_turn_flow_continuation_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,FAIL,9,1524,100.0,161.202,0.107871,0.530657,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;concentration
h1_move_vix_bond_vol_shock_reversal_v0,REJECTED_OR_RESEARCH,EDGE_AND_FREQUENCY_FAILURE,FAIL,9,531,401.0384,1909.6415,0.280898,1.344556,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;sample_size;concentration;activity
h1_qqq_spy_growth_risk_rotation_followthrough_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,FAIL,9,1017,100.0,270.4123,0.284194,0.885657,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;concentration;activity
h1_real_yield_dollar_shock_followthrough_v0,REJECTED_OR_RESEARCH,EDGE_AND_FREQUENCY_FAILURE,FAIL,9,474,100.0,289.9276,0.358331,1.353954,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;sample_size;concentration;activity
h1_real_yield_dollar_shock_reversal_v0,REJECTED_OR_RESEARCH,EDGE_AND_FREQUENCY_FAILURE,FAIL,9,507,100.0,257.7074,0.220364,1.054095,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;sample_size;concentration;activity
h1_return_autocorrelation_state_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,FAIL,9,1497,100.0,100.0,0.254866,0.798369,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;concentration
h1_session_impulse_reversion_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,FAIL,9,2328,100.0,201.5235,0.088148,0.416474,6,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;concentration
h1_slv_gld_precious_beta_rotation_followthrough_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,FAIL,9,1371,100.0,100.0,0.143741,0.604722,6,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;concentration
h1_smooth_trend_exhaustion_reversal_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,FAIL,9,486,100.0,100.0,0.202137,0.980795,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;concentration
h1_spy_tlt_risk_rotation_followthrough_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,FAIL,9,1431,100.0,160.3211,0.122065,0.605766,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;concentration
