status,cell_id,broker,cost_model,symbol,path_index,test_folds,purge_days,train_trade_count,train_profit_factor,train_total_pnl_usd,oos_trade_count,oos_profit_factor,oos_total_pnl_usd,oos_win_rate,source_trade_file
PASS,4,pepperstone,best_case,XAUUSD,6,1+2,1.0,4762,1.3117133121650424,4900517.55765687,2391,1.1883713931688413,156449.52403068438,0.45545796737766625,cell_4_breakout_retest_pepperstone_best_case_trades.csv
PASS,4,pepperstone,best_case,XAUUSD,7,1+3,1.0,4754,1.300449559859843,4565903.608634055,2392,1.3616345794961315,486049.5473312456,0.47324414715719065,cell_4_breakout_retest_pepperstone_best_case_trades.csv
PASS,4,pepperstone,best_case,XAUUSD,8,1+4,1.0,4745,1.2767307153235756,3565749.494448133,2392,1.4021252509836988,1435056.2582968178,0.47408026755852845,cell_4_breakout_retest_pepperstone_best_case_trades.csv
PASS,4,pepperstone,best_case,XAUUSD,9,1+5,1.0,4759,1.3966702507467224,1988168.6068322498,2391,1.275940602662956,3155021.941522895,0.46633207862818904,cell_4_breakout_retest_pepperstone_best_case_trades.csv
PASS,4,pepperstone,best_case,XAUUSD,10,2+3,1.0,4769,1.305988003355518,4537892.515920841,2391,1.2962662402098453,509095.6457209322,0.4604767879548306,cell_4_breakout_retest_pepperstone_best_case_trades.csv
PASS,4,pepperstone,best_case,XAUUSD,11,2+4,1.0,4736,1.2828385207331878,3536834.2000739644,2391,1.3697935884203127,1458102.3566865046,0.4613132580510247,cell_4_breakout_retest_pepperstone_best_case_trades.csv
PASS,4,pepperstone,best_case,XAUUSD,12,2+5,1.0,4750,1.4230133081202256,1959253.3124580826,2390,1.2691444940771932,3178068.039912581,0.4535564853556485,cell_4_breakout_retest_pepperstone_best_case_trades.csv
PASS,4,pepperstone,best_case,XAUUSD,13,3+4,1.0,4754,1.268076230746661,3218320.7252296866,2392,1.4011436414332414,1787702.3799870657,0.4790969899665552,cell_4_breakout_retest_pepperstone_best_case_trades.csv
PASS,4,pepperstone,best_case,XAUUSD,14,3+5,1.0,4753,1.3954254040241523,1625405.0173691714,2391,1.2846778693865557,3507668.0632131426,0.4713508992053534,cell_4_breakout_retest_pepperstone_best_case_trades.csv
PASS,4,pepperstone,best_case,XAUUSD,15,4+5,1.0,4776,1.3016097775513022,603511.3279843447,2391,1.3063811350123327,4456674.774178715,0.4721873693015475,cell_4_breakout_retest_pepperstone_best_case_trades.csv
PASS,5,pepperstone,median,XAUUSD,1,0+1,1.0,4777,1.3053432116596275,4965781.854898214,2392,1.3250461601047474,95872.66659132135,0.4807692307692308,cell_5_breakout_retest_pepperstone_median_trades.csv
PASS,5,pepperstone,median,XAUUSD,2,0+2,1.0,4758,1.3109296046064773,4937843.222301234,2391,1.1776795114752305,118918.76498100796,0.46800501882057716,cell_5_breakout_retest_pepperstone_median_trades.csv
PASS,5,pepperstone,median,XAUUSD,3,0+3,1.0,4761,1.2997437852127038,4603994.927212323,2392,1.3792055350925736,448518.7882815692,0.48578595317725753,cell_5_breakout_retest_pepperstone_median_trades.csv
PASS,5,pepperstone,median,XAUUSD,4,0+4,1.0,4752,1.2761959541664443,3603840.8130264003,2392,1.410140609585284,1397525.4992471414,0.4866220735785953,cell_5_breakout_retest_pepperstone_median_trades.csv
PASS,5,pepperstone,median,XAUUSD,5,0+5,1.0,4766,1.391547312221361,2026259.925410518,2391,1.2765584409777446,3117491.1824732185,0.47887913007109995,cell_5_breakout_retest_pepperstone_median_trades.csv
