attempt_no,policy_id,mechanic,raw_discovery_signal_count,parameters_json
8138,90d5561b348e0855,MM_OPTIONS_FLOW_CONTINUATION,751,"{""crowd_extension_atr_min"":0.0,""hold_hours"":12,""lookback"":52,""price_filter"":""H6_ALIGN"",""price_min_atr"":0.3,""require_opposite_option_sides"":false,""session"":""ASIA"",""stop_atr"":1.5,""target_r"":1.25,""threshold_z"":1.0}"
8139,ed117fd239515e41,MM_OPTIONS_FLOW_CONTINUATION,2992,"{""crowd_extension_atr_min"":0.0,""hold_hours"":4,""lookback"":156,""price_filter"":""H6_ALIGN"",""price_min_atr"":0.0,""require_opposite_option_sides"":false,""session"":""ALL"",""stop_atr"":1.5,""target_r"":2.0,""threshold_z"":1.25}"
8140,d3a1da84f2cc04fa,MM_OPTIONS_FLOW_CONTINUATION,2246,"{""crowd_extension_atr_min"":0.0,""hold_hours"":4,""lookback"":156,""price_filter"":""H1_ALIGN"",""price_min_atr"":0.3,""require_opposite_option_sides"":false,""session"":""ALL"",""stop_atr"":1.5,""target_r"":1.5,""threshold_z"":1.0}"
8141,6d3b23d50aa82fe3,MM_OPTIONS_FLOW_CONTINUATION,153,"{""crowd_extension_atr_min"":0.0,""hold_hours"":24,""lookback"":104,""price_filter"":""REVERSAL_CONFIRM"",""price_min_atr"":0.3,""require_opposite_option_sides"":false,""session"":""LONDON"",""stop_atr"":1.0,""target_r"":1.5,""threshold_z"":1.5}"
8142,413ca4d7d5aebc2d,MM_OPTIONS_FLOW_CONTINUATION,481,"{""crowd_extension_atr_min"":0.0,""hold_hours"":8,""lookback"":156,""price_filter"":""H6_ALIGN"",""price_min_atr"":0.3,""require_opposite_option_sides"":false,""session"":""NY"",""stop_atr"":1.25,""target_r"":1.25,""threshold_z"":1.5}"
8143,d680a16df1dc88aa,MM_OPTIONS_FLOW_CONTINUATION,1587,"{""crowd_extension_atr_min"":0.0,""hold_hours"":12,""lookback"":156,""price_filter"":""NONE"",""price_min_atr"":0.0,""require_opposite_option_sides"":false,""session"":""ASIA"",""stop_atr"":1.0,""target_r"":1.5,""threshold_z"":1.25}"
8144,3a71bfa35ee1b57d,MM_OPTIONS_FLOW_CONTINUATION,309,"{""crowd_extension_atr_min"":0.0,""hold_hours"":4,""lookback"":52,""price_filter"":""REVERSAL_CONFIRM"",""price_min_atr"":0.15,""require_opposite_option_sides"":false,""session"":""NY"",""stop_atr"":1.25,""target_r"":1.5,""threshold_z"":1.25}"
8145,be9b3b616a814704,MM_OPTIONS_FLOW_CONTINUATION,2766,"{""crowd_extension_atr_min"":0.0,""hold_hours"":12,""lookback"":52,""price_filter"":""NONE"",""price_min_atr"":0.0,""require_opposite_option_sides"":false,""session"":""LONDON"",""stop_atr"":1.5,""target_r"":1.25,""threshold_z"":0.75}"
8146,1512407b89717bca,MM_OPTIONS_FLOW_CONTINUATION,393,"{""crowd_extension_atr_min"":0.0,""hold_hours"":24,""lookback"":156,""price_filter"":""H1_ALIGN"",""price_min_atr"":0.3,""require_opposite_option_sides"":false,""session"":""NY"",""stop_atr"":1.5,""target_r"":1.5,""threshold_z"":1.5}"
8147,875e9886eecc015b,MM_OPTIONS_FLOW_CONTINUATION,826,"{""crowd_extension_atr_min"":0.0,""hold_hours"":24,""lookback"":104,""price_filter"":""H1_ALIGN"",""price_min_atr"":0.3,""require_opposite_option_sides"":false,""session"":""LONDON"",""stop_atr"":1.25,""target_r"":1.25,""threshold_z"":0.75}"
8148,ab555e90a38ca6e6,MM_OPTIONS_FLOW_CONTINUATION,1979,"{""crowd_extension_atr_min"":0.0,""hold_hours"":12,""lookback"":52,""price_filter"":""H1_ALIGN"",""price_min_atr"":0.3,""require_opposite_option_sides"":false,""session"":""ALL"",""stop_atr"":0.75,""target_r"":1.5,""threshold_z"":1.0}"
8149,72220e6e9a66ed76,MM_OPTIONS_FLOW_CONTINUATION,242,"{""crowd_extension_atr_min"":0.0,""hold_hours"":24,""lookback"":104,""price_filter"":""REVERSAL_CONFIRM"",""price_min_atr"":0.15,""require_opposite_option_sides"":false,""session"":""NY"",""stop_atr"":1.25,""target_r"":1.5,""threshold_z"":1.5}"
8150,29829239ac39dcac,MM_OPTIONS_FLOW_CONTINUATION,1440,"{""crowd_extension_atr_min"":0.0,""hold_hours"":24,""lookback"":52,""price_filter"":""NONE"",""price_min_atr"":0.0,""require_opposite_option_sides"":false,""session"":""LONDON"",""stop_atr"":0.75,""target_r"":2.0,""threshold_z"":1.25}"
8151,3e7e3bccb7ae6164,MM_OPTIONS_FLOW_CONTINUATION,737,"{""crowd_extension_atr_min"":0.0,""hold_hours"":24,""lookback"":104,""price_filter"":""REVERSAL_CONFIRM"",""price_min_atr"":0.0,""require_opposite_option_sides"":false,""session"":""ASIA"",""stop_atr"":1.5,""target_r"":2.0,""threshold_z"":0.75}"
8152,3f7aaf0cc23a45b4,MM_OPTIONS_FLOW_CONTINUATION,361,"{""crowd_extension_atr_min"":0.0,""hold_hours"":4,""lookback"":52,""price_filter"":""REVERSAL_CONFIRM"",""price_min_atr"":0.0,""require_opposite_option_sides"":false,""session"":""ASIA"",""stop_atr"":0.75,""target_r"":1.5,""threshold_z"":1.25}"
