candidate_id,attempt,archetype,direction,threshold,stop_atr,target_r,max_hold_bars,sha256
EURHUNT01_0113,113,trend_pullback_short,short,0.0,1.25,1.25,24,ba8aff9b3363bc0be8c909edde2ed0624acdb17a23123820384debc848b404e3
EURHUNT01_0114,114,trend_pullback_short,short,0.0,1.25,1.5,24,5c7ab4124a1d31aaa089f8d1fee905531d94b715d95754dad0ae5b2f2de8e2c9
EURHUNT01_0115,115,trend_pullback_short,short,0.0,1.25,2.0,24,3dd3a3e85e7e614b2374c1be34936022c0d29f9e2aa741a5f836fdfa4e0cde14
EURHUNT01_0116,116,trend_pullback_short,short,0.0,1.5,0.75,24,6f79e3dcef297f1d73bf28dd8a5230ee150ce27a3fcf053ac1611ee61280f055
EURHUNT01_0117,117,trend_pullback_short,short,0.0,1.5,1.0,24,5c1e761ab95d6435440c1c62a0170b4ccc941beea6ba89f704726efbe50c9f54
EURHUNT01_0118,118,trend_pullback_short,short,0.0,1.5,1.25,24,5d82ee701a0d0f755332e5fc7f87e3ef2896c4c3edef99c7d3b54b0ed3c519f4
EURHUNT01_0119,119,trend_pullback_short,short,0.0,1.5,1.5,24,66bc381f1a26c327812569f1bef95033c3753a2b996e0cdf39b9856f2b7351e3
EURHUNT01_0120,120,trend_pullback_short,short,0.0,1.5,2.0,24,2ead97b5b64d46644f78b7c5ce972604b58daecd5af4795aad42838258a81a63
EURHUNT01_0121,121,trend_pullback_short,short,0.1,0.75,0.75,24,d95de9a2e2e3fd690acf649631cf8468ba0fb5cd7b548892a46b6b8f97bcfb3a
EURHUNT01_0122,122,trend_pullback_short,short,0.1,0.75,1.0,24,e13077773af021fbe4d522f57d45d2a6a9c5d1f21aef20aaf09f33de1224488c
EURHUNT01_0123,123,trend_pullback_short,short,0.1,0.75,1.25,24,854e745025ca740f8cc279d6a29bf50e3d67c2b0ffc0160cd317d5d2888fb3a8
EURHUNT01_0124,124,trend_pullback_short,short,0.1,0.75,1.5,24,d97c5b0cf2979a53ea14e73fc9602599db94bf84d6392ec99002d57d6c097015
EURHUNT01_0125,125,trend_pullback_short,short,0.1,0.75,2.0,24,f438ae44458f1b645c3f36d6a902e374851362dcd0701caa35c10b0dce58ca8a
EURHUNT01_0126,126,trend_pullback_short,short,0.1,1.0,0.75,24,c76945df3d4e3f3fcd6ba60bdfa51502fbc61bdd63ee5baee45f178f75f6b42c
EURHUNT01_0127,127,trend_pullback_short,short,0.1,1.0,1.0,24,e99f9dbcfb131b35c80c5e2c9c17b157fa56019f5e4ec1dca07785ef0985f054
EURHUNT01_0128,128,trend_pullback_short,short,0.1,1.0,1.25,24,39bf2dd2e3ad08f2ec0829915edcbd843fc04d2076a15d7691a9c39d60ee1d7a
EURHUNT01_0129,129,trend_pullback_short,short,0.1,1.0,1.5,24,a105c6007ffdeb0611b43dc7524dc488cd9a0515202bf92a285633310ee919b0
EURHUNT01_0130,130,trend_pullback_short,short,0.1,1.0,2.0,24,7330f63905fa29b1dda61d5c894793a08bf47eac28b49be8dc9968cfa9e6fa53
EURHUNT01_0131,131,trend_pullback_short,short,0.1,1.25,0.75,24,4c824864806583841c4fa3bfba91b4c9c4d4eedfe014d00aa35dffa126fce845
EURHUNT01_0132,132,trend_pullback_short,short,0.1,1.25,1.0,24,b691f7760b14132aa3d1a6c9364516727fd696afbc45c8678d222e6f891cbc14
EURHUNT01_0133,133,trend_pullback_short,short,0.1,1.25,1.25,24,02a21877e149fb4dee0f159a82ab24e4c8f6bd1fa5670b4824533df2dd6718b5
EURHUNT01_0134,134,trend_pullback_short,short,0.1,1.25,1.5,24,233ca699110f0ddd4f8265403c3d3556fff1df2d8dc9977f92c979e65229fe83
EURHUNT01_0135,135,trend_pullback_short,short,0.1,1.25,2.0,24,782218409dbafa293055b6128ffd54e908b461928bd0dea84dfc7b0f9314b05d
EURHUNT01_0136,136,trend_pullback_short,short,0.1,1.5,0.75,24,6cd380ce1cf821b0b4b1cfdf1a86ba54408b630eee75e6f9a79dfc78ff0b74bd
EURHUNT01_0137,137,trend_pullback_short,short,0.1,1.5,1.0,24,14701b5f774bfa50f49de23c36de459770360a4b1601fd8a62c49354d2c74539
EURHUNT01_0138,138,trend_pullback_short,short,0.1,1.5,1.25,24,fdfaef288ddc8cad209a423db0502a6822c3594e1d106cff9aaa5633f8e918eb
EURHUNT01_0139,139,trend_pullback_short,short,0.1,1.5,1.5,24,28a67373f0ee43e5578e9c554bc06154369f0428897a954d80b3cf6031081507
EURHUNT01_0140,140,trend_pullback_short,short,0.1,1.5,2.0,24,acd918461ae4ef3e6c1b874f18455b4c6091a6d2bd3f9ca7ced72690bd6bd4f2
EURHUNT01_0141,141,trend_pullback_short,short,0.2,0.75,0.75,24,bb12550b830543cccde197ca8ccc4f2c6004efb1b73594ff14f1d14363462462
EURHUNT01_0142,142,trend_pullback_short,short,0.2,0.75,1.0,24,6bb96ba72e6cb0259db8f7dedd664d2d9ea50bff8e4e14fb2ebb10905e33dcab
EURHUNT01_0143,143,trend_pullback_short,short,0.2,0.75,1.25,24,4e2005ec8b91349da7f669af15c4ce9f333c51713b8a3309d93bee9929703bf5
EURHUNT01_0144,144,trend_pullback_short,short,0.2,0.75,1.5,24,fcbe73cee0228e709afb104b174bb486be6bfdae1991ec6d0be204cb4f5479be
EURHUNT01_0145,145,trend_pullback_short,short,0.2,0.75,2.0,24,c1d38fed2e120b694498766f039b2a7409379767de53b4f2aa0515430eed4333
EURHUNT01_0146,146,trend_pullback_short,short,0.2,1.0,0.75,24,4a800f373f3f1af49bc8ed3bedf2f8890713a1ee993df7f2bf54db45a063c812
EURHUNT01_0147,147,trend_pullback_short,short,0.2,1.0,1.0,24,fa89d7e63263d84a08940d8f6138d730e637050510c4d31ac6f09298c25f0981
EURHUNT01_0148,148,trend_pullback_short,short,0.2,1.0,1.25,24,bc7cc2732ef996ec13ac1369a75b4d7f2af10390a5934faed0c6f0e008199a21
EURHUNT01_0149,149,trend_pullback_short,short,0.2,1.0,1.5,24,0cc39aaeae2f8c1147e4f8bb52ca3c6fa56fc8d2b84fd16333286a0f6d48038e
EURHUNT01_0150,150,trend_pullback_short,short,0.2,1.0,2.0,24,2939c66afbed7d3d3cb09bbe87193910644a2d239011671ddef7190b01460534
EURHUNT01_0151,151,trend_pullback_short,short,0.2,1.25,0.75,24,7fa2e13cbcdf3abf66e10f9335c895e6f268955788888e0fbaae5e6bf76ff1af
EURHUNT01_0152,152,trend_pullback_short,short,0.2,1.25,1.0,24,42af3d0145ad832d98dfcefb81abd32325d5be67536dea91faf43780ee33149a
EURHUNT01_0153,153,trend_pullback_short,short,0.2,1.25,1.25,24,a2e2079c6e2d9f61e319130d862ecbf987f876921e2403ed78c3345cbcb780cc
EURHUNT01_0154,154,trend_pullback_short,short,0.2,1.25,1.5,24,8b6bdb99452617b5723b98c0d6abf4c63eb94def831aa9c371d89ce9d8a034cc
