shock_episode_id,specialist_id,entry_time,rejection_reason
,XAU_POSITIVE_RESIDUAL_LONG_SPECIALIST,2020-05-15T13:00:00.019Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_NEGATIVE_RESIDUAL_SHORT_SPECIALIST,2020-05-18T13:25:00.091Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_POSITIVE_RESIDUAL_LONG_SPECIALIST,2020-05-19T13:20:00.093Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_NEGATIVE_RESIDUAL_SHORT_SPECIALIST,2020-05-22T12:10:00.109Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_NEGATIVE_RESIDUAL_SHORT_SPECIALIST,2020-05-22T12:30:00.059Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_NEGATIVE_RESIDUAL_SHORT_SPECIALIST,2020-05-26T14:25:00.463Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_NEGATIVE_RESIDUAL_SHORT_SPECIALIST,2020-05-27T14:05:00.933Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_POSITIVE_RESIDUAL_LONG_SPECIALIST,2020-06-18T11:20:00.206Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_POSITIVE_RESIDUAL_LONG_SPECIALIST,2020-06-22T15:05:00.128Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_NEGATIVE_RESIDUAL_SHORT_SPECIALIST,2020-06-24T16:05:00.499Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_NEGATIVE_RESIDUAL_SHORT_SPECIALIST,2020-06-26T17:20:00.006Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_NEGATIVE_RESIDUAL_SHORT_SPECIALIST,2020-06-30T15:20:00.837Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_POSITIVE_RESIDUAL_LONG_SPECIALIST,2020-07-01T10:45:00.046Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_POSITIVE_RESIDUAL_LONG_SPECIALIST,2020-07-07T09:50:00.104Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_NEGATIVE_RESIDUAL_SHORT_SPECIALIST,2020-07-31T14:25:00.117Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_NEGATIVE_RESIDUAL_SHORT_SPECIALIST,2020-08-05T07:50:00.130Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_NEGATIVE_RESIDUAL_SHORT_SPECIALIST,2020-08-06T14:15:00.181Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_POSITIVE_RESIDUAL_LONG_SPECIALIST,2020-08-18T14:25:00.016Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_NEGATIVE_RESIDUAL_SHORT_SPECIALIST,2020-08-26T13:40:00.108Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_NEGATIVE_RESIDUAL_SHORT_SPECIALIST,2020-08-26T14:10:00.085Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_NEGATIVE_RESIDUAL_SHORT_SPECIALIST,2020-08-26T16:25:00.402Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_POSITIVE_RESIDUAL_LONG_SPECIALIST,2020-08-27T13:30:00.106Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_NEGATIVE_RESIDUAL_SHORT_SPECIALIST,2020-08-27T14:35:00.049Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_POSITIVE_RESIDUAL_LONG_SPECIALIST,2020-08-31T15:05:00.013Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_POSITIVE_RESIDUAL_LONG_SPECIALIST,2020-09-03T15:35:00.005Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_POSITIVE_RESIDUAL_LONG_SPECIALIST,2020-09-08T10:20:00.616Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_POSITIVE_RESIDUAL_LONG_SPECIALIST,2020-09-08T13:05:00.077Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_POSITIVE_RESIDUAL_LONG_SPECIALIST,2020-09-08T13:20:00.026Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_POSITIVE_RESIDUAL_LONG_SPECIALIST,2020-09-08T13:30:00.030Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_NEGATIVE_RESIDUAL_SHORT_SPECIALIST,2020-09-10T14:15:00.305Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_POSITIVE_RESIDUAL_LONG_SPECIALIST,2020-09-15T13:00:00.058Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_POSITIVE_RESIDUAL_LONG_SPECIALIST,2020-09-15T13:45:00.246Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_POSITIVE_RESIDUAL_LONG_SPECIALIST,2020-09-21T12:45:00.051Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_POSITIVE_RESIDUAL_LONG_SPECIALIST,2020-09-21T15:00:00.086Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
,XAU_POSITIVE_RESIDUAL_LONG_SPECIALIST,2020-09-21T15:25:00.000Z,GLOBAL_XAU_POSITION_ALREADY_OPEN
