record_type,instrument,month,logical_path,item_count,bytes,SHA256
BAR,USDJPY,2019-05,bars/USDJPY/ask/H1/year=2019/month=05/bars.parquet,547,17230,04f420f034e2dbb8c1d1df9a6d991fad7e34b5fb297c5907ee3942b1d115459e
BAR,USDJPY,2019-05,bars/USDJPY/mid/M5/year=2019/month=05/bars.parquet,6553,142114,77a3f4148102ada6e060ef7cfcc9c6c24c5ee00902fe3a90e7a595111fda345a
BAR,USDJPY,2019-05,bars/USDJPY/mid/H1/year=2019/month=05/bars.parquet,547,17671,71d8e1b4cce8964931ba6e92ca95e55103a0a40d165bef0112833fc15f9d8bfa
NORMALIZED_TICKS,USDJPY,2019-06,normalized/USDJPY/year=2019/month=06/ticks.parquet,1750307,20603733,65c8043cb49ddbd9413351b031b6bbd92e7f5e894f29e6c55b3d02cc5a2e5095
BAR,USDJPY,2019-06,bars/USDJPY/bid/M5/year=2019/month=06/bars.parquet,5796,118579,9c232bae69bff0a0f4fb59d85ca22912bdb3c621a0b364d4ed81d9fa6d4f3dd0
BAR,USDJPY,2019-06,bars/USDJPY/bid/H1/year=2019/month=06/bars.parquet,483,16106,af4a6092b03b134b982c1af9cf0c074d28be66a5fb805c1733fb0abd499e9b86
BAR,USDJPY,2019-06,bars/USDJPY/ask/M5/year=2019/month=06/bars.parquet,5796,118478,ecb168e6a389fd92057fc067e97e0916a8133d1b353c8803fb4b636dbae32297
BAR,USDJPY,2019-06,bars/USDJPY/ask/H1/year=2019/month=06/bars.parquet,483,16110,eb643e9c924a09b928e46abbf8a09c866cd9fb46cc08d687b536a28ac003ead0
BAR,USDJPY,2019-06,bars/USDJPY/mid/M5/year=2019/month=06/bars.parquet,5796,126630,3913c95352d7bc156fa4b5f43bab05a55a20668fce763c219d9fe02a88b8e225
BAR,USDJPY,2019-06,bars/USDJPY/mid/H1/year=2019/month=06/bars.parquet,483,16550,ceb26896b910f99d37a18421d0926669cb3e3e1381ce6abf25ba850ced6a4014
NORMALIZED_TICKS,USDJPY,2019-07,normalized/USDJPY/year=2019/month=07/ticks.parquet,1452204,17321528,12887100396b14f000876e2156b5ce59c81c311b7fc02dd1d92adeba94a3b732
BAR,USDJPY,2019-07,bars/USDJPY/bid/M5/year=2019/month=07/bars.parquet,6624,132436,ccb956e7ff06b6309de539ef29d41a31efe51e87c96a96e65ea904fff8828586
BAR,USDJPY,2019-07,bars/USDJPY/bid/H1/year=2019/month=07/bars.parquet,552,17681,60016c746887e022a6799b2e641baa73b7089f5f726663306b1ea2dbefa00de2
BAR,USDJPY,2019-07,bars/USDJPY/ask/M5/year=2019/month=07/bars.parquet,6624,132527,8680b6915271863d2dac6986d18b66b84c085fbc13f2ea0358ae567062764754
BAR,USDJPY,2019-07,bars/USDJPY/ask/H1/year=2019/month=07/bars.parquet,552,17634,3d9b81eee39bbda46c752408f275b612557df4e9c59320a35b8c74665e602900
BAR,USDJPY,2019-07,bars/USDJPY/mid/M5/year=2019/month=07/bars.parquet,6624,142190,27a6f5f8522f79a3517bc531234fce1c1fc6551e371e5c34c42c5eeda650b9ec
BAR,USDJPY,2019-07,bars/USDJPY/mid/H1/year=2019/month=07/bars.parquet,552,18199,f707043f652233a884f2af3314478d0ebf483fbbb676206f9d0f4f23fb50cdf6
NORMALIZED_TICKS,USDJPY,2019-08,normalized/USDJPY/year=2019/month=08/ticks.parquet,2789101,32530100,7054700d11b8fa17419a68701d1ab8af113cf615acdb1530118804c35048b3ca
BAR,USDJPY,2019-08,bars/USDJPY/bid/M5/year=2019/month=08/bars.parquet,6300,132378,43063d588958cce4b92ebc66647771ae11dadab7b4a582910489cc5d948c7afd
BAR,USDJPY,2019-08,bars/USDJPY/bid/H1/year=2019/month=08/bars.parquet,525,16936,51e2d8ece86594666ccb38300f843121fdfd50604af8a656f3d0177a8279309b
BAR,USDJPY,2019-08,bars/USDJPY/ask/M5/year=2019/month=08/bars.parquet,6300,132296,349f2de5a7dbb0c329d0c1b25ed31e77cc6b1404384f2d87e6ac4b4285adb297
BAR,USDJPY,2019-08,bars/USDJPY/ask/H1/year=2019/month=08/bars.parquet,525,16870,78b5e15cc6a43ebbd75fe49b3a5c9cfb599e4b0373131b3ab250bb1955c28c7a
BAR,USDJPY,2019-08,bars/USDJPY/mid/M5/year=2019/month=08/bars.parquet,6300,140041,24f3532c4879ca8cab6b35e3fd5e3e1c66164ce39c66d7ddba4039783dda20ee
BAR,USDJPY,2019-08,bars/USDJPY/mid/H1/year=2019/month=08/bars.parquet,525,17336,a9d3a7c5432cd2b4b3f4983b0ad5f3ad56997dbf74e031b3703a6e5acb7978c7
NORMALIZED_TICKS,USDJPY,2019-09,normalized/USDJPY/year=2019/month=09/ticks.parquet,1963625,22763993,207c8a63ca96c11bee0229b20b8589d70d3a0b98957072541f7996861ba30738
BAR,USDJPY,2019-09,bars/USDJPY/bid/M5/year=2019/month=09/bars.parquet,6082,125745,1c8fb594a665958b25edf51e85a8fbd39d8826954d1404fcc4785ad9987005a6
BAR,USDJPY,2019-09,bars/USDJPY/bid/H1/year=2019/month=09/bars.parquet,507,16698,a55e033c5263f02cb8d5ba509e4a9b8d4ad67e558471f45e48740831b1ed0cd3
BAR,USDJPY,2019-09,bars/USDJPY/ask/M5/year=2019/month=09/bars.parquet,6082,125757,5d48576658abdebf46b0d19697b6ea792189fb0d7e17b320bfda5ddcf0002704
BAR,USDJPY,2019-09,bars/USDJPY/ask/H1/year=2019/month=09/bars.parquet,507,16752,5675cbab463021a021f96bd79420c888be1a70da5b86d0fbb4df440b90d96760
BAR,USDJPY,2019-09,bars/USDJPY/mid/M5/year=2019/month=09/bars.parquet,6082,133939,572872ae3d7cb2946e0044bc8c25977f9d77d6bcbd8b8968d2fc524999a744b7
BAR,USDJPY,2019-09,bars/USDJPY/mid/H1/year=2019/month=09/bars.parquet,507,17152,3bf135f182e0d9870de6e893510f82566974abbfa31c2491f70fd46eb5a1f094
NORMALIZED_TICKS,USDJPY,2019-10,normalized/USDJPY/year=2019/month=10/ticks.parquet,2050721,23623056,29e558e05eb0f7908896266f69e4ff114f709279bf2823e07a5def24c87223fd
BAR,USDJPY,2019-10,bars/USDJPY/bid/M5/year=2019/month=10/bars.parquet,6624,134199,745c7cc9852f4d6b79b751670c1ae0a677845567507caec4218d953323b0293b
BAR,USDJPY,2019-10,bars/USDJPY/bid/H1/year=2019/month=10/bars.parquet,552,17743,4a54189f1c5516284fecb11afc4f42f5b7f7cc782ab560cb027578ae928c4b14
BAR,USDJPY,2019-10,bars/USDJPY/ask/M5/year=2019/month=10/bars.parquet,6624,134400,d8736bc4755da15d695ca238682e8b3ae4f21d72091116736e6806d2046393c3
BAR,USDJPY,2019-10,bars/USDJPY/ask/H1/year=2019/month=10/bars.parquet,552,17760,57492e0ddc32f26d6ab67c0bd4eebe8503ffafd40a05bb87adde041e62f3d289
BAR,USDJPY,2019-10,bars/USDJPY/mid/M5/year=2019/month=10/bars.parquet,6624,143358,a6f83c1997e31011ccdb077ac6c9553366ec86533e7104d964c1464f00335aa0
BAR,USDJPY,2019-10,bars/USDJPY/mid/H1/year=2019/month=10/bars.parquet,552,18248,b63772ef9370f0dc3ce16055841eb01940ce26390f547ad96edb35b28db93447
NORMALIZED_TICKS,USDJPY,2019-11,normalized/USDJPY/year=2019/month=11/ticks.parquet,1286500,15102085,680ebdaaab909a5fe3dccf420f9e7401b0fe3d3e232cefcc265bc1a6b548a45b
BAR,USDJPY,2019-11,bars/USDJPY/bid/M5/year=2019/month=11/bars.parquet,6012,119307,a67de7547f767d8fa380d5b7c3a4c11d9837d659f4b739eccfa3d05a106b0410
BAR,USDJPY,2019-11,bars/USDJPY/bid/H1/year=2019/month=11/bars.parquet,501,15943,fd194dc2f5ec8c9c93217a5fa343ce092196a445698e116a403a56f2a72cb0a1
BAR,USDJPY,2019-11,bars/USDJPY/ask/M5/year=2019/month=11/bars.parquet,6012,119238,bfe7e562dbd2b83601e505c660ccf921b3189ded90d4a42113b2e5f10c74acc8
BAR,USDJPY,2019-11,bars/USDJPY/ask/H1/year=2019/month=11/bars.parquet,501,15917,98ea9652761e1a30c3d3e848e7adc2035982044195dfeedfc85b2f1a4f852316
BAR,USDJPY,2019-11,bars/USDJPY/mid/M5/year=2019/month=11/bars.parquet,6012,127929,819de331bfa3686a308317ddb7599ced1f4ea820c60840462c72c638303daea1
BAR,USDJPY,2019-11,bars/USDJPY/mid/H1/year=2019/month=11/bars.parquet,501,16354,0d488a0f9ee372a5f9209cc285acd6cad5dd03ad7f58e69e52582c37f81784c9
NORMALIZED_TICKS,USDJPY,2019-12,normalized/USDJPY/year=2019/month=12/ticks.parquet,1084533,12882398,cc7dd5739ad12d2bc125e604be3b092447f10cb30e1bc65cdac8bf2e6b0b3e17
BAR,USDJPY,2019-12,bars/USDJPY/bid/M5/year=2019/month=12/bars.parquet,6156,117989,4ffe229003732489521c151b216c23d1f995151bfca69ad99129e3be1eaa13e0
BAR,USDJPY,2019-12,bars/USDJPY/bid/H1/year=2019/month=12/bars.parquet,513,16130,d6f289dca70ea2115348087b5a95cff6f446104d8e05dc1d89c54cff2d5eb06e
BAR,USDJPY,2019-12,bars/USDJPY/ask/M5/year=2019/month=12/bars.parquet,6156,117993,b5516261a246154dc8832284000a1d61069898e38545e3f9500ed8181f074333
BAR,USDJPY,2019-12,bars/USDJPY/ask/H1/year=2019/month=12/bars.parquet,513,16099,4b7894f7111be434ba91b9a263a4363939b9fff72b8fb15b0ed04f6b663d6274
BAR,USDJPY,2019-12,bars/USDJPY/mid/M5/year=2019/month=12/bars.parquet,6156,127103,84adf053d401aee89ff5cc0759f0f68c6b13a74741f0d10c82a676f01cb28f1e
BAR,USDJPY,2019-12,bars/USDJPY/mid/H1/year=2019/month=12/bars.parquet,513,16595,bbbdf7efe335ffa64422a878cdc1fe5c9a655ee1d0d00f61e06035bf14b31e2b
NORMALIZED_TICKS,USDJPY,2020-01,normalized/USDJPY/year=2020/month=01/ticks.parquet,1398198,16482383,dd325649a253e3b9c7cb3e853e1e70fb6901b10a6db02e72b551d5da46b00947
BAR,USDJPY,2020-01,bars/USDJPY/bid/M5/year=2020/month=01/bars.parquet,6336,127701,98fa3173bf8dc453a983f8049a17a22d60be608c7a3c170fa1b0191f017be404
BAR,USDJPY,2020-01,bars/USDJPY/bid/H1/year=2020/month=01/bars.parquet,528,16758,8713a08dc1d8d66c66338781d497910e8fb890ba6e4d3116fe292cafbce79e36
BAR,USDJPY,2020-01,bars/USDJPY/ask/M5/year=2020/month=01/bars.parquet,6336,127687,20aa5a228672179b53196e61c3b0846f5239ec58b75f355c1739e3306c7e1e2e
BAR,USDJPY,2020-01,bars/USDJPY/ask/H1/year=2020/month=01/bars.parquet,528,16678,1041d114ec84637c5d85e0adf6ffbbabf38eee7424033c346e558b2a5f544911
BAR,USDJPY,2020-01,bars/USDJPY/mid/M5/year=2020/month=01/bars.parquet,6336,136046,5686d840d6eb4da8d3792eccc23941fde638d855f827465440b0672ecf303131
BAR,USDJPY,2020-01,bars/USDJPY/mid/H1/year=2020/month=01/bars.parquet,528,17208,9f1c94e2f116b8cc2df02f9f2168757def80e28bfb74345a4ee371cd2e067c24
