signal_id,candidate_id,direction,entry_time,exit_time,session_bucket,h1_regime,entry_price,stop_loss,take_profit,risk_points,gross_r,charged_spread_points,median_spread_points,p95_spread_points,realized_spread_points,entry_slippage_points,stop_exit_slippage_points,charged_cost_r,p95_spread_cost_r,stress_cost_r,net_r,stress_net_r,cost_guard_pass,market_day_direction,loss_class
1033669|XAUUSD|breakout_retest|LONG|2025-01-22 04:45:00|2025-01-22 05:10:00|2025-01-22 05:15:00|2750.86,B0_RAW_ALL_SESSION,LONG,2025-01-22 05:20:00,2025-01-22 05:30:00,Morning 06:00-11:59,RISING,2751.598,2750.09402,2753.85397,150.4,1.5,50.0,50.0,75.0,0.0,10.0,0.0,0.398942,0.565168,0.565168,1.101058,0.934832,False,UP,WIN
1033669|XAUUSD|breakout_retest|LONG|2025-01-22 05:25:00|2025-01-22 05:30:00|2025-01-22 05:35:00|2752.78,B0_RAW_ALL_SESSION,LONG,2025-01-22 05:40:00,2025-01-22 05:50:00,Morning 06:00-11:59,RISING,2753.945,2752.63988,2755.90268,130.51,1.5,50.0,50.0,75.0,0.0,10.0,0.0,0.459727,0.65128,0.65128,1.040273,0.84872,False,UP,WIN
1033669|XAUUSD|breakout_retest|LONG|2025-01-22 06:20:00|2025-01-22 06:25:00|2025-01-22 06:30:00|2745.85,B0_RAW_ALL_SESSION,LONG,2025-01-22 06:35:00,2025-01-22 09:05:00,Morning 06:00-11:59,RISING,2748.675,2745.20439,2753.88092,347.06,1.5,50.0,50.0,75.0,0.0,10.0,0.0,0.17288,0.244913,0.244913,1.32712,1.255087,False,UP,WIN
1033669|XAUUSD|breakout_retest|SHORT|2025-01-22 11:20:00|2025-01-22 11:30:00|2025-01-22 11:35:00|2757.64,B0_RAW_ALL_SESSION,SHORT,2025-01-22 11:40:00,2025-01-22 12:05:00,Afternoon 12:00-15:59,RISING,2756.698,2757.94315,2754.83027,124.52,1.5,50.0,50.0,75.0,0.0,10.0,0.0,0.48187,0.682649,0.682649,1.01813,0.817351,False,UP,WIN
1033669|XAUUSD|breakout_retest|SHORT|2025-01-22 12:25:00|2025-01-22 13:20:00|2025-01-22 13:25:00|2756.13,B0_RAW_ALL_SESSION,SHORT,2025-01-22 13:30:00,2025-01-22 15:55:00,Evening 16:00-19:59,RISING,2755.325,2760.03581,2748.25879,471.08,-1.0,50.0,50.0,75.0,0.0,10.0,50.0,0.233506,0.286575,0.286575,-1.233506,-1.286575,False,UP,BAD_EXIT_GIVEBACK
1033669|XAUUSD|breakout_retest|LONG|2025-01-22 15:55:00|2025-01-22 16:00:00|2025-01-22 16:05:00|2757.57,B0_RAW_ALL_SESSION,LONG,2025-01-22 16:10:00,2025-01-22 16:15:00,Night 20:00-05:59,RISING,2759.425,2756.76671,2763.41244,265.83,-1.0,50.0,50.0,75.0,0.0,10.0,50.0,0.413799,0.507845,0.507845,-1.413799,-1.507845,False,UP,BAD_SIGNAL
1033669|XAUUSD|breakout_retest|LONG|2025-01-22 15:50:00|2025-01-22 16:30:00|2025-01-22 16:35:00|2757.57,B0_RAW_ALL_SESSION,LONG,2025-01-22 16:40:00,2025-01-22 18:05:00,Night 20:00-05:59,RISING,2757.855,2755.50843,2761.37486,234.66,-1.0,50.0,50.0,75.0,0.0,10.0,50.0,0.468769,0.575307,0.575307,-1.468769,-1.575307,False,UP,BAD_EXIT_GIVEBACK
1033669|XAUUSD|breakout_retest|SHORT|2025-01-22 18:05:00|2025-01-22 19:25:00|2025-01-22 19:30:00|2755.72,B0_RAW_ALL_SESSION,SHORT,2025-01-22 19:35:00,2025-01-22 19:40:00,Night 20:00-05:59,RISING,2755.205,2756.30214,2753.55929,109.71,-1.0,50.0,50.0,75.0,0.0,10.0,50.0,1.002604,1.230469,1.230469,-2.002604,-2.230469,False,UP,BAD_SIGNAL
1033669|XAUUSD|breakout_retest|SHORT|2025-01-22 18:05:00|2025-01-22 19:40:00|2025-01-22 19:45:00|2755.72,B0_RAW_ALL_SESSION,SHORT,2025-01-22 19:50:00,2025-01-22 20:20:00,Night 20:00-05:59,RISING,2755.085,2756.18307,2753.43789,109.81,-1.0,50.0,50.0,75.0,0.0,10.0,50.0,1.001756,1.229428,1.229428,-2.001756,-2.229428,False,UP,BAD_SIGNAL
1033669|XAUUSD|breakout_retest|LONG|2025-01-22 20:55:00|2025-01-22 21:00:00|2025-01-22 21:05:00|2756.20,B0_RAW_ALL_SESSION,LONG,2025-01-22 21:10:00,2025-01-22 21:20:00,Night 20:00-05:59,RISING,2756.865,2755.69764,2758.61604,116.74,-1.0,50.0,50.0,50.0,0.0,10.0,50.0,0.942299,0.942299,0.942299,-1.942299,-1.942299,False,UP,BAD_SIGNAL
