date,open,high,low,close,source,regime,atr14,atr14_pct_252,ema50,ema200,ema50_slope_20_pct,ret20_pct,ret60_pct,range20_pct_rank_252
2018-10-16,1219.17,1233.22,1219.14,1226.75,capital_com_processed_d1,chop,11.373571428571397,67.46031746031747,1205.2157198552245,1245.5741954572127,-0.26172622231821485,2.305896088733217,1.4983783425999375,63.095238095238095
2018-10-17,1226.75,1232.36,1223.4,1224.88,capital_com_processed_d1,chop,11.906428571428526,76.19047619047619,1205.986868096196,1245.3682830646037,-0.16412165569594794,2.248007011978803,1.0301965539141644,64.28571428571429
2018-10-18,1224.88,1229.43,1220.53,1222.13,capital_com_processed_d1,chop,12.003571428571393,78.17460317460318,1206.6199320924238,1245.1370563674436,-0.08349607234384715,1.9061595804114262,0.7319184009890956,65.07936507936508
2018-10-19,1222.13,1230.1,1218.63,1225.8,capital_com_processed_d1,chop,11.428571428571379,68.25396825396825,1207.372091618211,1244.9446478463747,-0.0003049652112063761,2.048801605074968,1.1327728596533193,63.095238095238095
2018-10-20,1225.8,1230.75,1223.02,1226.38,capital_com_processed_d1,chop,11.136428571428528,62.698412698412696,1208.117499790046,1244.7599249822317,0.0969543407274065,2.501567136111005,1.238257194274306,62.698412698412696
2018-10-22,1228.0,1228.1,1226.66,1227.27,capital_com_processed_d1,chop,10.488571428571374,50.39682539682539,1208.868578229652,1244.5858958779309,0.23551493394600165,3.6974761514478205,1.2323377298260496,61.904761904761905
2018-10-23,1227.27,1229.51,1219.97,1222.28,capital_com_processed_d1,chop,10.558571428571375,51.19047619047619,1209.3945163382932,1244.3639466652153,0.32648612107435415,2.582437411351979,2.4749320902780036,55.55555555555556
2018-10-24,1222.28,1239.71,1221.88,1230.82,capital_com_processed_d1,chop,11.74071428571423,72.61904761904762,1210.2347313838504,1244.2291810267554,0.44389043206607415,3.355558168046624,3.0958403832945347,81.74603174603175
2018-10-25,1230.81,1235.2,1225.55,1235.2,capital_com_processed_d1,chop,10.950714285714232,56.74603174603175,1211.2137615256604,1244.1393384294745,0.5771822338047405,3.8864918964835793,5.238943180172284,81.74603174603175
2018-10-26,1235.2,1239.14,1228.05,1231.69,capital_com_processed_d1,chop,11.124999999999968,61.50793650793651,1212.0167512697521,1244.0154644152508,0.6398398958805007,2.173390073745951,4.796140625531775,82.14285714285714
2018-10-27,1231.69,1243.36,1229.98,1233.53,capital_com_processed_d1,chop,11.394285714285681,67.06349206349206,1212.860408082703,1243.9111314359948,0.7309218186332345,2.97437181734701,4.16832042696571,87.3015873015873
2018-10-29,1232.96,1233.96,1231.74,1232.57,capital_com_processed_d1,chop,9.04714285714283,12.3015873015873,1213.6333332559304,1243.7982843570298,0.811695136299706,2.7989758217195737,4.146176594845796,87.6984126984127
2018-10-30,1232.57,1235.34,1224.25,1228.97,capital_com_processed_d1,chop,9.294999999999959,17.063492063492063,1214.2347711674627,1243.6507392390495,0.8653067060309771,2.180004157139881,3.1785477411826024,88.09523809523809
2018-10-31,1228.98,1229.3,1219.8,1221.29,capital_com_processed_d1,chop,9.797142857142815,30.555555555555557,1214.5114468079544,1243.428244321248,0.8885464084529504,1.457956037017949,2.1154023026948243,88.4920634920635
2018-11-01,1221.28,1221.53,1211.93,1216.29,capital_com_processed_d1,chop,9.477142857142812,23.015873015873016,1214.5811939919563,1243.1582120394446,0.9376617726181591,2.1543035678290634,1.7790348359455477,88.88888888888889
2018-11-02,1216.29,1237.33,1215.78,1232.87,capital_com_processed_d1,chop,10.376428571428537,46.03174603174603,1215.298402070703,1243.0558417703955,1.0416159776642342,3.617323483186663,4.087973320950633,83.33333333333334
2018-11-03,1232.86,1236.37,1229.67,1232.75,capital_com_processed_d1,chop,10.219285714285661,43.25396825396825,1215.9827784600873,1242.953296081138,1.1278617691439674,3.25663598214212,2.2282482502404832,61.904761904761905
2018-11-05,1233.14,1235.1,1233.08,1234.08,capital_com_processed_d1,chop,9.567857142857097,26.190476190476193,1216.692473422437,1242.8650045778431,1.1248507854658474,1.052217845942205,2.1834711975556864,9.126984126984127
2018-11-06,1234.08,1234.33,1226.82,1230.42,capital_com_processed_d1,chop,9.55214285714281,26.190476190476193,1217.2308077980276,1242.7411736865213,1.1214691992532444,1.0396137169885744,1.602794361731119,10.317460317460316
2018-11-07,1230.42,1235.89,1223.44,1230.43,capital_com_processed_d1,chop,10.3185714285714,45.63492063492063,1217.7484231784972,1242.6186744458594,1.1136132244151442,0.9235791563112494,2.3124511483261667,10.317460317460316
2018-11-08,1230.43,1236.43,1222.93,1225.11,capital_com_processed_d1,chop,10.601428571428544,52.77777777777778,1218.0371124656149,1242.4444587797313,1.0638255375502892,-0.13368657020583763,1.487801847326331,11.507936507936508
2018-11-09,1225.11,1226.95,1219.98,1222.26,capital_com_processed_d1,chop,9.825714285714266,32.53968253968254,1218.202715898336,1242.2436183938632,1.0129337329704224,-0.2138985043432906,1.8694315027962372,11.904761904761903
2018-11-10,1222.31,1222.64,1206.65,1209.32,capital_com_processed_d1,chop,10.278571428571402,45.23809523809524,1217.8543740984014,1241.9160202008895,0.9310671659878533,-1.0481699982817005,0.7112043838171767,23.015873015873016
2018-11-12,1209.41,1211.27,1209.11,1210.61,capital_com_processed_d1,chop,9.640714285714255,28.174603174603174,1217.5702809965035,1241.6045175123236,0.8446600222988376,-1.2391907325828067,0.9649386175607066,23.015873015873016
2018-11-13,1210.66,1211.39,1200.16,1202.94,capital_com_processed_d1,chop,9.487142857142837,23.809523809523807,1216.9965444868367,1241.2197959450368,0.7349487693319334,-1.9113162315106291,0.1840547000574677,40.07936507936508
2018-11-14,1202.94,1205.11,1196.21,1202.19,capital_com_processed_d1,chop,9.964285714285682,36.11111111111111,1216.4158956834315,1240.8314397664792,0.6243290287875736,-2.043560096800212,0.8582502768549327,55.55555555555556
2018-11-15,1202.28,1216.49,1197.64,1210.61,capital_com_processed_d1,chop,10.518571428571395,51.587301587301596,1216.1882134997675,1240.5307289230318,0.5617436717047175,-0.9547730470923277,1.1319399194693602,55.158730158730165
2018-11-16,1210.61,1216.42,1207.66,1214.41,capital_com_processed_d1,chop,10.465714285714252,50.39682539682539,1216.1184796370317,1240.270821172554,0.48616587349574747,-1.3332575031279825,1.1115181589596013,55.158730158730165
2018-11-17,1214.43,1225.23,1213.9,1221.2,capital_com_processed_d1,chop,10.589285714285682,53.96825396825397,1216.3177549453835,1240.0810617579018,0.4213949330706068,-1.133419689119175,2.1215390147429014,55.158730158730165
