time_utc,event,trade_id,source,direction,decision,equity_usd,active_trades,active_gross_lots
2021-02-16T16:00:00Z,ENTRY,T00498,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-02-17T15:00:00Z,ENTRY,T00499,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-02-18T04:00:00Z,ENTRY,T00500,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-02-18T14:00:00Z,ENTRY,T00501,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-02-19T09:00:00Z,ENTRY,T00502,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-02-19T11:00:00Z,ENTRY,T00503,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-02-25T13:00:00Z,ENTRY,T00504,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-02-26T05:00:00Z,ENTRY,T00505,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-02-26T11:00:00Z,ENTRY,T00506,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-03-01T11:00:00Z,ENTRY,T00507,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-03-01T12:00:00Z,ENTRY,T00508,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-03-01T16:00:00Z,ENTRY,T00509,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-03-01T17:00:00Z,ENTRY,T00510,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-03-01T18:00:00Z,ENTRY,T00511,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-03-02T07:00:00Z,ENTRY,T00512,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-03-03T17:00:00Z,ENTRY,T00513,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-03-03T22:05:00Z,ENTRY,T00514,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-03-04T03:00:00Z,ENTRY,T00515,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-03-04T08:00:00Z,ENTRY,T00516,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-03-04T16:00:00Z,ENTRY,T00517,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-03-08T09:00:00Z,ENTRY,T00518,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-03-08T14:00:00Z,ENTRY,T00519,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-03-08T15:00:00Z,ENTRY,T00520,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
2021-03-09T04:00:00Z,ENTRY,T00521,r2_pullback_short_h1_confirm,SHORT,EMERGENCY_DRAWDOWN_HALT,832.67,0,0
