component,source_id,upstream_source_id,upstream_component,family_group,source_priority,cell_id,component_priority,variant_name,entry_time,entry_date,direction,pnl_usd,tickets,lots,source_csv,source_row,drop_reason,duplicate_of_source_id,duplicate_of_entry_time
h4_d1_long_broad_box3_atr60,h4_d1_long_broad_box3_atr60,h4_d1_long_broad_box3_atr60,,h4_d1_core_shape,81,,0,h4_broad_lh,2023-10-13 12:00:00,2023-10-13,LONG,87.04,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_hybrid_lh_exact_202207_202606_20260701\A1XauM5Momentum_HYBRID_LH_EXACT_202207_202606_XAUUSD_M5_h4_broad_lh_trades.csv,5720,same_direction_overlap_5m,h4_d1_long_best_box2_atr80,2023-10-13 12:00:00
h4_d1_long_broad_box3_atr60,h4_d1_long_broad_box3_atr60,h4_d1_long_broad_box3_atr60,,h4_d1_core_shape,81,,0,h4_broad_lh,2023-10-13 16:00:00,2023-10-13,LONG,64.92,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_hybrid_lh_exact_202207_202606_20260701\A1XauM5Momentum_HYBRID_LH_EXACT_202207_202606_XAUUSD_M5_h4_broad_lh_trades.csv,5721,same_direction_overlap_5m,h4_d1_long_best_box2_atr80,2023-10-13 16:00:00
h4_d1_long_broad_box3_atr60,h4_d1_long_broad_box3_atr60,h4_d1_long_broad_box3_atr60,,h4_d1_core_shape,81,,0,h4_broad_lh,2023-11-14 16:00:00,2023-11-14,LONG,79.82,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_hybrid_lh_exact_202207_202606_20260701\A1XauM5Momentum_HYBRID_LH_EXACT_202207_202606_XAUUSD_M5_h4_broad_lh_trades.csv,5722,same_direction_overlap_5m,h4_d1_long_best_box2_atr80,2023-11-14 16:00:00
h4_d1_long_broad_box3_atr60,h4_d1_long_broad_box3_atr60,h4_d1_long_broad_box3_atr60,,h4_d1_core_shape,81,,0,h4_broad_lh,2023-11-15 08:00:00,2023-11-15,LONG,46.18,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_hybrid_lh_exact_202207_202606_20260701\A1XauM5Momentum_HYBRID_LH_EXACT_202207_202606_XAUUSD_M5_h4_broad_lh_trades.csv,5723,same_direction_overlap_5m,h4_d1_long_best_box2_atr80,2023-11-15 08:00:00
h4_d1_long_broad_box3_atr60,h4_d1_long_broad_box3_atr60,h4_d1_long_broad_box3_atr60,,h4_d1_core_shape,81,,0,h4_broad_lh,2023-11-16 16:00:00,2023-11-16,LONG,139.99,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_hybrid_lh_exact_202207_202606_20260701\A1XauM5Momentum_HYBRID_LH_EXACT_202207_202606_XAUUSD_M5_h4_broad_lh_trades.csv,5724,same_direction_overlap_5m,h4_d1_long_best_box2_atr80,2023-11-16 16:00:00
h4_d1_long_best_box2_atr80,h4_d1_long_best_box2_atr80,h4_d1_long_best_box2_atr80,,h4_d1_core_shape,80,,0,h4_box2_lh,2023-11-17 08:00:00,2023-11-17,LONG,42.97,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_hybrid_lh_exact_202207_202606_20260701\A1XauM5Momentum_HYBRID_LH_EXACT_202207_202606_XAUUSD_M5_h4_box2_lh_trades.csv,5429,same_direction_overlap_5m,freq_step3_frontier,2023-11-17 07:55:00
h4_d1_long_broad_box3_atr60,h4_d1_long_broad_box3_atr60,h4_d1_long_broad_box3_atr60,,h4_d1_core_shape,81,,0,h4_broad_lh,2023-11-17 08:00:00,2023-11-17,LONG,49.44,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_hybrid_lh_exact_202207_202606_20260701\A1XauM5Momentum_HYBRID_LH_EXACT_202207_202606_XAUUSD_M5_h4_broad_lh_trades.csv,5725,same_direction_overlap_5m,freq_step3_frontier,2023-11-17 07:55:00
h4_d1_long_broad_box3_atr60,h4_d1_long_broad_box3_atr60,h4_d1_long_broad_box3_atr60,,h4_d1_core_shape,81,,0,h4_broad_lh,2023-11-21 16:00:00,2023-11-21,LONG,71.44,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_hybrid_lh_exact_202207_202606_20260701\A1XauM5Momentum_HYBRID_LH_EXACT_202207_202606_XAUUSD_M5_h4_broad_lh_trades.csv,5726,same_direction_overlap_5m,h4_d1_long_best_box2_atr80,2023-11-21 16:00:00
h4_d1_long_broad_box3_atr60,h4_d1_long_broad_box3_atr60,h4_d1_long_broad_box3_atr60,,h4_d1_core_shape,81,,0,h4_broad_lh,2023-11-27 04:00:00,2023-11-27,LONG,90.23,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_hybrid_lh_exact_202207_202606_20260701\A1XauM5Momentum_HYBRID_LH_EXACT_202207_202606_XAUUSD_M5_h4_broad_lh_trades.csv,5727,same_direction_overlap_5m,h4_d1_long_best_box2_atr80,2023-11-27 04:00:00
h4_d1_long_broad_box3_atr60,h4_d1_long_broad_box3_atr60,h4_d1_long_broad_box3_atr60,,h4_d1_core_shape,81,,0,h4_broad_lh,2023-11-27 20:00:00,2023-11-27,LONG,100.89,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_hybrid_lh_exact_202207_202606_20260701\A1XauM5Momentum_HYBRID_LH_EXACT_202207_202606_XAUUSD_M5_h4_broad_lh_trades.csv,5728,same_direction_overlap_5m,h4_d1_long_best_box2_atr80,2023-11-27 20:00:00
