time_utc,timestamp_ms,ticks,spread_median,spread_p90,spread_p95,spread_p99,spread_last,atr,broker_spread_median_atr,broker_spread_p90_atr,dukascopy_open_spread,dukascopy_open_spread_atr,tick_spread_mean,tick_spread_last,tick_spread_max,broker_p90_minus_dukascopy_mean
2026-06-14T23:20:00.000Z,1781479200000,841,0.5,0.75,0.75,0.75,0.5,6.730486732901417,0.07428883227059822,0.11143324840589734,0.6700000000000728,0.09954703524261244,0.6710800000000199,0.6999999999998181,0.9839999999994689,0.07891999999998012
2026-06-14T23:25:00.000Z,1781479500000,764,0.5,0.75,0.75,0.75,0.5,6.399630537694177,0.07812951029828556,0.11719426544742835,0.7000000000007276,0.10938131441771348,0.6685676190476322,0.680000000000291,1.094000000000051,0.08143238095236782
2026-06-14T23:30:00.000Z,1781479800000,837,0.5,0.75,0.75,0.75,0.5,6.263835499287429,0.0798232967734992,0.1197349451602488,0.680000000000291,0.10855968361200537,0.6829058219178393,0.680000000000291,1.16399999999976,0.06709417808216067
2026-06-14T23:35:00.000Z,1781480100000,643,0.5,0.75,0.75,0.75,0.5,6.0057043921955096,0.08325418091668922,0.12488127137503383,0.680000000000291,0.1132256860467458,0.6899788918205791,0.6700000000000728,0.7399999999997817,0.06002110817942086
2026-06-14T23:40:00.000Z,1781480400000,778,0.5,0.75,0.75,0.75,0.5,5.829582649895893,0.08576943325590027,0.1286541498838504,0.6700000000000728,0.11493104056291883,0.6769136690647573,0.680000000000291,0.7300000000004729,0.07308633093524275
2026-06-14T23:45:00.000Z,1781480700000,1456,0.5,0.75,0.75,0.75,0.5,6.1309338891891,0.0815536440348294,0.12233046605224408,0.6799999999993815,0.1109129558872671,0.6844865864939831,0.6670000000003711,1.0339999999996508,0.06551341350601692
2026-06-14T23:50:00.000Z,1781481000000,1046,0.5,0.75,0.75,0.75,0.5,5.90111718281849,0.08472971888370298,0.12709457832555449,0.5270000000000437,0.08930512370343034,0.671196136701355,0.6700000000000728,1.0039999999999054,0.07880386329864497
2026-06-14T23:55:00.000Z,1781481300000,1120,0.5,0.75,0.75,0.75,0.75,5.67485881261719,0.08810791889453279,0.13216187834179918,0.5770000000002256,0.10167653840433058,0.6755744966443208,0.680000000000291,1.1239999999997963,0.07442550335567921
2026-06-15T00:00:00.000Z,1781481600000,1370,0.5,0.75,0.75,0.75,0.75,5.4562974688588035,0.091637232547106,0.13745584882065898,0.7100000000000364,0.13012487021689717,0.6959213051823264,0.6799999999993815,0.75,0.05407869481767358
2026-06-15T00:05:00.000Z,1781481900000,1184,0.5,0.75,0.75,0.75,0.5,5.288811935368887,0.09453919067461145,0.14180878601191715,0.6799999999993815,0.12857329931735462,0.675715932914044,0.6700000000000728,0.75,0.07428406708595603
2026-06-15T00:10:00.000Z,1781482200000,1559,0.5,0.75,0.75,0.75,0.5,5.262361082842586,0.09501438463244209,0.14252157694866316,0.5969999999997526,0.11344717525108886,0.6838347280334847,0.6999999999998181,0.75,0.06616527196651534
2026-06-15T00:15:00.000Z,1781482500000,1490,0.5,0.75,0.75,0.75,0.5,5.216371005496723,0.09585207790495111,0.14377811685742667,0.6999999999998181,0.13419290906689668,0.6784929889298948,0.6169999999992797,0.9340000000001965,0.07150701107010515
2026-06-15T00:20:00.000Z,1781482800000,1414,0.5,0.75,0.75,0.75,0.75,5.321165933675536,0.09396436913115216,0.14094655369672826,0.5470000000004802,0.10279701982957072,0.637647529069765,0.6999999999998181,0.9039999999995416,0.11235247093023504
2026-06-15T00:25:00.000Z,1781483100000,1509,0.5,0.75,0.75,0.75,0.75,5.48597550984149,0.09114149326824954,0.13671223990237433,0.6999999999998181,0.12759809057551622,0.6710563973064074,0.6999999999998181,1.1040000000002692,0.07894360269359257
2026-06-15T00:30:00.000Z,1781483400000,2088,0.5,0.75,0.75,0.75,0.5,5.8091201162814,0.08607155472627165,0.12910733208940747,0.7000000000007276,0.12050017661690555,0.6966753343239351,0.680000000000291,1.3699999999998909,0.053324665676064864
2026-06-15T00:35:00.000Z,1781483700000,1454,0.5,0.75,0.75,0.75,0.5,5.951325822261248,0.08401489263614566,0.12602233895421847,0.6700000000000728,0.1125799561324474,0.6753854266539123,0.680000000000291,0.819999999999709,0.07461457334608768
2026-06-15T00:40:00.000Z,1781484000000,1198,0.5,0.75,0.75,0.75,0.5,5.819088263528263,0.08592411342749373,0.1288861701412406,0.680000000000291,0.1168567942614415,0.6796914016489881,0.6900000000005093,0.9639999999999418,0.07030859835101189
2026-06-15T00:45:00.000Z,1781484300000,1517,0.5,0.75,0.75,0.75,0.75,5.685831958990503,0.08793787850331986,0.13190681775497978,0.680000000000291,0.11959551476456619,0.693047379032255,0.6270000000004075,0.7699999999995271,0.056952620967745005
2026-06-15T00:50:00.000Z,1781484600000,1242,0.5,0.75,0.75,0.75,0.5,5.607558247634049,0.08916536893949534,0.133748053409243,0.6469999999999345,0.1153799874076953,0.6902324723247083,0.7300000000004729,1.183999999999287,0.0597675276752917
2026-06-15T00:55:00.000Z,1781484900000,1256,0.5,0.75,0.75,0.75,0.5,5.552625515660178,0.09004749169376546,0.1350712375406482,0.7299999999995634,0.13146933787281895,0.6878366228070223,0.6900000000005093,1.2640000000001237,0.06216337719297771
2026-06-15T01:00:00.000Z,1781485200000,4508,0.5,0.75,0.75,0.75,0.5,6.215295121684445,0.08044670288552476,0.12067005432828713,0.680000000000291,0.1094075159243605,0.707912797282004,0.7299999999995634,1.2799999999997453,0.04208720271799604
2026-06-15T01:05:00.000Z,1781485500000,2945,0.5,0.75,0.75,0.75,0.5,6.34373832727835,0.07881787901779906,0.11822681852669858,0.7400000000006912,0.11665046094645157,0.7170693374422211,0.7400000000006912,0.8699999999998909,0.03293066255777888
2026-06-15T01:10:00.000Z,1781485800000,2242,0.5,0.75,0.75,0.75,0.5,6.443114161044225,0.0776022258030216,0.1164033387045324,0.7300000000004729,0.11329924967248493,0.7092614182692244,0.7299999999995634,1.3939999999993233,0.0407385817307756
2026-06-15T01:15:00.000Z,1781486100000,2133,0.5,0.75,0.75,0.75,0.5,6.48967743525537,0.07704543176271517,0.11556814764407275,0.7399999999997817,0.11402723900878482,0.6936427640156512,0.680000000000291,1.0100000000002183,0.05635723598434883
2026-06-15T01:20:00.000Z,1781486400000,2594,0.5,0.75,0.75,0.75,0.75,6.996486189879989,0.07146444464125734,0.10719666696188601,0.6799999999993815,0.09719164471202159,0.6855181318681309,0.7100000000000364,1.106999999999971,0.06448186813186907
2026-06-15T01:25:00.000Z,1781486700000,2263,0.5,0.75,0.75,0.75,0.5,7.061380033459907,0.07080768881306222,0.10621153321959334,0.7200000000002547,0.10196307189084566,0.70007177914111,0.7299999999995634,0.7700000000004366,0.04992822085889004
2026-06-15T01:30:00.000Z,1781487000000,2443,0.5,0.75,0.75,0.75,0.5,7.58224574535564,0.06594352343515976,0.09891528515273963,0.7299999999995634,0.09627754421527566,0.6910368239355575,0.7000000000007276,0.930000000000291,0.05896317606444246
2026-06-15T01:35:00.000Z,1781487300000,2264,0.5,0.75,0.75,0.75,0.5,7.630906763544525,0.06552301259775214,0.09828451889662823,0.6999999999998181,0.09173221763682918,0.7044236065573616,0.7400000000006912,1.0599999999994907,0.04557639344263842
2026-06-15T01:40:00.000Z,1781487600000,1956,0.5,0.75,0.75,0.75,0.5,7.430841994719911,0.06728712578672538,0.10093068868008807,0.7300000000004729,0.0982392036486827,0.6942372881356013,0.6900000000005093,0.7799999999997453,0.05576271186439874
2026-06-15T01:45:00.000Z,1781487900000,1842,0.5,0.75,0.75,0.75,0.75,7.239710423668496,0.0690635357963172,0.10359530369447581,0.5300000000006548,0.0732073479441867,0.6890685805422768,0.680000000000291,1.0299999999997453,0.06093141945772318
