timestamp_utc,bar_start_utc,bar_end_utc,broker,symbol,timeframe,open,high,low,close,mid_open,mid_high,mid_low,mid_close,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close,spread_open_points,spread_close_points,spread_median_points,spread_p95_points,tick_count,volume_sum
2025-02-09T00:00:00Z,2025-02-08T00:00:00Z,2025-02-09T00:00:00Z,dukascopy,XAUUSD,D1,2860.135,2860.135,2860.135,2860.135,2860.135,2860.135,2860.135,2860.135,,,,,,,,,,,,,1.0,0.0
2025-02-10T00:00:00Z,2025-02-09T00:00:00Z,2025-02-10T00:00:00Z,dukascopy,XAUUSD,D1,2858.065,2870.305,2854.448,2867.198,2858.065,2870.305,2854.448,2867.198,,,,,,,,,,,,,1.0,0.0
2025-02-11T00:00:00Z,2025-02-10T00:00:00Z,2025-02-11T00:00:00Z,dukascopy,XAUUSD,D1,2867.198,2921.455,2865.558,2917.655,2867.198,2921.455,2865.558,2917.655,,,,,,,,,,,,,1.0,0.0
2025-02-12T00:00:00Z,2025-02-11T00:00:00Z,2025-02-12T00:00:00Z,dukascopy,XAUUSD,D1,2917.685,2942.665,2881.635,2898.375,2917.685,2942.665,2881.635,2898.375,,,,,,,,,,,,,1.0,0.0
2025-02-13T00:00:00Z,2025-02-12T00:00:00Z,2025-02-13T00:00:00Z,dukascopy,XAUUSD,D1,2898.375,2909.035,2863.685,2905.498,2898.375,2909.035,2863.685,2905.498,,,,,,,,,,,,,1.0,0.0
2025-02-14T00:00:00Z,2025-02-13T00:00:00Z,2025-02-14T00:00:00Z,dukascopy,XAUUSD,D1,2905.498,2932.215,2901.188,2930.935,2905.498,2932.215,2901.188,2930.935,,,,,,,,,,,,,1.0,0.0
2025-02-15T00:00:00Z,2025-02-14T00:00:00Z,2025-02-15T00:00:00Z,dukascopy,XAUUSD,D1,2930.935,2939.935,2876.805,2882.085,2930.935,2939.935,2876.805,2882.085,,,,,,,,,,,,,1.0,0.0
2025-02-16T00:00:00Z,2025-02-15T00:00:00Z,2025-02-16T00:00:00Z,dukascopy,XAUUSD,D1,2882.085,2882.085,2882.085,2882.085,2882.085,2882.085,2882.085,2882.085,,,,,,,,,,,,,1.0,0.0
2025-02-17T00:00:00Z,2025-02-16T00:00:00Z,2025-02-17T00:00:00Z,dukascopy,XAUUSD,D1,2881.745,2893.405,2878.015,2879.075,2881.745,2893.405,2878.015,2879.075,,,,,,,,,,,,,1.0,0.0
2025-02-18T00:00:00Z,2025-02-17T00:00:00Z,2025-02-18T00:00:00Z,dukascopy,XAUUSD,D1,2879.095,2906.215,2879.095,2899.175,2879.095,2906.215,2879.095,2899.175,,,,,,,,,,,,,1.0,0.0
