evidence_partition,date_utc,utc_block_start_ms,candidate_time_utc,candidate_time_msc,side,signed_update_imbalance,displacement_price,entry_time_msc,entry_delay_ms,entry_bid,entry_ask,exit_time_msc,exit_delay_ms,exit_bid,exit_ask,observed_bidask_move,base_pnl_dollars,stress_pnl_dollars,reference_lot
EARLY_REPLICATION,2019-09-04,1567598400000,2019-09-04T15:32:51.276000Z,1567611171276,LONG,0.8620689655172413,0.6085000000000491,1567611171326,50,1546.835,1547.122,1567611291353,27,1547.135,1547.422,0.012999999999919964,-0.08700000000008004,-0.28700000000008,0.01
EARLY_REPLICATION,2019-09-05,1567641600000,2019-09-05T01:35:25.864000Z,1567647325864,LONG,0.8947368421052632,0.6164999999996326,1567647325914,50,1544.445,1544.742,1567647446152,238,1543.685,1543.972,-1.0570000000000164,-1.1570000000000165,-1.3570000000000164,0.01
EARLY_REPLICATION,2019-09-05,1567656000000,2019-09-05T07:57:00.026000Z,1567670220026,SHORT,-0.9,-0.6535000000001219,1567670220077,51,1541.655,1541.992,1567670340136,59,1542.235,1542.562,-0.9069999999999254,-1.0069999999999255,-1.2069999999999255,0.01
EARLY_REPLICATION,2019-09-09,1567987200000,2019-09-09T02:42:10.249000Z,1567996930249,SHORT,-0.7857142857142857,-0.6050000000000182,1567996930350,101,1507.548,1507.862,1567997050386,36,1507.588,1507.942,-0.39400000000000546,-0.49400000000000543,-0.6940000000000055,0.01
EARLY_REPLICATION,2019-09-09,1568044800000,2019-09-09T18:33:07.453000Z,1568053987453,SHORT,-0.7692307692307693,-0.6050000000000182,1568053987666,213,1501.745,1502.065,1568054107846,180,1501.228,1501.525,0.2199999999997999,0.1199999999997999,-0.08000000000020008,0.01
EARLY_REPLICATION,2019-09-10,1568073600000,2019-09-10T00:46:10.967000Z,1568076370967,SHORT,-0.75,-1.1315000000001874,1568076371068,101,1493.358,1493.722,1568076491413,345,1494.108,1494.435,-1.0769999999999982,-1.1769999999999983,-1.3769999999999982,0.01
EARLY_REPLICATION,2019-09-10,1568116800000,2019-09-10T13:00:13.616000Z,1568120413616,SHORT,-0.8888888888888888,-0.6649999999999636,1568120413855,239,1495.038,1495.285,1568120534042,187,1494.105,1494.392,0.6459999999999582,0.5459999999999582,0.3459999999999582,0.01
EARLY_REPLICATION,2019-09-12,1568289600000,2019-09-12T12:09:05.732000Z,1568290145732,LONG,0.75,0.6465000000002874,1568290145833,101,1513.258,1513.555,1568290265923,90,1514.398,1514.715,0.8429999999998472,0.7429999999998472,0.5429999999998472,0.01
EARLY_REPLICATION,2019-09-12,1568318400000,2019-09-12T20:33:09.335000Z,1568320389335,LONG,0.8947368421052632,0.7350000000001273,1568320389386,51,1498.655,1499.025,1568320509436,50,1498.325,1498.685,-0.7000000000000455,-0.8000000000000455,-1.0000000000000455,0.01
EARLY_REPLICATION,2019-09-16,1568592000000,2019-09-16T00:25:42.747000Z,1568593542747,LONG,0.8181818181818182,0.8414999999999964,1568593543055,308,1511.025,1511.402,1568593663581,526,1511.838,1512.191,0.4359999999999218,0.3359999999999218,0.1359999999999218,0.01
EARLY_REPLICATION,2019-09-16,1568635200000,2019-09-16T13:35:08.912000Z,1568640908912,SHORT,-0.8620689655172413,-0.63799999999992,1568640908963,51,1500.448,1500.752,1568641030241,1278,1500.848,1501.155,-0.70699999999988,-0.8069999999998799,-1.00699999999988,0.01
