policy_id,horizon_ms,minimum_absolute_xag_move_bps,minimum_directional_innovation_bps,maximum_signed_xau_response_ratio,minimum_xag_quote_count,eligible_full_weekdays,candidates,candidates_per_full_weekday,active_days,active_day_share,long_candidates,short_candidates,minority_direction_share,selection_eligible
H01000__XM050__IN025__RR025__QC02,1000,5.0,2.5,0.25,2,21,20,0.9523809523809523,20,0.9523809523809523,8,12,0.4,True
H01000__XM050__IN025__RR025__QC05,1000,5.0,2.5,0.25,5,21,13,0.6190476190476191,13,0.6190476190476191,5,8,0.38461538461538464,False
H01000__XM050__IN025__RR050__QC02,1000,5.0,2.5,0.5,2,21,20,0.9523809523809523,20,0.9523809523809523,10,10,0.5,True
H01000__XM050__IN025__RR050__QC05,1000,5.0,2.5,0.5,5,21,15,0.7142857142857143,15,0.7142857142857143,5,10,0.3333333333333333,True
H01000__XM050__IN025__RR075__QC02,1000,5.0,2.5,0.75,2,21,20,0.9523809523809523,20,0.9523809523809523,10,10,0.5,True
H01000__XM050__IN025__RR075__QC05,1000,5.0,2.5,0.75,5,21,15,0.7142857142857143,15,0.7142857142857143,6,9,0.4,True
H02000__XM010__IN005__RR000__QC02,2000,1.0,0.5,0.0,2,21,21,1.0,21,1.0,15,6,0.2857142857142857,True
H02000__XM010__IN005__RR000__QC05,2000,1.0,0.5,0.0,5,21,21,1.0,21,1.0,10,11,0.47619047619047616,True
H02000__XM010__IN005__RR025__QC02,2000,1.0,0.5,0.25,2,21,21,1.0,21,1.0,13,8,0.38095238095238093,True
H02000__XM010__IN005__RR025__QC05,2000,1.0,0.5,0.25,5,21,21,1.0,21,1.0,11,10,0.47619047619047616,True
H02000__XM010__IN005__RR050__QC02,2000,1.0,0.5,0.5,2,21,21,1.0,21,1.0,7,14,0.3333333333333333,True
H02000__XM010__IN005__RR050__QC05,2000,1.0,0.5,0.5,5,21,21,1.0,21,1.0,11,10,0.47619047619047616,True
H02000__XM010__IN005__RR075__QC02,2000,1.0,0.5,0.75,2,21,21,1.0,21,1.0,7,14,0.3333333333333333,True
H02000__XM010__IN005__RR075__QC05,2000,1.0,0.5,0.75,5,21,21,1.0,21,1.0,11,10,0.47619047619047616,True
H02000__XM010__IN010__RR000__QC02,2000,1.0,1.0,0.0,2,21,21,1.0,21,1.0,15,6,0.2857142857142857,True
H02000__XM010__IN010__RR000__QC05,2000,1.0,1.0,0.0,5,21,21,1.0,21,1.0,10,11,0.47619047619047616,True
H02000__XM010__IN010__RR025__QC02,2000,1.0,1.0,0.25,2,21,21,1.0,21,1.0,13,8,0.38095238095238093,True
H02000__XM010__IN010__RR025__QC05,2000,1.0,1.0,0.25,5,21,21,1.0,21,1.0,11,10,0.47619047619047616,True
H02000__XM010__IN010__RR050__QC02,2000,1.0,1.0,0.5,2,21,21,1.0,21,1.0,10,11,0.47619047619047616,True
H02000__XM010__IN010__RR050__QC05,2000,1.0,1.0,0.5,5,21,21,1.0,21,1.0,10,11,0.47619047619047616,True
H02000__XM010__IN010__RR075__QC02,2000,1.0,1.0,0.75,2,21,21,1.0,21,1.0,10,11,0.47619047619047616,True
H02000__XM010__IN010__RR075__QC05,2000,1.0,1.0,0.75,5,21,21,1.0,21,1.0,11,10,0.47619047619047616,True
H02000__XM010__IN015__RR000__QC02,2000,1.0,1.5,0.0,2,21,21,1.0,21,1.0,14,7,0.3333333333333333,True
H02000__XM010__IN015__RR000__QC05,2000,1.0,1.5,0.0,5,21,21,1.0,21,1.0,9,12,0.42857142857142855,True
H02000__XM010__IN015__RR025__QC02,2000,1.0,1.5,0.25,2,21,21,1.0,21,1.0,11,10,0.47619047619047616,True
H02000__XM010__IN015__RR025__QC05,2000,1.0,1.5,0.25,5,21,21,1.0,21,1.0,9,12,0.42857142857142855,True
H02000__XM010__IN015__RR050__QC02,2000,1.0,1.5,0.5,2,21,21,1.0,21,1.0,11,10,0.47619047619047616,True
H02000__XM010__IN015__RR050__QC05,2000,1.0,1.5,0.5,5,21,21,1.0,21,1.0,7,14,0.3333333333333333,True
H02000__XM010__IN015__RR075__QC02,2000,1.0,1.5,0.75,2,21,21,1.0,21,1.0,11,10,0.47619047619047616,True
H02000__XM010__IN015__RR075__QC05,2000,1.0,1.5,0.75,5,21,21,1.0,21,1.0,7,14,0.3333333333333333,True
H02000__XM010__IN020__RR000__QC02,2000,1.0,2.0,0.0,2,21,21,1.0,21,1.0,11,10,0.47619047619047616,True
H02000__XM010__IN020__RR000__QC05,2000,1.0,2.0,0.0,5,21,20,0.9523809523809523,20,0.9523809523809523,9,11,0.45,True
H02000__XM010__IN020__RR025__QC02,2000,1.0,2.0,0.25,2,21,21,1.0,21,1.0,10,11,0.47619047619047616,True
H02000__XM010__IN020__RR025__QC05,2000,1.0,2.0,0.25,5,21,21,1.0,21,1.0,7,14,0.3333333333333333,True
H02000__XM010__IN020__RR050__QC02,2000,1.0,2.0,0.5,2,21,21,1.0,21,1.0,9,12,0.42857142857142855,True
H02000__XM010__IN020__RR050__QC05,2000,1.0,2.0,0.5,5,21,21,1.0,21,1.0,9,12,0.42857142857142855,True
H02000__XM010__IN020__RR075__QC02,2000,1.0,2.0,0.75,2,21,21,1.0,21,1.0,9,12,0.42857142857142855,True
H02000__XM010__IN020__RR075__QC05,2000,1.0,2.0,0.75,5,21,21,1.0,21,1.0,9,12,0.42857142857142855,True
H02000__XM010__IN025__RR000__QC02,2000,1.0,2.5,0.0,2,21,21,1.0,21,1.0,11,10,0.47619047619047616,True
H02000__XM010__IN025__RR000__QC05,2000,1.0,2.5,0.0,5,21,19,0.9047619047619048,19,0.9047619047619048,8,11,0.42105263157894735,True
H02000__XM010__IN025__RR025__QC02,2000,1.0,2.5,0.25,2,21,21,1.0,21,1.0,9,12,0.42857142857142855,True
H02000__XM010__IN025__RR025__QC05,2000,1.0,2.5,0.25,5,21,21,1.0,21,1.0,8,13,0.38095238095238093,True
H02000__XM010__IN025__RR050__QC02,2000,1.0,2.5,0.5,2,21,21,1.0,21,1.0,9,12,0.42857142857142855,True
H02000__XM010__IN025__RR050__QC05,2000,1.0,2.5,0.5,5,21,21,1.0,21,1.0,8,13,0.38095238095238093,True
H02000__XM010__IN025__RR075__QC02,2000,1.0,2.5,0.75,2,21,21,1.0,21,1.0,9,12,0.42857142857142855,True
H02000__XM010__IN025__RR075__QC05,2000,1.0,2.5,0.75,5,21,21,1.0,21,1.0,8,13,0.38095238095238093,True
H02000__XM020__IN005__RR000__QC02,2000,2.0,0.5,0.0,2,21,21,1.0,21,1.0,11,10,0.47619047619047616,True
H02000__XM020__IN005__RR000__QC05,2000,2.0,0.5,0.0,5,21,19,0.9047619047619048,19,0.9047619047619048,9,10,0.47368421052631576,True
H02000__XM020__IN005__RR025__QC02,2000,2.0,0.5,0.25,2,21,21,1.0,21,1.0,10,11,0.47619047619047616,True
H02000__XM020__IN005__RR025__QC05,2000,2.0,0.5,0.25,5,21,21,1.0,21,1.0,9,12,0.42857142857142855,True
H02000__XM020__IN005__RR050__QC02,2000,2.0,0.5,0.5,2,21,21,1.0,21,1.0,10,11,0.47619047619047616,True
H02000__XM020__IN005__RR050__QC05,2000,2.0,0.5,0.5,5,21,21,1.0,21,1.0,9,12,0.42857142857142855,True
H02000__XM020__IN005__RR075__QC02,2000,2.0,0.5,0.75,2,21,21,1.0,21,1.0,9,12,0.42857142857142855,True
H02000__XM020__IN005__RR075__QC05,2000,2.0,0.5,0.75,5,21,21,1.0,21,1.0,9,12,0.42857142857142855,True
H02000__XM020__IN010__RR000__QC02,2000,2.0,1.0,0.0,2,21,21,1.0,21,1.0,11,10,0.47619047619047616,True
H02000__XM020__IN010__RR000__QC05,2000,2.0,1.0,0.0,5,21,19,0.9047619047619048,19,0.9047619047619048,9,10,0.47368421052631576,True
H02000__XM020__IN010__RR025__QC02,2000,2.0,1.0,0.25,2,21,21,1.0,21,1.0,10,11,0.47619047619047616,True
H02000__XM020__IN010__RR025__QC05,2000,2.0,1.0,0.25,5,21,21,1.0,21,1.0,9,12,0.42857142857142855,True
H02000__XM020__IN010__RR050__QC02,2000,2.0,1.0,0.5,2,21,21,1.0,21,1.0,10,11,0.47619047619047616,True
H02000__XM020__IN010__RR050__QC05,2000,2.0,1.0,0.5,5,21,21,1.0,21,1.0,9,12,0.42857142857142855,True
H02000__XM020__IN010__RR075__QC02,2000,2.0,1.0,0.75,2,21,21,1.0,21,1.0,10,11,0.47619047619047616,True
H02000__XM020__IN010__RR075__QC05,2000,2.0,1.0,0.75,5,21,21,1.0,21,1.0,9,12,0.42857142857142855,True
H02000__XM020__IN015__RR000__QC02,2000,2.0,1.5,0.0,2,21,21,1.0,21,1.0,11,10,0.47619047619047616,True
H02000__XM020__IN015__RR000__QC05,2000,2.0,1.5,0.0,5,21,19,0.9047619047619048,19,0.9047619047619048,9,10,0.47368421052631576,True
H02000__XM020__IN015__RR025__QC02,2000,2.0,1.5,0.25,2,21,21,1.0,21,1.0,10,11,0.47619047619047616,True
H02000__XM020__IN015__RR025__QC05,2000,2.0,1.5,0.25,5,21,21,1.0,21,1.0,9,12,0.42857142857142855,True
H02000__XM020__IN015__RR050__QC02,2000,2.0,1.5,0.5,2,21,21,1.0,21,1.0,10,11,0.47619047619047616,True
H02000__XM020__IN015__RR050__QC05,2000,2.0,1.5,0.5,5,21,21,1.0,21,1.0,8,13,0.38095238095238093,True
H02000__XM020__IN015__RR075__QC02,2000,2.0,1.5,0.75,2,21,21,1.0,21,1.0,10,11,0.47619047619047616,True
H02000__XM020__IN015__RR075__QC05,2000,2.0,1.5,0.75,5,21,21,1.0,21,1.0,7,14,0.3333333333333333,True
H02000__XM020__IN020__RR000__QC02,2000,2.0,2.0,0.0,2,21,21,1.0,21,1.0,11,10,0.47619047619047616,True
H02000__XM020__IN020__RR000__QC05,2000,2.0,2.0,0.0,5,21,19,0.9047619047619048,19,0.9047619047619048,9,10,0.47368421052631576,True
H02000__XM020__IN020__RR025__QC02,2000,2.0,2.0,0.25,2,21,21,1.0,21,1.0,11,10,0.47619047619047616,True
H02000__XM020__IN020__RR025__QC05,2000,2.0,2.0,0.25,5,21,21,1.0,21,1.0,9,12,0.42857142857142855,True
H02000__XM020__IN020__RR050__QC02,2000,2.0,2.0,0.5,2,21,21,1.0,21,1.0,10,11,0.47619047619047616,True
H02000__XM020__IN020__RR050__QC05,2000,2.0,2.0,0.5,5,21,21,1.0,21,1.0,10,11,0.47619047619047616,True
H02000__XM020__IN020__RR075__QC02,2000,2.0,2.0,0.75,2,21,21,1.0,21,1.0,10,11,0.47619047619047616,True
H02000__XM020__IN020__RR075__QC05,2000,2.0,2.0,0.75,5,21,21,1.0,21,1.0,10,11,0.47619047619047616,True
H02000__XM020__IN025__RR000__QC02,2000,2.0,2.5,0.0,2,21,21,1.0,21,1.0,11,10,0.47619047619047616,True
H02000__XM020__IN025__RR000__QC05,2000,2.0,2.5,0.0,5,21,19,0.9047619047619048,19,0.9047619047619048,8,11,0.42105263157894735,True
H02000__XM020__IN025__RR025__QC02,2000,2.0,2.5,0.25,2,21,21,1.0,21,1.0,9,12,0.42857142857142855,True
H02000__XM020__IN025__RR025__QC05,2000,2.0,2.5,0.25,5,21,21,1.0,21,1.0,8,13,0.38095238095238093,True
H02000__XM020__IN025__RR050__QC02,2000,2.0,2.5,0.5,2,21,21,1.0,21,1.0,9,12,0.42857142857142855,True
H02000__XM020__IN025__RR050__QC05,2000,2.0,2.5,0.5,5,21,21,1.0,21,1.0,8,13,0.38095238095238093,True
H02000__XM020__IN025__RR075__QC02,2000,2.0,2.5,0.75,2,21,21,1.0,21,1.0,9,12,0.42857142857142855,True
H02000__XM020__IN025__RR075__QC05,2000,2.0,2.5,0.75,5,21,21,1.0,21,1.0,8,13,0.38095238095238093,True
H02000__XM030__IN005__RR000__QC02,2000,3.0,0.5,0.0,2,21,21,1.0,21,1.0,11,10,0.47619047619047616,True
H02000__XM030__IN005__RR000__QC05,2000,3.0,0.5,0.0,5,21,16,0.7619047619047619,16,0.7619047619047619,9,7,0.4375,True
H02000__XM030__IN005__RR025__QC02,2000,3.0,0.5,0.25,2,21,21,1.0,21,1.0,7,14,0.3333333333333333,True
H02000__XM030__IN005__RR025__QC05,2000,3.0,0.5,0.25,5,21,21,1.0,21,1.0,7,14,0.3333333333333333,True
H02000__XM030__IN005__RR050__QC02,2000,3.0,0.5,0.5,2,21,21,1.0,21,1.0,8,13,0.38095238095238093,True
H02000__XM030__IN005__RR050__QC05,2000,3.0,0.5,0.5,5,21,21,1.0,21,1.0,7,14,0.3333333333333333,True
H02000__XM030__IN005__RR075__QC02,2000,3.0,0.5,0.75,2,21,21,1.0,21,1.0,8,13,0.38095238095238093,True
H02000__XM030__IN005__RR075__QC05,2000,3.0,0.5,0.75,5,21,21,1.0,21,1.0,7,14,0.3333333333333333,True
H02000__XM030__IN010__RR000__QC02,2000,3.0,1.0,0.0,2,21,21,1.0,21,1.0,11,10,0.47619047619047616,True
H02000__XM030__IN010__RR000__QC05,2000,3.0,1.0,0.0,5,21,16,0.7619047619047619,16,0.7619047619047619,9,7,0.4375,True
H02000__XM030__IN010__RR025__QC02,2000,3.0,1.0,0.25,2,21,21,1.0,21,1.0,7,14,0.3333333333333333,True
H02000__XM030__IN010__RR025__QC05,2000,3.0,1.0,0.25,5,21,21,1.0,21,1.0,7,14,0.3333333333333333,True
H02000__XM030__IN010__RR050__QC02,2000,3.0,1.0,0.5,2,21,21,1.0,21,1.0,8,13,0.38095238095238093,True
H02000__XM030__IN010__RR050__QC05,2000,3.0,1.0,0.5,5,21,21,1.0,21,1.0,7,14,0.3333333333333333,True
H02000__XM030__IN010__RR075__QC02,2000,3.0,1.0,0.75,2,21,21,1.0,21,1.0,8,13,0.38095238095238093,True
H02000__XM030__IN010__RR075__QC05,2000,3.0,1.0,0.75,5,21,21,1.0,21,1.0,7,14,0.3333333333333333,True
H02000__XM030__IN015__RR000__QC02,2000,3.0,1.5,0.0,2,21,21,1.0,21,1.0,11,10,0.47619047619047616,True
H02000__XM030__IN015__RR000__QC05,2000,3.0,1.5,0.0,5,21,16,0.7619047619047619,16,0.7619047619047619,9,7,0.4375,True
H02000__XM030__IN015__RR025__QC02,2000,3.0,1.5,0.25,2,21,21,1.0,21,1.0,7,14,0.3333333333333333,True
H02000__XM030__IN015__RR025__QC05,2000,3.0,1.5,0.25,5,21,21,1.0,21,1.0,7,14,0.3333333333333333,True
H02000__XM030__IN015__RR050__QC02,2000,3.0,1.5,0.5,2,21,21,1.0,21,1.0,8,13,0.38095238095238093,True
H02000__XM030__IN015__RR050__QC05,2000,3.0,1.5,0.5,5,21,21,1.0,21,1.0,7,14,0.3333333333333333,True
H02000__XM030__IN015__RR075__QC02,2000,3.0,1.5,0.75,2,21,21,1.0,21,1.0,8,13,0.38095238095238093,True
H02000__XM030__IN015__RR075__QC05,2000,3.0,1.5,0.75,5,21,21,1.0,21,1.0,6,15,0.2857142857142857,True
H02000__XM030__IN020__RR000__QC02,2000,3.0,2.0,0.0,2,21,21,1.0,21,1.0,11,10,0.47619047619047616,True
H02000__XM030__IN020__RR000__QC05,2000,3.0,2.0,0.0,5,21,16,0.7619047619047619,16,0.7619047619047619,9,7,0.4375,True
H02000__XM030__IN020__RR025__QC02,2000,3.0,2.0,0.25,2,21,21,1.0,21,1.0,7,14,0.3333333333333333,True
H02000__XM030__IN020__RR025__QC05,2000,3.0,2.0,0.25,5,21,21,1.0,21,1.0,7,14,0.3333333333333333,True
H02000__XM030__IN020__RR050__QC02,2000,3.0,2.0,0.5,2,21,21,1.0,21,1.0,9,12,0.42857142857142855,True
H02000__XM030__IN020__RR050__QC05,2000,3.0,2.0,0.5,5,21,21,1.0,21,1.0,8,13,0.38095238095238093,True
H02000__XM030__IN020__RR075__QC02,2000,3.0,2.0,0.75,2,21,21,1.0,21,1.0,9,12,0.42857142857142855,True
H02000__XM030__IN020__RR075__QC05,2000,3.0,2.0,0.75,5,21,21,1.0,21,1.0,8,13,0.38095238095238093,True
H02000__XM030__IN025__RR000__QC02,2000,3.0,2.5,0.0,2,21,21,1.0,21,1.0,11,10,0.47619047619047616,True
H02000__XM030__IN025__RR000__QC05,2000,3.0,2.5,0.0,5,21,16,0.7619047619047619,16,0.7619047619047619,9,7,0.4375,True
H02000__XM030__IN025__RR025__QC02,2000,3.0,2.5,0.25,2,21,21,1.0,21,1.0,7,14,0.3333333333333333,True
H02000__XM030__IN025__RR025__QC05,2000,3.0,2.5,0.25,5,21,21,1.0,21,1.0,7,14,0.3333333333333333,True
H02000__XM030__IN025__RR050__QC02,2000,3.0,2.5,0.5,2,21,21,1.0,21,1.0,7,14,0.3333333333333333,True
H02000__XM030__IN025__RR050__QC05,2000,3.0,2.5,0.5,5,21,21,1.0,21,1.0,6,15,0.2857142857142857,True
H02000__XM030__IN025__RR075__QC02,2000,3.0,2.5,0.75,2,21,21,1.0,21,1.0,7,14,0.3333333333333333,True
H02000__XM030__IN025__RR075__QC05,2000,3.0,2.5,0.75,5,21,21,1.0,21,1.0,6,15,0.2857142857142857,True
H02000__XM040__IN005__RR000__QC02,2000,4.0,0.5,0.0,2,21,16,0.7619047619047619,16,0.7619047619047619,5,11,0.3125,True
H02000__XM040__IN005__RR000__QC05,2000,4.0,0.5,0.0,5,21,11,0.5238095238095238,11,0.5238095238095238,5,6,0.45454545454545453,False
H02000__XM040__IN005__RR025__QC02,2000,4.0,0.5,0.25,2,21,21,1.0,21,1.0,9,12,0.42857142857142855,True
H02000__XM040__IN005__RR025__QC05,2000,4.0,0.5,0.25,5,21,21,1.0,21,1.0,8,13,0.38095238095238093,True
H02000__XM040__IN005__RR050__QC02,2000,4.0,0.5,0.5,2,21,21,1.0,21,1.0,10,11,0.47619047619047616,True
H02000__XM040__IN005__RR050__QC05,2000,4.0,0.5,0.5,5,21,21,1.0,21,1.0,7,14,0.3333333333333333,True
H02000__XM040__IN005__RR075__QC02,2000,4.0,0.5,0.75,2,21,21,1.0,21,1.0,10,11,0.47619047619047616,True
H02000__XM040__IN005__RR075__QC05,2000,4.0,0.5,0.75,5,21,21,1.0,21,1.0,7,14,0.3333333333333333,True
H02000__XM040__IN010__RR000__QC02,2000,4.0,1.0,0.0,2,21,16,0.7619047619047619,16,0.7619047619047619,5,11,0.3125,True
H02000__XM040__IN010__RR000__QC05,2000,4.0,1.0,0.0,5,21,11,0.5238095238095238,11,0.5238095238095238,5,6,0.45454545454545453,False
H02000__XM040__IN010__RR025__QC02,2000,4.0,1.0,0.25,2,21,21,1.0,21,1.0,9,12,0.42857142857142855,True
H02000__XM040__IN010__RR025__QC05,2000,4.0,1.0,0.25,5,21,21,1.0,21,1.0,8,13,0.38095238095238093,True
H02000__XM040__IN010__RR050__QC02,2000,4.0,1.0,0.5,2,21,21,1.0,21,1.0,10,11,0.47619047619047616,True
H02000__XM040__IN010__RR050__QC05,2000,4.0,1.0,0.5,5,21,21,1.0,21,1.0,7,14,0.3333333333333333,True
H02000__XM040__IN010__RR075__QC02,2000,4.0,1.0,0.75,2,21,21,1.0,21,1.0,10,11,0.47619047619047616,True
H02000__XM040__IN010__RR075__QC05,2000,4.0,1.0,0.75,5,21,21,1.0,21,1.0,7,14,0.3333333333333333,True
H02000__XM040__IN015__RR000__QC02,2000,4.0,1.5,0.0,2,21,16,0.7619047619047619,16,0.7619047619047619,5,11,0.3125,True
H02000__XM040__IN015__RR000__QC05,2000,4.0,1.5,0.0,5,21,11,0.5238095238095238,11,0.5238095238095238,5,6,0.45454545454545453,False
H02000__XM040__IN015__RR025__QC02,2000,4.0,1.5,0.25,2,21,21,1.0,21,1.0,9,12,0.42857142857142855,True
H02000__XM040__IN015__RR025__QC05,2000,4.0,1.5,0.25,5,21,21,1.0,21,1.0,8,13,0.38095238095238093,True
H02000__XM040__IN015__RR050__QC02,2000,4.0,1.5,0.5,2,21,21,1.0,21,1.0,10,11,0.47619047619047616,True
H02000__XM040__IN015__RR050__QC05,2000,4.0,1.5,0.5,5,21,21,1.0,21,1.0,7,14,0.3333333333333333,True
H02000__XM040__IN015__RR075__QC02,2000,4.0,1.5,0.75,2,21,21,1.0,21,1.0,10,11,0.47619047619047616,True
H02000__XM040__IN015__RR075__QC05,2000,4.0,1.5,0.75,5,21,21,1.0,21,1.0,7,14,0.3333333333333333,True
H02000__XM040__IN020__RR000__QC02,2000,4.0,2.0,0.0,2,21,16,0.7619047619047619,16,0.7619047619047619,5,11,0.3125,True
H02000__XM040__IN020__RR000__QC05,2000,4.0,2.0,0.0,5,21,11,0.5238095238095238,11,0.5238095238095238,5,6,0.45454545454545453,False
H02000__XM040__IN020__RR025__QC02,2000,4.0,2.0,0.25,2,21,21,1.0,21,1.0,9,12,0.42857142857142855,True
H02000__XM040__IN020__RR025__QC05,2000,4.0,2.0,0.25,5,21,21,1.0,21,1.0,8,13,0.38095238095238093,True
H02000__XM040__IN020__RR050__QC02,2000,4.0,2.0,0.5,2,21,21,1.0,21,1.0,10,11,0.47619047619047616,True
H02000__XM040__IN020__RR050__QC05,2000,4.0,2.0,0.5,5,21,21,1.0,21,1.0,7,14,0.3333333333333333,True
H02000__XM040__IN020__RR075__QC02,2000,4.0,2.0,0.75,2,21,21,1.0,21,1.0,10,11,0.47619047619047616,True
H02000__XM040__IN020__RR075__QC05,2000,4.0,2.0,0.75,5,21,21,1.0,21,1.0,7,14,0.3333333333333333,True
H02000__XM040__IN025__RR000__QC02,2000,4.0,2.5,0.0,2,21,16,0.7619047619047619,16,0.7619047619047619,5,11,0.3125,True
H02000__XM040__IN025__RR000__QC05,2000,4.0,2.5,0.0,5,21,11,0.5238095238095238,11,0.5238095238095238,5,6,0.45454545454545453,False
H02000__XM040__IN025__RR025__QC02,2000,4.0,2.5,0.25,2,21,21,1.0,21,1.0,9,12,0.42857142857142855,True
H02000__XM040__IN025__RR025__QC05,2000,4.0,2.5,0.25,5,21,21,1.0,21,1.0,8,13,0.38095238095238093,True
H02000__XM040__IN025__RR050__QC02,2000,4.0,2.5,0.5,2,21,21,1.0,21,1.0,9,12,0.42857142857142855,True
H02000__XM040__IN025__RR050__QC05,2000,4.0,2.5,0.5,5,21,21,1.0,21,1.0,7,14,0.3333333333333333,True
H02000__XM040__IN025__RR075__QC02,2000,4.0,2.5,0.75,2,21,21,1.0,21,1.0,9,12,0.42857142857142855,True
H02000__XM040__IN025__RR075__QC05,2000,4.0,2.5,0.75,5,21,21,1.0,21,1.0,7,14,0.3333333333333333,True
H02000__XM050__IN005__RR000__QC02,2000,5.0,0.5,0.0,2,21,14,0.6666666666666666,14,0.6666666666666666,8,6,0.42857142857142855,True
H02000__XM050__IN005__RR000__QC05,2000,5.0,0.5,0.0,5,21,10,0.47619047619047616,10,0.47619047619047616,7,3,0.3,False
H02000__XM050__IN005__RR025__QC02,2000,5.0,0.5,0.25,2,21,20,0.9523809523809523,20,0.9523809523809523,9,11,0.45,True
H02000__XM050__IN005__RR025__QC05,2000,5.0,0.5,0.25,5,21,19,0.9047619047619048,19,0.9047619047619048,8,11,0.42105263157894735,True
H02000__XM050__IN005__RR050__QC02,2000,5.0,0.5,0.5,2,21,21,1.0,21,1.0,9,12,0.42857142857142855,True
H02000__XM050__IN005__RR050__QC05,2000,5.0,0.5,0.5,5,21,19,0.9047619047619048,19,0.9047619047619048,7,12,0.3684210526315789,True
H02000__XM050__IN005__RR075__QC02,2000,5.0,0.5,0.75,2,21,21,1.0,21,1.0,9,12,0.42857142857142855,True
H02000__XM050__IN005__RR075__QC05,2000,5.0,0.5,0.75,5,21,19,0.9047619047619048,19,0.9047619047619048,7,12,0.3684210526315789,True
H02000__XM050__IN010__RR000__QC02,2000,5.0,1.0,0.0,2,21,14,0.6666666666666666,14,0.6666666666666666,8,6,0.42857142857142855,True
H02000__XM050__IN010__RR000__QC05,2000,5.0,1.0,0.0,5,21,10,0.47619047619047616,10,0.47619047619047616,7,3,0.3,False
H02000__XM050__IN010__RR025__QC02,2000,5.0,1.0,0.25,2,21,20,0.9523809523809523,20,0.9523809523809523,9,11,0.45,True
H02000__XM050__IN010__RR025__QC05,2000,5.0,1.0,0.25,5,21,19,0.9047619047619048,19,0.9047619047619048,8,11,0.42105263157894735,True
H02000__XM050__IN010__RR050__QC02,2000,5.0,1.0,0.5,2,21,21,1.0,21,1.0,9,12,0.42857142857142855,True
H02000__XM050__IN010__RR050__QC05,2000,5.0,1.0,0.5,5,21,19,0.9047619047619048,19,0.9047619047619048,7,12,0.3684210526315789,True
H02000__XM050__IN010__RR075__QC02,2000,5.0,1.0,0.75,2,21,21,1.0,21,1.0,9,12,0.42857142857142855,True
H02000__XM050__IN010__RR075__QC05,2000,5.0,1.0,0.75,5,21,19,0.9047619047619048,19,0.9047619047619048,7,12,0.3684210526315789,True
H02000__XM050__IN015__RR000__QC02,2000,5.0,1.5,0.0,2,21,14,0.6666666666666666,14,0.6666666666666666,8,6,0.42857142857142855,True
H02000__XM050__IN015__RR000__QC05,2000,5.0,1.5,0.0,5,21,10,0.47619047619047616,10,0.47619047619047616,7,3,0.3,False
H02000__XM050__IN015__RR025__QC02,2000,5.0,1.5,0.25,2,21,20,0.9523809523809523,20,0.9523809523809523,9,11,0.45,True
H02000__XM050__IN015__RR025__QC05,2000,5.0,1.5,0.25,5,21,19,0.9047619047619048,19,0.9047619047619048,8,11,0.42105263157894735,True
H02000__XM050__IN015__RR050__QC02,2000,5.0,1.5,0.5,2,21,21,1.0,21,1.0,9,12,0.42857142857142855,True
H02000__XM050__IN015__RR050__QC05,2000,5.0,1.5,0.5,5,21,19,0.9047619047619048,19,0.9047619047619048,7,12,0.3684210526315789,True
H02000__XM050__IN015__RR075__QC02,2000,5.0,1.5,0.75,2,21,21,1.0,21,1.0,9,12,0.42857142857142855,True
H02000__XM050__IN015__RR075__QC05,2000,5.0,1.5,0.75,5,21,19,0.9047619047619048,19,0.9047619047619048,7,12,0.3684210526315789,True
H02000__XM050__IN020__RR000__QC02,2000,5.0,2.0,0.0,2,21,14,0.6666666666666666,14,0.6666666666666666,8,6,0.42857142857142855,True
H02000__XM050__IN020__RR000__QC05,2000,5.0,2.0,0.0,5,21,10,0.47619047619047616,10,0.47619047619047616,7,3,0.3,False
H02000__XM050__IN020__RR025__QC02,2000,5.0,2.0,0.25,2,21,20,0.9523809523809523,20,0.9523809523809523,9,11,0.45,True
H02000__XM050__IN020__RR025__QC05,2000,5.0,2.0,0.25,5,21,19,0.9047619047619048,19,0.9047619047619048,8,11,0.42105263157894735,True
H02000__XM050__IN020__RR050__QC02,2000,5.0,2.0,0.5,2,21,21,1.0,21,1.0,9,12,0.42857142857142855,True
H02000__XM050__IN020__RR050__QC05,2000,5.0,2.0,0.5,5,21,19,0.9047619047619048,19,0.9047619047619048,7,12,0.3684210526315789,True
H02000__XM050__IN020__RR075__QC02,2000,5.0,2.0,0.75,2,21,21,1.0,21,1.0,9,12,0.42857142857142855,True
H02000__XM050__IN020__RR075__QC05,2000,5.0,2.0,0.75,5,21,19,0.9047619047619048,19,0.9047619047619048,7,12,0.3684210526315789,True
H02000__XM050__IN025__RR000__QC02,2000,5.0,2.5,0.0,2,21,14,0.6666666666666666,14,0.6666666666666666,8,6,0.42857142857142855,True
H02000__XM050__IN025__RR000__QC05,2000,5.0,2.5,0.0,5,21,10,0.47619047619047616,10,0.47619047619047616,7,3,0.3,False
H02000__XM050__IN025__RR025__QC02,2000,5.0,2.5,0.25,2,21,20,0.9523809523809523,20,0.9523809523809523,9,11,0.45,True
H02000__XM050__IN025__RR025__QC05,2000,5.0,2.5,0.25,5,21,19,0.9047619047619048,19,0.9047619047619048,8,11,0.42105263157894735,True
H02000__XM050__IN025__RR050__QC02,2000,5.0,2.5,0.5,2,21,21,1.0,21,1.0,9,12,0.42857142857142855,True
