family,symbol,rr,atr_mult,context_mult,trades,win_rate_pct,net_usd,profit_factor,expectancy_usd,avg_win_usd,avg_loss_usd,avg_stop_points,max_closed_drawdown_usd,max_closed_drawdown_pct,pf_excluding_best_5pct,active_days,trades_per_active_day,months_active,months_positive,months_positive_pct,median_bars_held,timeout_pct,ambiguous_bars
london_breakout,GBPUSD,1.2,1.0,0.0,1647,43.84,-158.95,0.9253,-0.0965,2.7256,-2.2993,228.3,161.84,1.618,0.7878,1351,1.219,66,30,45.5,19,0.4,2
london_breakout,GBPUSD,1.2,1.0,0.5,1642,43.85,-192.44,0.9139,-0.1172,2.8374,-2.4245,240.1,201.36,2.014,0.7571,1348,1.218,66,24,36.4,21,0.7,2
london_breakout,GBPUSD,1.2,1.0,1.0,1536,44.86,-238.91,0.9149,-0.1555,3.7283,-3.3149,356.0,265.55,2.656,0.7177,1266,1.213,66,27,40.9,42,9.6,2
london_breakout,GBPUSD,1.2,1.5,0.0,1624,43.41,-224.65,0.9094,-0.1383,3.1995,-2.6989,269.7,226.21,2.262,0.7332,1335,1.216,66,26,39.4,26,1.1,2
london_breakout,GBPUSD,1.2,1.5,0.5,1622,43.4,-261.8,0.8963,-0.1614,3.2146,-2.7504,273.4,269.39,2.694,0.7235,1334,1.216,66,25,37.9,26,1.2,2
london_breakout,GBPUSD,1.2,1.5,1.0,1531,44.74,-248.28,0.9126,-0.1622,3.7865,-3.3594,361.2,281.77,2.818,0.717,1265,1.21,66,27,40.9,43,9.8,2
london_breakout,GBPUSD,1.2,2.0,0.0,1522,43.63,-337.41,0.8835,-0.2217,3.854,-3.3759,345.9,356.42,3.564,0.7114,1288,1.182,66,23,34.8,44,6.5,1
london_breakout,GBPUSD,1.2,2.0,0.5,1522,43.63,-341.71,0.8823,-0.2245,3.8571,-3.3832,346.4,360.97,3.61,0.7101,1288,1.182,66,23,34.8,44,6.5,1
london_breakout,GBPUSD,1.2,2.0,1.0,1469,45.41,-207.53,0.9287,-0.1413,4.0547,-3.631,392.7,263.14,2.631,0.7357,1245,1.18,66,28,42.4,53,12.5,1
london_breakout,GBPUSD,1.2,3.0,0.0,1265,46.96,-202.03,0.9334,-0.1597,4.7705,-4.5242,518.0,293.41,2.934,0.7396,1189,1.064,66,31,47.0,86,25.2,2
