policy_id,impulse_scale_multiple,maximum_retracement_fraction,minimum_resume_scale_multiple,cooldown_minutes,candidates,eligible_weekdays,candidates_per_weekday,active_day_share,long_candidates,short_candidates,minority_direction_share,first_half_candidates_per_weekday,second_half_candidates_per_weekday
I120__R50__S20__C90,12.0,0.5,2.0,90,83,33,2.515151515151515,1.0,46,37,0.4457831325301205,2.3125,2.7058823529411766
I120__R50__S30__C120,12.0,0.5,3.0,120,47,33,1.4242424242424243,0.7575757575757576,22,25,0.46808510638297873,1.3125,1.5294117647058822
I120__R50__S30__C45,12.0,0.5,3.0,45,47,33,1.4242424242424243,0.7575757575757576,22,25,0.46808510638297873,1.3125,1.5294117647058822
I120__R50__S30__C60,12.0,0.5,3.0,60,47,33,1.4242424242424243,0.7575757575757576,22,25,0.46808510638297873,1.3125,1.5294117647058822
I120__R50__S30__C90,12.0,0.5,3.0,90,47,33,1.4242424242424243,0.7575757575757576,22,25,0.46808510638297873,1.3125,1.5294117647058822
I120__R65__S10__C120,12.0,0.65,1.0,120,136,33,4.121212121212121,1.0,63,73,0.4632352941176471,4.125,4.117647058823529
I120__R65__S10__C45,12.0,0.65,1.0,45,169,33,5.121212121212121,1.0,84,85,0.4970414201183432,5.0625,5.176470588235294
I120__R65__S10__C60,12.0,0.65,1.0,60,158,33,4.787878787878788,1.0,79,79,0.5,4.9375,4.647058823529412
I120__R65__S10__C90,12.0,0.65,1.0,90,149,33,4.515151515151516,1.0,73,76,0.4899328859060403,4.625,4.411764705882353
I120__R65__S15__C120,12.0,0.65,1.5,120,110,33,3.3333333333333335,1.0,56,54,0.4909090909090909,3.125,3.5294117647058822
I120__R65__S15__C45,12.0,0.65,1.5,45,130,33,3.9393939393939394,1.0,69,61,0.46923076923076923,3.75,4.117647058823529
I120__R65__S15__C60,12.0,0.65,1.5,60,124,33,3.757575757575758,1.0,65,59,0.47580645161290325,3.625,3.8823529411764706
I120__R65__S15__C90,12.0,0.65,1.5,90,118,33,3.5757575757575757,1.0,62,56,0.4745762711864407,3.5,3.6470588235294117
I120__R65__S20__C120,12.0,0.65,2.0,120,82,33,2.484848484848485,1.0,46,36,0.43902439024390244,2.1875,2.764705882352941
I120__R65__S20__C45,12.0,0.65,2.0,45,94,33,2.8484848484848486,1.0,54,40,0.425531914893617,2.625,3.0588235294117645
I120__R65__S20__C60,12.0,0.65,2.0,60,91,33,2.757575757575758,1.0,51,40,0.43956043956043955,2.5625,2.9411764705882355
I120__R65__S20__C90,12.0,0.65,2.0,90,86,33,2.606060606060606,1.0,49,37,0.43023255813953487,2.4375,2.764705882352941
I120__R65__S30__C120,12.0,0.65,3.0,120,49,33,1.4848484848484849,0.7575757575757576,24,25,0.4897959183673469,1.375,1.588235294117647
I120__R65__S30__C45,12.0,0.65,3.0,45,50,33,1.5151515151515151,0.7575757575757576,25,25,0.5,1.375,1.6470588235294117
I120__R65__S30__C60,12.0,0.65,3.0,60,49,33,1.4848484848484849,0.7575757575757576,24,25,0.4897959183673469,1.375,1.588235294117647
I120__R65__S30__C90,12.0,0.65,3.0,90,49,33,1.4848484848484849,0.7575757575757576,24,25,0.4897959183673469,1.375,1.588235294117647
I150__R35__S10__C120,15.0,0.35,1.0,120,69,33,2.090909090909091,0.9696969696969697,36,33,0.4782608695652174,2.1875,2.0
I150__R35__S10__C45,15.0,0.35,1.0,45,75,33,2.272727272727273,0.9696969696969697,40,35,0.4666666666666667,2.375,2.176470588235294
I150__R35__S10__C60,15.0,0.35,1.0,60,73,33,2.212121212121212,0.9696969696969697,38,35,0.4794520547945205,2.375,2.0588235294117645
I150__R35__S10__C90,15.0,0.35,1.0,90,70,33,2.121212121212121,0.9696969696969697,37,33,0.4714285714285714,2.25,2.0
I150__R35__S15__C120,15.0,0.35,1.5,120,55,33,1.6666666666666667,0.8484848484848485,29,26,0.4727272727272727,1.75,1.588235294117647
I150__R35__S15__C45,15.0,0.35,1.5,45,57,33,1.7272727272727273,0.8484848484848485,30,27,0.47368421052631576,1.875,1.588235294117647
I150__R35__S15__C60,15.0,0.35,1.5,60,57,33,1.7272727272727273,0.8484848484848485,30,27,0.47368421052631576,1.875,1.588235294117647
I150__R35__S15__C90,15.0,0.35,1.5,90,56,33,1.696969696969697,0.8484848484848485,30,26,0.4642857142857143,1.8125,1.588235294117647
I150__R35__S20__C120,15.0,0.35,2.0,120,45,33,1.3636363636363635,0.7575757575757576,24,21,0.4666666666666667,1.375,1.3529411764705883
I150__R35__S20__C45,15.0,0.35,2.0,45,46,33,1.393939393939394,0.7575757575757576,24,22,0.4782608695652174,1.4375,1.3529411764705883
I150__R35__S20__C60,15.0,0.35,2.0,60,46,33,1.393939393939394,0.7575757575757576,24,22,0.4782608695652174,1.4375,1.3529411764705883
I150__R35__S20__C90,15.0,0.35,2.0,90,45,33,1.3636363636363635,0.7575757575757576,24,21,0.4666666666666667,1.375,1.3529411764705883
I150__R35__S30__C120,15.0,0.35,3.0,120,28,33,0.8484848484848485,0.5151515151515151,14,14,0.5,0.8125,0.8823529411764706
I150__R35__S30__C45,15.0,0.35,3.0,45,28,33,0.8484848484848485,0.5151515151515151,14,14,0.5,0.8125,0.8823529411764706
I150__R35__S30__C60,15.0,0.35,3.0,60,28,33,0.8484848484848485,0.5151515151515151,14,14,0.5,0.8125,0.8823529411764706
I150__R35__S30__C90,15.0,0.35,3.0,90,28,33,0.8484848484848485,0.5151515151515151,14,14,0.5,0.8125,0.8823529411764706
I150__R50__S10__C120,15.0,0.5,1.0,120,77,33,2.3333333333333335,0.9696969696969697,40,37,0.4805194805194805,2.25,2.411764705882353
I150__R50__S10__C45,15.0,0.5,1.0,45,84,33,2.5454545454545454,0.9696969696969697,45,39,0.4642857142857143,2.5,2.588235294117647
I150__R50__S10__C60,15.0,0.5,1.0,60,81,33,2.4545454545454546,0.9696969696969697,42,39,0.48148148148148145,2.4375,2.4705882352941178
I150__R50__S10__C90,15.0,0.5,1.0,90,78,33,2.3636363636363638,0.9696969696969697,41,37,0.47435897435897434,2.3125,2.411764705882353
I150__R50__S15__C120,15.0,0.5,1.5,120,61,33,1.8484848484848484,0.8484848484848485,34,27,0.4426229508196721,1.875,1.8235294117647058
I150__R50__S15__C45,15.0,0.5,1.5,45,63,33,1.9090909090909092,0.8484848484848485,35,28,0.4444444444444444,2.0,1.8235294117647058
I150__R50__S15__C60,15.0,0.5,1.5,60,63,33,1.9090909090909092,0.8484848484848485,35,28,0.4444444444444444,2.0,1.8235294117647058
I150__R50__S15__C90,15.0,0.5,1.5,90,62,33,1.878787878787879,0.8484848484848485,35,27,0.43548387096774194,1.9375,1.8235294117647058
I150__R50__S20__C120,15.0,0.5,2.0,120,47,33,1.4242424242424243,0.7575757575757576,26,21,0.44680851063829785,1.4375,1.411764705882353
I150__R50__S20__C45,15.0,0.5,2.0,45,48,33,1.4545454545454546,0.7575757575757576,26,22,0.4583333333333333,1.5,1.411764705882353
I150__R50__S20__C60,15.0,0.5,2.0,60,48,33,1.4545454545454546,0.7575757575757576,26,22,0.4583333333333333,1.5,1.411764705882353
I150__R50__S20__C90,15.0,0.5,2.0,90,47,33,1.4242424242424243,0.7575757575757576,26,21,0.44680851063829785,1.4375,1.411764705882353
I150__R50__S30__C120,15.0,0.5,3.0,120,29,33,0.8787878787878788,0.5454545454545454,15,14,0.4827586206896552,0.8125,0.9411764705882353
I150__R50__S30__C45,15.0,0.5,3.0,45,29,33,0.8787878787878788,0.5454545454545454,15,14,0.4827586206896552,0.8125,0.9411764705882353
I150__R50__S30__C60,15.0,0.5,3.0,60,29,33,0.8787878787878788,0.5454545454545454,15,14,0.4827586206896552,0.8125,0.9411764705882353
I150__R50__S30__C90,15.0,0.5,3.0,90,29,33,0.8787878787878788,0.5454545454545454,15,14,0.4827586206896552,0.8125,0.9411764705882353
I150__R65__S10__C120,15.0,0.65,1.0,120,78,33,2.3636363636363638,0.9696969696969697,40,38,0.48717948717948717,2.25,2.4705882352941178
I150__R65__S10__C45,15.0,0.65,1.0,45,86,33,2.606060606060606,0.9696969696969697,46,40,0.46511627906976744,2.5,2.7058823529411766
I150__R65__S10__C60,15.0,0.65,1.0,60,82,33,2.484848484848485,0.9696969696969697,42,40,0.4878048780487805,2.4375,2.5294117647058822
I150__R65__S10__C90,15.0,0.65,1.0,90,79,33,2.393939393939394,0.9696969696969697,41,38,0.4810126582278481,2.3125,2.4705882352941178
I150__R65__S15__C120,15.0,0.65,1.5,120,62,33,1.878787878787879,0.8484848484848485,34,28,0.45161290322580644,1.875,1.8823529411764706
I150__R65__S15__C45,15.0,0.65,1.5,45,65,33,1.9696969696969697,0.8484848484848485,36,29,0.4461538461538462,2.0,1.9411764705882353
I150__R65__S15__C60,15.0,0.65,1.5,60,64,33,1.9393939393939394,0.8484848484848485,35,29,0.453125,2.0,1.8823529411764706
I150__R65__S15__C90,15.0,0.65,1.5,90,63,33,1.9090909090909092,0.8484848484848485,35,28,0.4444444444444444,1.9375,1.8823529411764706
I150__R65__S20__C120,15.0,0.65,2.0,120,48,33,1.4545454545454546,0.7575757575757576,26,22,0.4583333333333333,1.4375,1.4705882352941178
I150__R65__S20__C45,15.0,0.65,2.0,45,50,33,1.5151515151515151,0.7575757575757576,27,23,0.46,1.5,1.5294117647058822
I150__R65__S20__C60,15.0,0.65,2.0,60,49,33,1.4848484848484849,0.7575757575757576,26,23,0.46938775510204084,1.5,1.4705882352941178
I150__R65__S20__C90,15.0,0.65,2.0,90,48,33,1.4545454545454546,0.7575757575757576,26,22,0.4583333333333333,1.4375,1.4705882352941178
I150__R65__S30__C120,15.0,0.65,3.0,120,29,33,0.8787878787878788,0.5454545454545454,15,14,0.4827586206896552,0.8125,0.9411764705882353
I150__R65__S30__C45,15.0,0.65,3.0,45,30,33,0.9090909090909091,0.5454545454545454,16,14,0.4666666666666667,0.8125,1.0
I150__R65__S30__C60,15.0,0.65,3.0,60,29,33,0.8787878787878788,0.5454545454545454,15,14,0.4827586206896552,0.8125,0.9411764705882353
I150__R65__S30__C90,15.0,0.65,3.0,90,29,33,0.8787878787878788,0.5454545454545454,15,14,0.4827586206896552,0.8125,0.9411764705882353
I200__R35__S10__C120,20.0,0.35,1.0,120,31,33,0.9393939393939394,0.6666666666666666,16,15,0.4838709677419355,1.0625,0.8235294117647058
I200__R35__S10__C45,20.0,0.35,1.0,45,32,33,0.9696969696969697,0.6666666666666666,17,15,0.46875,1.0625,0.8823529411764706
