specialist_id,owned_regime,side,signal_time_utc,entry_time_utc,entry_delay_minutes,exit_time_utc,entry,stop,target,exit,entry_spread_pips,stop_pips,net_pips,r,stress_r,pnl_usd_001_lot,exit_reason,portfolio_risk_weight,pnl_usd_001_lot_equivalent,portfolio_sleeve
L0_PROTECTED_CHOP,chop,SHORT,2020-01-07 07:00:00+00:00,2020-01-07 08:00:00+00:00,0,2020-01-07 08:35:00+00:00,1.1173899999999999,1.1187295526801302,1.115715559149837,1.1187395526801303,0.700000000000145,13.395526801302914,-13.495526801303726,-1.007465178599104,-1.0447910715943214,-1.3495526801303726,STOP,1.0,-1.3495526801303726,BASELINE_CHOP
L0_PROTECTED_CHOP,chop,SHORT,2020-01-08 08:00:00+00:00,2020-01-08 09:00:00+00:00,0,2020-01-08 13:15:00+00:00,1.11348,1.1152812429073689,1.1112284463657889,1.111238446365789,0.700000000000145,18.012429073689237,22.415536342110798,1.2444482779312191,1.2166896675875232,2.24155363421108,TARGET,1.0,2.24155363421108,BASELINE_CHOP
L0_PROTECTED_CHOP,chop,SHORT,2020-01-09 09:00:00+00:00,2020-01-09 10:00:00+00:00,0,2020-01-09 12:30:00+00:00,1.1099299999999999,1.1116055509352325,1.1078355613309592,1.1116155509352326,0.700000000000145,16.755509352325593,-16.855509352327047,-1.0059681862185572,-1.0358091173109087,-1.6855509352327047,STOP,1.0,-1.6855509352327047,BASELINE_CHOP
L0_PROTECTED_COMPRESSION,compression,SHORT,2020-01-17 09:00:00+00:00,2020-01-17 10:00:00+00:00,0,2020-01-17 13:30:00+00:00,1.1127399999999998,1.113966168835704,1.1102876623285916,1.1102976623285916,0.700000000000145,12.261688357041832,24.423376714082234,0.9959222581307899,0.9755335487850312,1.2211688357041117,TARGET,0.5,1.2211688357041117,BASELINE_COMPRESSION
L0_PROTECTED_COMPRESSION,compression,SHORT,2020-01-20 08:00:00+00:00,2020-01-20 09:00:00+00:00,0,2020-01-20 20:55:00+00:00,1.10889,1.1099611392678346,1.1067477214643304,1.10985,0.700000000000145,10.711392678347009,-9.600000000000719,-0.44812100014814316,-0.4714606355725239,-0.48000000000003595,TIME,0.5,-0.48000000000003595,BASELINE_COMPRESSION
L0_PROTECTED_CHOP,chop,SHORT,2020-02-03 08:00:00+00:00,2020-02-03 09:00:00+00:00,0,2020-02-03 14:45:00+00:00,1.10659,1.1081120205700012,1.1046874742874984,1.1046974742874984,0.700000000000145,15.2202057000123,18.92525712501536,1.24342978656327,1.210578719379625,1.892525712501536,TARGET,1.0,1.892525712501536,BASELINE_CHOP
L0_PROTECTED_CHOP,chop,SHORT,2020-02-04 07:00:00+00:00,2020-02-04 08:00:00+00:00,0,2020-02-04 15:40:00+00:00,1.10497,1.1062053461282262,1.1034258173397173,1.1034358173397174,0.700000000000145,12.353461282261996,15.341826602826014,1.2419051027305952,1.2014306163841704,1.5341826602826014,TARGET,1.0,1.5341826602826014,BASELINE_CHOP
L0_PROTECTED_COMPRESSION,compression,SHORT,2020-02-05 09:00:00+00:00,2020-02-05 10:00:00+00:00,0,2020-02-05 14:40:00+00:00,1.1025699999999998,1.1037841560504926,1.1001416878990142,1.1001516878990143,0.700000000000145,12.141560504928016,24.183121009855313,0.9958819132038205,0.9752914792230706,1.2091560504927656,TARGET,0.5,1.2091560504927656,BASELINE_COMPRESSION
L0_PROTECTED_CHOP,chop,SHORT,2020-04-01 06:00:00+00:00,2020-04-01 07:00:00+00:00,0,2020-04-01 09:20:00+00:00,1.09828,1.1027388101266806,1.092706487341649,1.092716487341649,0.700000000000145,44.58810126680666,55.635126583508665,1.2477572491952218,1.236543495171293,5.5635126583508665,TARGET,1.0,5.5635126583508665,BASELINE_CHOP
L0_PROTECTED_CHOP,chop,SHORT,2020-04-02 08:00:00+00:00,2020-04-02 09:00:00+00:00,0,2020-04-02 13:00:00+00:00,1.09187,1.0953638013052975,1.087502748368378,1.087512748368378,0.700000000000145,34.9380130529758,43.57251631621928,1.24713778800618,1.2328267280371468,4.357251631621928,TARGET,1.0,4.357251631621928,BASELINE_CHOP
L0_PROTECTED_CHOP,chop,SHORT,2020-04-08 06:00:00+00:00,2020-04-08 07:00:00+00:00,0,2020-04-08 18:55:00+00:00,1.08571,1.0891649572658044,1.0813913034177445,1.08627,0.700000000000145,34.54957265804441,-5.60000000000116,-0.1620859411323941,-0.17655790016206915,-0.560000000000116,TIME,1.0,-0.560000000000116,BASELINE_CHOP
L0_PROTECTED_CHOP,chop,SHORT,2020-04-17 07:00:00+00:00,2020-04-17 08:00:00+00:00,0,2020-04-17 12:10:00+00:00,1.08286,1.0860946381757226,1.0788167022803468,1.0861046381757227,0.700000000000145,32.3463817572258,-32.44638175722736,-1.0030915358865207,-1.0185492153188827,-3.244638175722736,STOP,1.0,-3.244638175722736,BASELINE_CHOP
L0_PROTECTED_CHOP,chop,SHORT,2020-04-23 07:00:00+00:00,2020-04-23 08:00:00+00:00,0,2020-04-23 10:35:00+00:00,1.07958,1.0821646043125661,1.0763492446092922,1.0763592446092922,0.700000000000145,25.846043125662174,32.20755390707763,1.2461309358065413,1.226785614839265,3.2207553907077635,TARGET,1.0,3.2207553907077635,BASELINE_CHOP
L0_PROTECTED_CHOP,chop,SHORT,2020-04-24 06:00:00+00:00,2020-04-24 07:00:00+00:00,0,2020-04-24 09:30:00+00:00,1.07381,1.0766371708558364,1.0702760364302044,1.0766471708558365,0.700000000000145,28.27170855836399,-28.371708558365683,-1.0035371049399173,-1.0212226296392046,-2.8371708558365683,STOP,1.0,-2.8371708558365683,BASELINE_CHOP
L0_PROTECTED_CHOP,chop,SHORT,2020-04-28 06:00:00+00:00,2020-04-28 07:00:00+00:00,0,2020-04-28 07:25:00+00:00,1.0812599999999999,1.0831687938794263,1.0788740076507168,1.0831787938794264,0.700000000000145,19.087938794263565,-19.187938794265058,-1.005238910344345,-1.0314334620656793,-1.9187938794265058,STOP,1.0,-1.9187938794265058,BASELINE_CHOP
L0_PROTECTED_CHOP,chop,SHORT,2020-05-05 08:00:00+00:00,2020-05-05 09:00:00+00:00,0,2020-05-05 13:35:00+00:00,1.0845399999999998,1.08751595303771,1.080820058702862,1.0875259530377102,0.700000000000145,29.759530377101864,-29.859530377103205,-1.003360268079979,-1.0201616084796485,-2.9859530377103205,STOP,1.0,-2.9859530377103205,BASELINE_CHOP
L0_PROTECTED_CHOP,chop,SHORT,2020-05-06 07:00:00+00:00,2020-05-06 08:00:00+00:00,0,2020-05-06 08:25:00+00:00,1.08233,1.0847895316364078,1.0792555854544903,1.0792655854544904,0.700000000000145,24.59531636407823,30.644145455096528,1.2459341852521437,1.2256051115131186,3.0644145455096528,TARGET,1.0,3.0644145455096528,BASELINE_CHOP
L0_PROTECTED_CHOP,chop,SHORT,2020-05-11 07:00:00+00:00,2020-05-11 08:00:00+00:00,0,2020-05-11 15:10:00+00:00,1.0833899999999999,1.0854758892581213,1.080782638427348,1.080792638427348,0.700000000000145,20.85889258121409,25.973615726517796,1.2452058816348728,1.2212352898091923,2.5973615726517796,TARGET,1.0,2.5973615726517796,BASELINE_CHOP
L0_PROTECTED_CHOP,chop,SHORT,2020-06-15 06:00:00+00:00,2020-06-15 07:00:00+00:00,0,2020-06-15 08:10:00+00:00,1.12309,1.1265747363325744,1.118734079584282,1.1265847363325745,0.700000000000145,34.84736332574407,-34.94736332574577,-1.0028696575711318,-1.0172179454265466,-3.4947363325745773,STOP,1.0,-3.4947363325745773,BASELINE_CHOP
L0_PROTECTED_CHOP,chop,SHORT,2020-06-16 07:00:00+00:00,2020-06-16 08:00:00+00:00,0,2020-06-16 13:10:00+00:00,1.1322699999999999,1.1353868843962924,1.1283738945046342,1.1283838945046343,0.700000000000145,31.168843962925315,38.8610549536561,1.2467916679835964,1.2307500079016653,3.8861054953656105,TARGET,1.0,3.8861054953656105,BASELINE_CHOP
L0_PROTECTED_CHOP,chop,SHORT,2020-06-17 09:00:00+00:00,2020-06-17 10:00:00+00:00,0,2020-06-17 21:55:00+00:00,1.12293,1.1261282068140959,1.1189322414823801,1.1243500000000002,0.700000000000145,31.98206814095809,-14.200000000001989,-0.4439988038739948,-0.45963256457378115,-1.4200000000001989,TIME,1.0,-1.4200000000001989,BASELINE_CHOP
L0_PROTECTED_CHOP,chop,SHORT,2020-06-25 06:00:00+00:00,2020-06-25 07:00:00+00:00,0,2020-06-25 10:50:00+00:00,1.1237,1.1258797074906401,1.1209753656366996,1.1209853656366997,0.700000000000145,21.797074906401622,27.146343633002168,1.245412228455916,1.2224733707354631,2.714634363300217,TARGET,1.0,2.714634363300217,BASELINE_CHOP
L0_PROTECTED_COMPRESSION,compression,SHORT,2020-06-30 06:00:00+00:00,2020-06-30 07:00:00+00:00,0,2020-06-30 14:55:00+00:00,1.12127,1.1236364630612894,1.1165370738774212,1.1236464630612895,0.700000000000145,23.66463061289366,-23.76463061289469,-0.5021128578264505,-0.5126771469585948,-1.1882315306447344,STOP,0.5,-1.1882315306447344,BASELINE_COMPRESSION
L0_PROTECTED_COMPRESSION,compression,SHORT,2020-07-01 09:00:00+00:00,2020-07-01 10:00:00+00:00,0,2020-07-01 13:35:00+00:00,1.12075,1.1231410119629848,1.1159679760740304,1.1231510119629848,0.700000000000145,23.910119629847905,-24.010119629849225,-0.5020911647777053,-0.5125469886660943,-1.2005059814924612,STOP,0.5,-1.2005059814924612,BASELINE_COMPRESSION
L0_PROTECTED_COMPRESSION,compression,SHORT,2020-07-07 06:00:00+00:00,2020-07-07 07:00:00+00:00,0,2020-07-07 18:55:00+00:00,1.12936,1.131417896968393,1.1252442060632137,1.12866,0.700000000000145,20.57896968393056,6.999999999999229,0.170076541914178,0.15792821749173538,0.34999999999996145,TIME,0.5,0.34999999999996145,BASELINE_COMPRESSION
L0_PROTECTED_CHOP,chop,SHORT,2020-07-14 07:00:00+00:00,2020-07-14 08:00:00+00:00,0,2020-07-14 08:45:00+00:00,1.13309,1.1351246432239062,1.130546695970117,1.1351346432239062,0.700000000000145,20.346432239063343,-20.44643223906295,-1.004914866588139,-1.0294891995289308,-2.044643223906295,STOP,1.0,-2.044643223906295,BASELINE_CHOP
L0_PROTECTED_CHOP,chop,SHORT,2020-08-06 09:00:00+00:00,2020-08-06 10:00:00+00:00,0,2020-08-06 21:55:00+00:00,1.1860499999999998,1.1895360907915968,1.1816923865105036,1.1877600000000001,0.700000000000145,34.86090791597024,-17.100000000003224,-0.49052078738802696,-0.5048635004695455,-1.7100000000003224,TIME,1.0,-1.7100000000003224,BASELINE_CHOP
L0_PROTECTED_CHOP,chop,SHORT,2020-08-10 06:00:00+00:00,2020-08-10 07:00:00+00:00,0,2020-08-10 18:55:00+00:00,1.17659,1.17930402324037,1.1731974709495374,1.17446,0.700000000000145,27.140232403700118,21.299999999999653,0.7848127342157819,0.7663899000792609,2.1299999999999653,TIME,1.0,2.1299999999999653,BASELINE_CHOP
L0_PROTECTED_CHOP,chop,SHORT,2020-08-21 07:00:00+00:00,2020-08-21 08:00:00+00:00,0,2020-08-21 08:40:00+00:00,1.18404,1.186664493615525,1.1807593829805938,1.1807693829805939,0.700000000000145,26.24493615525031,32.70617019406119,1.2461897411595837,1.2271384469578268,3.270617019406119,TARGET,1.0,3.270617019406119,BASELINE_CHOP
L0_PROTECTED_CHOP,chop,SHORT,2020-09-02 08:00:00+00:00,2020-09-02 09:00:00+00:00,0,2020-09-02 20:55:00+00:00,1.1857199999999999,1.1889032570502074,1.1817409286872405,1.1855600000000002,0.700000000000145,31.83257050207506,1.5999999999971593,0.05026298457087719,0.03455580189245018,0.15999999999971593,TIME,1.0,0.15999999999971593,BASELINE_CHOP
L0_PROTECTED_CHOP,chop,SHORT,2020-09-04 06:00:00+00:00,2020-09-04 07:00:00+00:00,0,2020-09-04 08:50:00+00:00,1.1836499999999999,1.1862055396242903,1.1804555754696369,1.1862155396242904,0.700000000000145,25.555396242903917,-25.655396242905137,-1.0039130678722694,-1.0234784072333774,-2.5655396242905137,STOP,1.0,-2.5655396242905137,BASELINE_CHOP
L0_PROTECTED_CHOP,chop,SHORT,2020-09-21 07:00:00+00:00,2020-09-21 08:00:00+00:00,0,2020-09-21 08:30:00+00:00,1.18333,1.185772705851753,1.1802766176853088,1.1802866176853088,0.700000000000145,24.427058517530305,30.433823146911454,1.2459061792098438,1.225437075259355,3.0433823146911454,TARGET,1.0,3.0433823146911454,BASELINE_CHOP
L0_PROTECTED_CHOP,chop,SHORT,2020-09-22 07:00:00+00:00,2020-09-22 08:00:00+00:00,0,2020-09-22 10:25:00+00:00,1.17234,1.1751433790072845,1.168835776240894,1.1751533790072846,0.700000000000145,28.03379007284647,-28.13379007284622,-1.0035671238080865,-1.0214027428485637,-2.813379007284622,STOP,1.0,-2.813379007284622,BASELINE_CHOP
L0_PROTECTED_COMPRESSION,compression,SHORT,2020-10-13 06:00:00+00:00,2020-10-13 07:00:00+00:00,0,2020-10-13 13:35:00+00:00,1.17868,1.180336329119439,1.1753673417611217,1.1753773417611217,0.700000000000145,16.56329119439173,33.02658238878209,0.9969812762805489,0.9818876576835004,1.6513291194391044,TARGET,0.5,1.6513291194391044,BASELINE_COMPRESSION
L0_PROTECTED_COMPRESSION,compression,SHORT,2020-10-15 06:00:00+00:00,2020-10-15 07:00:00+00:00,0,2020-10-15 12:05:00+00:00,1.17367,1.1754857380124373,1.1700385239751254,1.1700485239751255,0.700000000000145,18.15738012437258,36.21476024874504,0.9972462987690087,0.9834777926140692,1.8107380124372519,TARGET,0.5,1.8107380124372519,BASELINE_COMPRESSION
L0_PROTECTED_CHOP,chop,SHORT,2020-10-15 08:00:00+00:00,2020-10-15 09:00:00+00:00,0,2020-10-15 20:55:00+00:00,1.1706299999999998,1.172757976908683,1.167970028864146,1.17086,0.700000000000145,21.27976908683176,-2.300000000001745,-0.10808387960492577,-0.13158037517119614,-0.2300000000001745,TIME,1.0,-0.2300000000001745,BASELINE_CHOP
L0_PROTECTED_CHOP,chop,SHORT,2020-10-26 08:00:00+00:00,2020-10-26 09:00:00+00:00,0,2020-10-26 20:55:00+00:00,1.18181,1.1838718947535931,1.1792326315580088,1.18102,0.700000000000145,20.61894753593019,7.900000000000684,0.38314273734070536,0.3588931970026881,0.7900000000000684,TIME,1.0,0.7900000000000684,BASELINE_CHOP
L0_PROTECTED_COMPRESSION,compression,SHORT,2020-10-28 06:00:00+00:00,2020-10-28 07:00:00+00:00,0,2020-10-28 12:10:00+00:00,1.17676,1.1787629517771712,1.1727540964456578,1.1727640964456578,0.700000000000145,20.029517771710996,39.95903554342206,0.9975036842838731,0.98502210570323,1.997951777171103,TARGET,0.5,1.997951777171103,BASELINE_COMPRESSION
L0_PROTECTED_CHOP,chop,SHORT,2020-10-29 07:00:00+00:00,2020-10-29 08:00:00+00:00,0,2020-10-29 11:25:00+00:00,1.1736,1.1755322502095542,1.1711846872380574,1.1711946872380574,0.700000000000145,19.322502095541218,24.053127619425574,1.2448246868078217,1.2189481208471753,2.4053127619425574,TARGET,1.0,2.4053127619425574,BASELINE_CHOP
L0_PROTECTED_CHOP,chop,SHORT,2020-11-11 08:00:00+00:00,2020-11-11 09:00:00+00:00,0,2020-11-11 12:35:00+00:00,1.17889,1.1815272148036302,1.175593481495462,1.1756034814954621,0.700000000000145,26.37214803630272,32.865185045378716,1.2462081207847755,1.2272487247085924,3.286518504537872,TARGET,1.0,3.286518504537872,BASELINE_CHOP
L0_PROTECTED_CHOP,chop,SHORT,2020-11-12 06:00:00+00:00,2020-11-12 07:00:00+00:00,0,2020-11-12 08:05:00+00:00,1.1764999999999999,1.1784990955052763,1.1740011306184044,1.1785090955052764,0.700000000000145,19.990955052764544,-20.090955052765036,-1.0050022622599346,-1.0300135735594842,-2.0090955052765036,STOP,1.0,-2.0090955052765036,BASELINE_CHOP
L0_PROTECTED_COMPRESSION,compression,SHORT,2020-11-17 07:00:00+00:00,2020-11-17 08:00:00+00:00,0,2020-11-17 08:15:00+00:00,1.18459,1.1862053200828657,1.1813593598342687,1.1862153200828658,0.700000000000145,16.153200828656523,-16.253200828657555,-0.5030953617509548,-0.5185721705055695,-0.8126600414328777,STOP,0.5,-0.8126600414328777,BASELINE_COMPRESSION
L0_PROTECTED_COMPRESSION,compression,SHORT,2020-11-19 08:00:00+00:00,2020-11-19 09:00:00+00:00,0,2020-11-19 15:45:00+00:00,1.18265,1.184591319047751,1.1787673619044978,1.1846013190477511,0.700000000000145,19.413190477510724,-19.513190477511433,-0.5025755684032605,-0.5154534104194717,-0.9756595238755716,STOP,0.5,-0.9756595238755716,BASELINE_COMPRESSION
L0_PROTECTED_COMPRESSION,compression,SHORT,2020-11-20 09:00:00+00:00,2020-11-20 10:00:00+00:00,0,2020-11-20 12:00:00+00:00,1.1858899999999999,1.1878111906310136,1.1820476187379723,1.1878211906310137,0.700000000000145,19.21190631013796,-19.311906310137683,-0.5026025527708032,-0.5156153166248554,-0.9655953155068842,STOP,0.5,-0.9655953155068842,BASELINE_COMPRESSION
