evidence_partition,date_utc,utc_block_start_ms,candidate_time_utc,candidate_time_msc,side,signed_update_imbalance,displacement_price,entry_time_msc,entry_delay_ms,entry_bid,entry_ask,exit_time_msc,exit_delay_ms,exit_bid,exit_ask,observed_bidask_move,base_pnl_dollars,stress_pnl_dollars,reference_lot
DEVELOPMENT,2026-06-15,1781510400000,2026-06-15T08:07:35.330000Z,1781510855330,SHORT,0.8620689655172413,1.3500000000003638,1781510855699,369,4327.23,4327.98,1781510975847,148,4328.55,4329.05,-1.8200000000006185,-1.9200000000006185,-2.1200000000006183,0.01
DEVELOPMENT,2026-06-15,1781524800000,2026-06-15T12:00:14.846000Z,1781524814846,SHORT,1.0,1.2349999999996726,1781524814847,1,4336.26,4336.76,1781524934949,102,4336.38,4336.88,-0.6199999999998909,-0.7199999999998908,-0.9199999999998909,0.01
DEVELOPMENT,2026-06-15,1781539200000,2026-06-15T16:27:00.061000Z,1781540820061,LONG,-0.7058823529411765,-1.7600000000002183,1781540820082,21,4341.22,4341.72,1781540940403,321,4342.23,4342.98,0.5099999999993088,0.4099999999993088,0.2099999999993088,0.01
DEVELOPMENT,2026-06-15,1781553600000,2026-06-15T20:21:36.336000Z,1781554896336,LONG,-0.7142857142857143,-1.3499999999994543,1781554896337,1,4313.25,4313.75,1781555016576,239,4313.6,4314.1,-0.1499999999996362,-0.2499999999996362,-0.4499999999996362,0.01
DEVELOPMENT,2026-06-16,1781568000000,2026-06-16T00:00:00.901000Z,1781568000901,LONG,-0.7037037037037037,-1.2200000000002547,1781568000945,44,4315.72,4316.22,1781568121366,421,4316.2,4316.7,-0.020000000000436557,-0.12000000000043656,-0.32000000000043655,0.01
DEVELOPMENT,2026-06-16,1781582400000,2026-06-16T05:33:38.632000Z,1781588018632,LONG,-0.8888888888888888,-1.2100000000000364,1781588018642,10,4321.02,4321.52,1781588138651,9,4322.39,4322.89,0.8699999999998909,0.7699999999998909,0.5699999999998908,0.01
DEVELOPMENT,2026-06-16,1781596800000,2026-06-16T08:28:04.121000Z,1781598484121,SHORT,0.75,1.230000000000473,1781598484225,104,4341.28,4341.78,1781598604324,99,4341.2,4341.7,-0.42000000000007276,-0.5200000000000727,-0.7200000000000728,0.01
DEVELOPMENT,2026-06-16,1781611200000,2026-06-16T12:09:49.427000Z,1781611789427,LONG,-0.7419354838709677,-1.264999999999418,1781611789554,127,4342.86,4343.36,1781611909751,197,4343.39,4343.89,0.030000000000654836,-0.06999999999934517,-0.26999999999934515,0.01
DEVELOPMENT,2026-06-16,1781625600000,2026-06-16T16:14:40.031000Z,1781626480031,SHORT,0.7037037037037037,1.2150000000001455,1781626480172,141,4346.22,4346.72,1781626600196,24,4345.05,4345.55,0.6700000000000728,0.5700000000000728,0.37000000000007277,0.01
DEVELOPMENT,2026-06-16,1781640000000,2026-06-16T22:22:41.965000Z,1781648561965,SHORT,0.75,1.2299999999995634,1781648562043,78,4330.38,4330.88,1781648683604,1561,4329.08,4329.58,0.8000000000001819,0.7000000000001819,0.5000000000001819,0.01
