family,signal_time_utc,signal_complete_utc,entry_time_utc,state_latest_allowed_utc,side,atr,prior_day_atr,range_high,range_low,session_range,range_atr,daily_range_atr,body_fraction,close_location,matched_state_time_utc,direction,phase,shock,DXY_compressed,EURUSD_compressed,state_known_at_utc,state_known_lag_hours,neutral_owned,entry_bar_available,risk_eligible,entry_position,entry_price_decision_time,stop_price_decision_time,risk_distance,risk_pips,risk_points,window
N48_NEUTRAL_0608_UTC_RANGE_BREAKOUT_TRANSFER,2022-12-20 11:15:00+00:00,2022-12-20 11:30:00+00:00,2022-12-20 11:30:00+00:00,2022-12-20 10:00:00+00:00,LONG,0.0011036263254282956,0.008953017178317889,1.06155,1.0583,0.003249999999999975,2.944837328648095,0.3630061168508326,0.47826086956526775,0.9782608695652678,2022-12-20 10:00:00+00:00,NEUTRAL,UNRESOLVED,False,False,False,2022-12-20 11:00:00+00:00,0.5,True,True,True,296934,1.06325,1.0583,0.00495000000000001,49.5000000000001,495.00000000000097,development_2019_2022
N48_NEUTRAL_0608_UTC_RANGE_BREAKOUT_TRANSFER,2022-12-20 11:30:00+00:00,2022-12-20 11:45:00+00:00,2022-12-20 11:45:00+00:00,2022-12-20 10:00:00+00:00,LONG,0.0011080101593262805,0.008953017178317889,1.06155,1.0583,0.003249999999999975,2.9331861018098606,0.3630061168508326,0.9270386266093504,0.9356223175965306,2022-12-20 10:00:00+00:00,NEUTRAL,UNRESOLVED,False,False,False,2022-12-20 11:00:00+00:00,0.75,True,True,True,296937,1.0643200000000002,1.0583,0.006020000000000136,60.20000000000136,602.0000000000136,development_2019_2022
N48_NEUTRAL_0608_UTC_RANGE_BREAKOUT_TRANSFER,2023-03-29 09:45:00+00:00,2023-03-29 10:00:00+00:00,2023-03-29 10:00:00+00:00,2023-03-29 09:00:00+00:00,LONG,0.0007376782735827102,0.008208432951992396,1.083755,1.08178,0.00197500000000006,2.6773189217136655,0.24060621699062268,0.5569620253167356,0.7468354430381882,2023-03-29 09:00:00+00:00,NEUTRAL,UNRESOLVED,False,True,False,2023-03-29 10:00:00+00:00,0.0,True,True,True,317361,1.0860500000000002,1.08178,0.004270000000000218,42.70000000000218,427.00000000002177,validation_2023
N48_NEUTRAL_0608_UTC_RANGE_BREAKOUT_TRANSFER,2023-03-29 10:45:00+00:00,2023-03-29 11:00:00+00:00,2023-03-29 11:00:00+00:00,2023-03-29 10:00:00+00:00,LONG,0.0007259679345011514,0.008208432951992396,1.083755,1.08178,0.00197500000000006,2.720505832474792,0.24060621699062268,0.37777777777717836,0.8888888888885234,2023-03-29 10:00:00+00:00,NEUTRAL,UNRESOLVED,False,True,False,2023-03-29 11:00:00+00:00,0.0,True,True,True,317373,1.08583,1.08178,0.004050000000000109,40.50000000000109,405.00000000001086,validation_2023
N48_NEUTRAL_0608_UTC_RANGE_BREAKOUT_TRANSFER,2023-03-29 11:15:00+00:00,2023-03-29 11:30:00+00:00,2023-03-29 11:30:00+00:00,2023-03-29 10:00:00+00:00,LONG,0.0007219570455647708,0.008208432951992396,1.083755,1.08178,0.00197500000000006,2.7356198157953595,0.24060621699062268,0.7867647058825931,0.8897058823532005,2023-03-29 10:00:00+00:00,NEUTRAL,UNRESOLVED,False,True,False,2023-03-29 11:00:00+00:00,0.5,True,True,True,317379,1.0861800000000001,1.08178,0.0044000000000001815,44.00000000000181,440.00000000001813,validation_2023
N48_NEUTRAL_0608_UTC_RANGE_BREAKOUT_TRANSFER,2023-03-29 11:30:00+00:00,2023-03-29 11:45:00+00:00,2023-03-29 11:45:00+00:00,2023-03-29 10:00:00+00:00,LONG,0.0007443172565958512,0.008208432951992396,1.083755,1.08178,0.00197500000000006,2.653438412852013,0.24060621699062268,0.7598039215685827,0.7598039215685827,2023-03-29 10:00:00+00:00,NEUTRAL,UNRESOLVED,False,True,False,2023-03-29 11:00:00+00:00,0.75,True,True,True,317382,1.08695,1.08178,0.005170000000000119,51.70000000000119,517.0000000000118,validation_2023
N48_NEUTRAL_0608_UTC_RANGE_BREAKOUT_TRANSFER,2023-05-30 09:15:00+00:00,2023-05-30 09:30:00+00:00,2023-05-30 09:30:00+00:00,2023-05-30 08:00:00+00:00,LONG,0.0008371970936366212,0.005509769262169637,1.0698400000000001,1.06726,0.0025800000000000267,3.0817116060365297,0.468259173340423,0.8991354466859756,0.8991354466859756,2023-05-30 08:00:00+00:00,NEUTRAL,UNRESOLVED,False,False,False,2023-05-30 09:00:00+00:00,0.5,True,True,True,330015,1.07166,1.06726,0.0043999999999999595,43.999999999999595,439.9999999999959,validation_2023
N48_NEUTRAL_0608_UTC_RANGE_BREAKOUT_TRANSFER,2023-05-30 09:30:00+00:00,2023-05-30 09:45:00+00:00,2023-05-30 09:45:00+00:00,2023-05-30 08:00:00+00:00,LONG,0.0008231115869483051,0.005509769262169637,1.0698400000000001,1.06726,0.0025800000000000267,3.1344474320491633,0.468259173340423,0.7031249999995338,0.9531249999997072,2023-05-30 08:00:00+00:00,NEUTRAL,UNRESOLVED,False,False,False,2023-05-30 09:00:00+00:00,0.75,True,True,True,330018,1.0721100000000001,1.06726,0.004850000000000021,48.500000000000206,485.00000000000205,validation_2023
N48_NEUTRAL_0608_UTC_RANGE_BREAKOUT_TRANSFER,2023-05-30 11:00:00+00:00,2023-05-30 11:15:00+00:00,2023-05-30 11:15:00+00:00,2023-05-30 10:00:00+00:00,LONG,0.0008147143264719964,0.005509769262169637,1.0698400000000001,1.06726,0.0025800000000000267,3.166754181397972,0.468259173340423,0.858208955223935,0.9104477611940991,2023-05-30 10:00:00+00:00,NEUTRAL,UNRESOLVED,False,False,False,2023-05-30 11:00:00+00:00,0.25,True,True,True,330036,1.0738,1.06726,0.00653999999999999,65.3999999999999,653.999999999999,validation_2023
N48_NEUTRAL_0608_UTC_RANGE_BREAKOUT_TRANSFER,2023-05-30 11:45:00+00:00,2023-05-30 12:00:00+00:00,2023-05-30 12:00:00+00:00,2023-05-30 11:00:00+00:00,LONG,0.0008403306761148163,0.005509769262169637,1.0698400000000001,1.06726,0.0025800000000000267,3.0702199423783925,0.468259173340423,0.7227722772274943,0.9405940594057817,2023-05-30 11:00:00+00:00,NEUTRAL,UNRESOLVED,False,False,False,2023-05-30 12:00:00+00:00,0.0,True,True,True,330045,1.07447,1.06726,0.007209999999999939,72.09999999999938,720.9999999999939,validation_2023
