timestamp_broker	timestamp_local	run_id	account	symbol	magic	action	direction	lots	bid	ask	spread_points	entry_reference	sl	tp	stop_points	estimated_cost_r	retcode	retcode_description	order_ticket	deal_ticket	result_price	reason
2021.10.18 08:00:00	2021.10.18 08:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_TEN_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1764.41	1764.46	5	1764.41	0.00	0.00	3206.00	0.0016	0		0	0	0.00	direction_mode_block	
2021.10.18 20:00:00	2021.10.18 20:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_TEN_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1764.25	1764.30	5	1764.20	0.00	0.00	3227.00	0.0015	0		0	0	0.00	direction_mode_block	
2021.10.19 04:00:00	2021.10.19 04:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_TEN_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1774.80	1774.85	5	1774.75	0.00	0.00	1444.00	0.0035	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_compression	
2021.10.20 20:00:00	2021.10.20 20:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_TEN_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1785.28	1785.38	10	1785.27	0.00	0.00	2496.00	0.0040	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_chop	
2021.10.22 08:00:00	2021.10.22 08:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_TEN_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1793.20	1793.25	5	1793.20	0.00	0.00	2630.00	0.0019	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_compression	
2021.10.22 20:00:00	2021.10.22 20:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_TEN_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1794.25	1794.30	5	1794.25	0.00	0.00	2735.00	0.0018	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_compression	
2021.10.26 16:00:00	2021.10.26 16:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_TEN_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1789.86	1789.91	5	1789.86	0.00	0.00	2013.00	0.0025	0		0	0	0.00	direction_mode_block	
2021.10.29 16:00:00	2021.10.29 16:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_TEN_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1778.18	1778.23	5	1778.17	0.00	0.00	3221.00	0.0016	0		0	0	0.00	direction_mode_block	
2021.11.03 12:00:00	2021.11.03 12:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_TEN_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1775.84	1775.89	5	1775.84	0.00	0.00	2056.00	0.0024	0		0	0	0.00	direction_mode_block	
2021.11.05 16:00:00	2021.11.05 16:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_TEN_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1813.98	1814.03	5	1814.03	0.00	0.00	5596.00	0.0009	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_chop	
