family,regime,eligible_date,decision_id,clock_minute,macro_family,macro_signal_time_utc,macro_age_hours,initial_value,rolling_median_initial_value,release_gap_from_rolling_median,side,window,entry_time_utc,exit_time_utc,entry_price,stop_price,target_price,exit_price,exit_reason,risk_distance,risk_pips,r,portfolio_r,extra_half_pip_stress_r,extra_half_pip_stress_portfolio_r,fixed_0p01_lot_usd
N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,NEUTRAL,2021-12-13,2021-12-13T0000,0,CPI,2021-12-10 13:30:00+00:00,58.5,0.8,0.55,0.25,SHORT,development_2019_2022,2021-12-13 00:00:00+00:00,2021-12-13 00:10:00+00:00,1.1310499999999999,1.1314499999999998,1.13045,1.13146,STOP,0.0004,4.0,-1.0250000000000536,-0.2562500000000134,-1.1500000000000536,-0.2875000000000134,-0.41000000000002146
N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,NEUTRAL,2021-12-13,2021-12-13T0015,15,CPI,2021-12-10 13:30:00+00:00,58.75,0.8,0.55,0.25,SHORT,development_2019_2022,2021-12-13 00:15:00+00:00,2021-12-13 01:50:00+00:00,1.13134,1.13174,1.13074,1.1307500000000001,TARGET,0.0004,4.0,1.474999999999671,0.36874999999991775,1.349999999999671,0.33749999999991775,0.5899999999998684
N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,NEUTRAL,2021-12-13,2021-12-13T0030,30,CPI,2021-12-10 13:30:00+00:00,59.0,0.8,0.55,0.25,SHORT,development_2019_2022,2021-12-13 00:30:00+00:00,2021-12-13 01:50:00+00:00,1.1312099999999998,1.1316099999999998,1.13061,1.13062,TARGET,0.0004,4.0,1.474999999999671,0.36874999999991775,1.349999999999671,0.33749999999991775,0.5899999999998684
N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,NEUTRAL,2021-12-13,2021-12-13T0045,45,CPI,2021-12-10 13:30:00+00:00,59.25,0.8,0.55,0.25,SHORT,development_2019_2022,2021-12-13 00:45:00+00:00,2021-12-13 01:55:00+00:00,1.1311499999999999,1.1315499999999998,1.13055,1.13056,TARGET,0.0004,4.0,1.474999999999671,0.36874999999991775,1.349999999999671,0.33749999999991775,0.5899999999998684
N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,NEUTRAL,2021-12-15,2021-12-15T0000,0,PPI,2021-12-14 13:30:00+00:00,10.5,0.8,0.75,0.050000000000000044,SHORT,development_2019_2022,2021-12-15 00:00:00+00:00,2021-12-15 00:25:00+00:00,1.12574,1.12614,1.12514,1.12615,STOP,0.0004,4.0,-1.0250000000000536,-0.2562500000000134,-1.1500000000000536,-0.2875000000000134,-0.41000000000002146
N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,NEUTRAL,2021-12-15,2021-12-15T0015,15,PPI,2021-12-14 13:30:00+00:00,10.75,0.8,0.75,0.050000000000000044,SHORT,development_2019_2022,2021-12-15 00:15:00+00:00,2021-12-15 00:35:00+00:00,1.12588,1.12628,1.12528,1.12629,STOP,0.0004,4.0,-1.0250000000000536,-0.2562500000000134,-1.1500000000000536,-0.2875000000000134,-0.41000000000002146
N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,NEUTRAL,2021-12-15,2021-12-15T0030,30,PPI,2021-12-14 13:30:00+00:00,11.0,0.8,0.75,0.050000000000000044,SHORT,development_2019_2022,2021-12-15 00:30:00+00:00,2021-12-15 00:40:00+00:00,1.12611,1.12651,1.12551,1.12652,STOP,0.0004,4.0,-1.0250000000000536,-0.2562500000000134,-1.1500000000000536,-0.2875000000000134,-0.41000000000002146
N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,NEUTRAL,2021-12-15,2021-12-15T0045,45,PPI,2021-12-14 13:30:00+00:00,11.25,0.8,0.75,0.050000000000000044,SHORT,development_2019_2022,2021-12-15 00:45:00+00:00,2021-12-15 00:50:00+00:00,1.12639,1.12679,1.12579,1.1268,STOP,0.0004,4.0,-1.0250000000000536,-0.2562500000000134,-1.1500000000000536,-0.2875000000000134,-0.41000000000002146
N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,NEUTRAL,2021-12-16,2021-12-16T0000,0,PPI,2021-12-14 13:30:00+00:00,34.5,0.8,0.75,0.050000000000000044,SHORT,development_2019_2022,2021-12-16 00:00:00+00:00,2021-12-16 00:20:00+00:00,1.12902,1.1294199999999999,1.12842,1.12843,TARGET,0.0004,4.0,1.474999999999671,0.36874999999991775,1.349999999999671,0.33749999999991775,0.5899999999998684
N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,NEUTRAL,2021-12-16,2021-12-16T0015,15,PPI,2021-12-14 13:30:00+00:00,34.75,0.8,0.75,0.050000000000000044,SHORT,development_2019_2022,2021-12-16 00:15:00+00:00,2021-12-16 01:15:00+00:00,1.1284399999999999,1.1288399999999998,1.12784,1.12885,STOP,0.0004,4.0,-1.0250000000000536,-0.2562500000000134,-1.1500000000000536,-0.2875000000000134,-0.41000000000002146
N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,NEUTRAL,2021-12-16,2021-12-16T0030,30,PPI,2021-12-14 13:30:00+00:00,35.0,0.8,0.75,0.050000000000000044,SHORT,development_2019_2022,2021-12-16 00:30:00+00:00,2021-12-16 01:10:00+00:00,1.12842,1.12882,1.12782,1.12883,STOP,0.0004,4.0,-1.0250000000000536,-0.2562500000000134,-1.1500000000000536,-0.2875000000000134,-0.41000000000002146
N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,NEUTRAL,2021-12-16,2021-12-16T0045,45,PPI,2021-12-14 13:30:00+00:00,35.25,0.8,0.75,0.050000000000000044,SHORT,development_2019_2022,2021-12-16 00:45:00+00:00,2021-12-16 01:05:00+00:00,1.12828,1.12868,1.12768,1.12869,STOP,0.0004,4.0,-1.0250000000000536,-0.2562500000000134,-1.1500000000000536,-0.2875000000000134,-0.41000000000002146
N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,NEUTRAL,2021-12-17,2021-12-17T0000,0,PPI,2021-12-14 13:30:00+00:00,58.5,0.8,0.75,0.050000000000000044,SHORT,development_2019_2022,2021-12-17 00:00:00+00:00,2021-12-17 01:05:00+00:00,1.13334,1.13374,1.13274,1.1327500000000001,TARGET,0.0004,4.0,1.474999999999671,0.36874999999991775,1.349999999999671,0.33749999999991775,0.5899999999998684
