prediction_index,fallback_entry_time_utc,fallback_side,fallback_sleeve,oracle_index,oracle_entry_time_utc,oracle_trade_number,absolute_delta_minutes
357,2024-09-12 00:15:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,5940,2024-09-12 00:20:00+00:00,1,5.0
358,2024-09-12 00:30:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,5942,2024-09-12 00:30:00+00:00,3,0.0
359,2024-09-12 00:45:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,5943,2024-09-12 00:35:00+00:00,4,10.0
360,2024-09-13 00:00:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,5944,2024-09-13 00:00:00+00:00,1,0.0
361,2024-09-13 00:15:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,5947,2024-09-13 00:15:00+00:00,4,0.0
364,2025-02-10 00:00:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,6368,2025-02-10 00:00:00+00:00,1,0.0
373,2025-02-14 00:15:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,6386,2025-02-14 00:20:00+00:00,3,5.0
374,2025-02-14 00:30:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,6387,2025-02-14 00:25:00+00:00,4,5.0
377,2025-04-11 00:15:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,6545,2025-04-11 00:20:00+00:00,2,5.0
378,2025-04-11 00:30:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,6547,2025-04-11 00:30:00+00:00,4,0.0
384,2025-06-12 00:00:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,6721,2025-06-12 00:10:00+00:00,2,10.0
385,2025-06-12 00:15:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,6722,2025-06-12 00:15:00+00:00,3,0.0
386,2025-06-12 00:30:00+00:00,LONG,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,6723,2025-06-12 00:20:00+00:00,4,10.0
400,2026-06-12 00:00:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,7764,2026-06-12 00:00:00+00:00,1,0.0
401,2026-06-12 00:15:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,7766,2026-06-12 00:15:00+00:00,3,0.0
402,2026-06-12 00:30:00+00:00,SHORT,N38_NEUTRAL_BLS_ROLLING_SURPRISE_CARRY,7767,2026-06-12 00:20:00+00:00,4,10.0
