strategy_id,timeframe,subtype_dimension,subtype,trades,net_r,profit_factor,stress_net_r
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M15,drift_subtype,FLAT_CHOP,110,-18.370684308170883,0.732907094423478,-23.8706843081698
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M15,drift_subtype,UPWARD_DRIFT_CHOP,34,7.3640584674002305,1.463557548889833,5.6640584674002685
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M30,volatility_subtype,HIGH_VOL_CHOP,23,-5.348457805573218,0.6085235302691503,-6.53807873796122
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M30,volatility_subtype,LOW_VOL_CHOP,38,-2.502576839830913,0.8494660357046022,-4.509129606112661
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M30,volatility_subtype,MEDIUM_VOL_CHOP,26,-0.12658289553248747,0.989819446479441,-1.5097244747702543
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M30,volatility_subtype,VOL_SUBTYPE_UNAVAILABLE,4,-0.6097866051694083,0.6216202615660068,-0.8373515689418838
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M30,range_width_subtype,MEDIUM_WIDTH_CHOP,64,-1.7328861193822647,0.9416300894930635,-5.113609577940921
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M30,range_width_subtype,NARROW_CHOP,2,1.6786431583573531,999.0,1.5786431583573473
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M30,range_width_subtype,WIDE_CHOP,25,-8.533161185081115,0.41730493172222427,-9.859317968202447
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M30,drift_subtype,DOWNWARD_DRIFT_CHOP,13,1.9373945710752625,1.3784059696020001,1.2455450664857406
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M30,drift_subtype,FLAT_CHOP,62,-9.473690045115571,0.6939620856572034,-12.726337169131744
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,M30,drift_subtype,UPWARD_DRIFT_CHOP,16,-1.0511086720657152,0.8726929401956139,-1.9134922851400136
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,H1,volatility_subtype,HIGH_VOL_CHOP,6,-0.3263529006871926,0.8649055603634795,-0.6263529006873343
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,H1,volatility_subtype,LOW_VOL_CHOP,7,-2.1372640087931414,0.2851565426557145,-2.4872640087931863
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,H1,volatility_subtype,MEDIUM_VOL_CHOP,6,-1.6465953824868746,0.4287860160845689,-1.9465953824868836
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,H1,volatility_subtype,VOL_SUBTYPE_UNAVAILABLE,2,-0.3836315543479314,0.2288770390017524,-0.4836315543479074
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,H1,range_width_subtype,MEDIUM_WIDTH_CHOP,15,-3.792503591458352,0.3445034423230475,-4.5425035914584155
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,H1,range_width_subtype,WIDE_CHOP,6,-0.7013402548567871,0.7662199150477421,-1.0013402548568957
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,H1,drift_subtype,DOWNWARD_DRIFT_CHOP,4,-0.8430358436964025,0.5522017923119841,-1.043035843696474
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,H1,drift_subtype,FLAT_CHOP,12,-3.016549686016942,0.45715602780352044,-3.616549686016985
CHOP_IMPULSE_EXHAUSTION_REVERSION_V1,H1,drift_subtype,UPWARD_DRIFT_CHOP,5,-0.6342583166017947,0.5288298600288054,-0.8842583166018521
CHOP_RANGE_ROTATION_CONTINUATION_V1,M5,volatility_subtype,HIGH_VOL_CHOP,111,16.159385661320336,1.2154171879568256,10.609385661322035
CHOP_RANGE_ROTATION_CONTINUATION_V1,M5,volatility_subtype,LOW_VOL_CHOP,254,-39.75071300696113,0.7897099114737175,-52.45071300695892
CHOP_RANGE_ROTATION_CONTINUATION_V1,M5,volatility_subtype,MEDIUM_VOL_CHOP,218,-24.109123992039528,0.8515335676850428,-35.00912399204045
CHOP_RANGE_ROTATION_CONTINUATION_V1,M5,volatility_subtype,VOL_SUBTYPE_UNAVAILABLE,15,0.24386453982632728,1.0243864539826333,-0.5061354601734809
CHOP_RANGE_ROTATION_CONTINUATION_V1,M5,range_width_subtype,MEDIUM_WIDTH_CHOP,435,-72.16940103112998,0.7775403573080836,-93.91940103112913
CHOP_RANGE_ROTATION_CONTINUATION_V1,M5,range_width_subtype,NARROW_CHOP,19,7.825913709003551,1.6521594757502767,6.875913709004767
CHOP_RANGE_ROTATION_CONTINUATION_V1,M5,range_width_subtype,WIDE_CHOP,144,16.88690052427244,1.1688447342630055,9.686900524273561
