lifecycle_event_id,lifecycle_session_id,paper_shadow_event_id,source_cluster_id,family_event_id,timestamp_broker,timestamp_utc,timestamp_local,symbol,expert_family,observer,decision_bar_time,direction,entry_price_projected,stop_price_projected,target_price_projected,input_paper_shadow_action,input_paper_shadow_state,lifecycle_stage,synthetic_open_state,synthetic_close_state,synthetic_close_reason,synthetic_hold_bars,synthetic_gross_r,synthetic_cost_r,synthetic_net_r,running_synthetic_equity_r,running_synthetic_peak_r,running_synthetic_drawdown_r,risk_lock_after_event,kill_rule_state,proxy_cost_r,net_after_proxy_from_gross_r,review_priority,demo_authorized,real_phase2_readiness,blocker_override_mode,mt5_runtime_touched,broker_action_code_allowed,lifecycle_notes
PH3LIFE00021,phase3-shadow-lifecycle-side-experiment-v0,PH3SHADOW00021,WS021,FAM00011,2026.05.25 15:15:00,2026.05.25 15:15:00,2026.05.25 20:45:00,XAUUSD,breakout_retest_family,breakout_retest,2026.05.25 15:15:00,LONG,4568.04,4565.21,4572.29,BLOCKED_SUSPEND_FAMILY,SUSPEND_FAMILY_BLOCKED,NO_EXPOSURE_REVIEW_ONLY,NO_SYNTHETIC_OPEN,NO_SYNTHETIC_CLOSE,net_expectancy_below_minimum_after_proxy_cost,0,0.0000,0.0000,0.0000,-2.9163,0.0000,-2.9163,NORMAL,SUSPEND_FAMILY,0.5652,-0.0536,HIGH,false,PENDING,side_experiment_only,false,false,No synthetic exposure was created; row remains review-only.
PH3LIFE00022,phase3-shadow-lifecycle-side-experiment-v0,PH3SHADOW00022,WS022,FAM00011,2026.05.25 15:15:00,2026.05.25 15:15:00,2026.05.25 20:45:00,XAUUSD,breakout_retest_family,swing_breakout_retest_v0,2026.05.25 15:15:00,LONG,4568.04,4565.21,4572.29,NO_EXPOSURE_DUPLICATE_IGNORED,DUPLICATE_IGNORED,NO_EXPOSURE_REVIEW_ONLY,NO_SYNTHETIC_OPEN,NO_SYNTHETIC_CLOSE,observer_duplicate,0,0.0000,0.0000,0.0000,-2.9163,0.0000,-2.9163,NORMAL,SUSPEND_FAMILY,0.5652,-0.0536,LOW,false,PENDING,side_experiment_only,false,false,No synthetic exposure was created; row remains review-only.
PH3LIFE00023,phase3-shadow-lifecycle-side-experiment-v0,PH3SHADOW00023,WS023,FAM00012,2026.05.25 16:45:00,2026.05.25 16:45:00,2026.05.25 22:15:00,XAUUSD,breakout_retest_family,breakout_retest,2026.05.25 16:45:00,LONG,4571.01,4569.24,4573.67,BLOCKED_SUSPEND_FAMILY,SUSPEND_FAMILY_BLOCKED,NO_EXPOSURE_REVIEW_ONLY,NO_SYNTHETIC_OPEN,NO_SYNTHETIC_CLOSE,net_expectancy_below_minimum_after_proxy_cost,0,0.0000,0.0000,0.0000,-2.9163,0.0000,-2.9163,NORMAL,SUSPEND_FAMILY,0.6213,-0.1097,HIGH,false,PENDING,side_experiment_only,false,false,No synthetic exposure was created; row remains review-only.
PH3LIFE00024,phase3-shadow-lifecycle-side-experiment-v0,PH3SHADOW00024,WS024,FAM00012,2026.05.25 16:45:00,2026.05.25 16:45:00,2026.05.25 22:15:00,XAUUSD,breakout_retest_family,swing_breakout_retest_v0,2026.05.25 16:45:00,LONG,4571.01,4569.24,4573.67,NO_EXPOSURE_DUPLICATE_IGNORED,DUPLICATE_IGNORED,NO_EXPOSURE_REVIEW_ONLY,NO_SYNTHETIC_OPEN,NO_SYNTHETIC_CLOSE,observer_duplicate,0,0.0000,0.0000,0.0000,-2.9163,0.0000,-2.9163,NORMAL,SUSPEND_FAMILY,0.6213,-0.1097,LOW,false,PENDING,side_experiment_only,false,false,No synthetic exposure was created; row remains review-only.
PH3LIFE00025,phase3-shadow-lifecycle-side-experiment-v0,PH3SHADOW00025,WS025,FAM00013,2026.05.25 16:50:00,2026.05.25 16:50:00,2026.05.25 22:20:00,XAUUSD,breakout_retest_family,breakout_retest,2026.05.25 16:50:00,LONG,4572.27,4569.98,4575.71,BLOCKED_SUSPEND_FAMILY,SUSPEND_FAMILY_BLOCKED,NO_EXPOSURE_REVIEW_ONLY,NO_SYNTHETIC_OPEN,NO_SYNTHETIC_CLOSE,net_expectancy_below_minimum_after_proxy_cost,0,0.0000,0.0000,0.0000,-2.9163,0.0000,-2.9163,NORMAL,SUSPEND_FAMILY,0.4801,0.0315,HIGH,false,PENDING,side_experiment_only,false,false,No synthetic exposure was created; row remains review-only.
PH3LIFE00026,phase3-shadow-lifecycle-side-experiment-v0,PH3SHADOW00026,WS026,FAM00013,2026.05.25 16:50:00,2026.05.25 16:50:00,2026.05.25 22:20:00,XAUUSD,breakout_retest_family,swing_breakout_retest_v0,2026.05.25 16:50:00,LONG,4572.27,4569.98,4575.71,NO_EXPOSURE_DUPLICATE_IGNORED,DUPLICATE_IGNORED,NO_EXPOSURE_REVIEW_ONLY,NO_SYNTHETIC_OPEN,NO_SYNTHETIC_CLOSE,observer_duplicate,0,0.0000,0.0000,0.0000,-2.9163,0.0000,-2.9163,NORMAL,SUSPEND_FAMILY,0.4801,0.0315,LOW,false,PENDING,side_experiment_only,false,false,No synthetic exposure was created; row remains review-only.
PH3LIFE00027,phase3-shadow-lifecycle-side-experiment-v0,PH3SHADOW00027,WS027,FAM00014,2026.05.25 22:20:00,2026.05.25 22:19:59,2026.05.26 03:49:59,XAUUSD,breakout_retest_family,breakout_retest,2026.05.25 22:20:00,LONG,4574.04,4571.76,4577.46,BLOCKED_SUSPEND_FAMILY,SUSPEND_FAMILY_BLOCKED,NO_EXPOSURE_REVIEW_ONLY,NO_SYNTHETIC_OPEN,NO_SYNTHETIC_CLOSE,net_expectancy_below_minimum_after_proxy_cost,0,0.0000,0.0000,0.0000,-2.9163,0.0000,-2.9163,NORMAL,SUSPEND_FAMILY,0.4822,0.0294,HIGH,false,PENDING,side_experiment_only,false,false,No synthetic exposure was created; row remains review-only.
PH3LIFE00028,phase3-shadow-lifecycle-side-experiment-v0,PH3SHADOW00028,WS028,FAM00014,2026.05.25 22:20:00,2026.05.25 22:19:59,2026.05.26 03:49:59,XAUUSD,breakout_retest_family,swing_breakout_retest_v0,2026.05.25 22:20:00,LONG,4574.04,4571.76,4577.46,NO_EXPOSURE_DUPLICATE_IGNORED,DUPLICATE_IGNORED,NO_EXPOSURE_REVIEW_ONLY,NO_SYNTHETIC_OPEN,NO_SYNTHETIC_CLOSE,observer_duplicate,0,0.0000,0.0000,0.0000,-2.9163,0.0000,-2.9163,NORMAL,SUSPEND_FAMILY,0.4822,0.0294,LOW,false,PENDING,side_experiment_only,false,false,No synthetic exposure was created; row remains review-only.
PH3LIFE00029,phase3-shadow-lifecycle-side-experiment-v0,PH3SHADOW00029,WS029,FAM00015,2026.05.25 22:45:01,2026.05.25 22:44:59,2026.05.26 04:14:59,XAUUSD,breakout_retest_family,breakout_retest,2026.05.25 22:45:00,LONG,4573.37,4569.19,4579.63,WOULD_PAPER_SHADOW_OPEN,PAPER_SHADOW_ELIGIBLE,OPENED_THEN_CLOSED,SYNTHETIC_OPENED,CLOSED_TIME_STOP,synthetic_time_stop_small_loss,12,-0.2500,0.2634,-0.5134,-3.4297,0.0000,-3.4297,SYNTHETIC_DEFENSIVE,NORMAL,0.2634,0.2482,LOW,false,PENDING,side_experiment_only,false,false,Synthetic lifecycle close reason: synthetic_time_stop_small_loss. This is not broker or market execution.
PH3LIFE00030,phase3-shadow-lifecycle-side-experiment-v0,PH3SHADOW00030,WS030,FAM00015,2026.05.25 22:45:01,2026.05.25 22:44:59,2026.05.26 04:14:59,XAUUSD,breakout_retest_family,swing_breakout_retest_v0,2026.05.25 22:45:00,LONG,4573.37,4569.19,4579.63,NO_EXPOSURE_DUPLICATE_IGNORED,DUPLICATE_IGNORED,NO_EXPOSURE_REVIEW_ONLY,NO_SYNTHETIC_OPEN,NO_SYNTHETIC_CLOSE,observer_duplicate,0,0.0000,0.0000,0.0000,-3.4297,0.0000,-3.4297,SYNTHETIC_DEFENSIVE,NORMAL,0.2634,0.2482,LOW,false,PENDING,side_experiment_only,false,false,No synthetic exposure was created; row remains review-only.
PH3LIFE00031,phase3-shadow-lifecycle-side-experiment-v0,PH3SHADOW00031,WS031,FAM00016,2026.05.26 00:55:00,2026.05.26 00:54:58,2026.05.26 06:24:58,XAUUSD,breakout_retest_family,breakout_retest,2026.05.26 00:55:00,SHORT,4544.51,4552.17,4533.02,WOULD_PAPER_SHADOW_OPEN,PAPER_SHADOW_ELIGIBLE,OPENED_THEN_CLOSED,SYNTHETIC_OPENED,CLOSED_STOP,synthetic_stop_hit,5,-1.0000,0.1436,-1.1436,-4.5733,0.0000,-4.5733,SYNTHETIC_DEFENSIVE,NORMAL,0.1436,0.3680,LOW,false,PENDING,side_experiment_only,false,false,Synthetic lifecycle close reason: synthetic_stop_hit. This is not broker or market execution.
PH3LIFE00032,phase3-shadow-lifecycle-side-experiment-v0,PH3SHADOW00032,WS032,FAM00017,2026.05.26 05:50:00,2026.05.26 05:49:57,2026.05.26 11:19:57,XAUUSD,breakout_retest_family,breakout_retest,2026.05.26 05:50:00,SHORT,4527.70,4533.13,4519.56,WOULD_PAPER_SHADOW_OPEN,PAPER_SHADOW_ELIGIBLE,OPENED_THEN_CLOSED,SYNTHETIC_OPENED,CLOSED_BREAK_EVEN,synthetic_break_even,6,0.0000,0.2026,-0.2026,-4.7759,0.0000,-4.7759,SYNTHETIC_DEFENSIVE,NORMAL,0.2026,0.3090,LOW,false,PENDING,side_experiment_only,false,false,Synthetic lifecycle close reason: synthetic_break_even. This is not broker or market execution.
PH3LIFE00033,phase3-shadow-lifecycle-side-experiment-v0,PH3SHADOW00033,WS033,FAM00017,2026.05.26 05:50:00,2026.05.26 05:49:57,2026.05.26 11:19:57,XAUUSD,breakout_retest_family,swing_breakout_retest_v0,2026.05.26 05:50:00,SHORT,4527.70,4533.13,4519.56,NO_EXPOSURE_DUPLICATE_IGNORED,DUPLICATE_IGNORED,NO_EXPOSURE_REVIEW_ONLY,NO_SYNTHETIC_OPEN,NO_SYNTHETIC_CLOSE,observer_duplicate,0,0.0000,0.0000,0.0000,-4.7759,0.0000,-4.7759,SYNTHETIC_DEFENSIVE,NORMAL,0.2026,0.3090,LOW,false,PENDING,side_experiment_only,false,false,No synthetic exposure was created; row remains review-only.
PH3LIFE00034,phase3-shadow-lifecycle-side-experiment-v0,PH3SHADOW00034,WS034,FAM00018,2026.05.26 07:40:00,2026.05.26 07:39:57,2026.05.26 13:09:57,XAUUSD,breakout_retest_family,breakout_retest,2026.05.26 07:40:00,SHORT,4522.83,4530.14,4511.87,WOULD_PAPER_SHADOW_OPEN,PAPER_SHADOW_ELIGIBLE,OPENED_THEN_CLOSED,SYNTHETIC_OPENED,CLOSED_TIME_STOP,synthetic_time_stop_small_loss,12,-0.2500,0.1506,-0.4006,-5.1765,0.0000,-5.1765,SYNTHETIC_DAILY_LOCK,NORMAL,0.1506,0.3610,LOW,false,PENDING,side_experiment_only,false,false,Synthetic lifecycle close reason: synthetic_time_stop_small_loss. This is not broker or market execution.
PH3LIFE00035,phase3-shadow-lifecycle-side-experiment-v0,PH3SHADOW00035,WS035,FAM00018,2026.05.26 07:40:00,2026.05.26 07:39:57,2026.05.26 13:09:57,XAUUSD,breakout_retest_family,swing_breakout_retest_v0,2026.05.26 07:40:00,SHORT,4522.83,4530.14,4511.87,NO_EXPOSURE_DUPLICATE_IGNORED,DUPLICATE_IGNORED,NO_EXPOSURE_REVIEW_ONLY,NO_SYNTHETIC_OPEN,NO_SYNTHETIC_CLOSE,observer_duplicate,0,0.0000,0.0000,0.0000,-5.1765,0.0000,-5.1765,SYNTHETIC_DAILY_LOCK,NORMAL,0.1506,0.3610,LOW,false,PENDING,side_experiment_only,false,false,No synthetic exposure was created; row remains review-only.
