month,subregime,expert_id,training_trades,training_early_trades,training_late_trades,training_profit_factor,training_stress_profit_factor,training_early_profit_factor,training_late_profit_factor,training_net_r,training_overlap_rejections,admitted
2023-01,1,H4_THREE_BAR_FOLLOW,160,88,72,1.0126053734994258,0.9721637290042675,1.1719454312360842,0.8411211287706046,1.2097354850515973,82,False
2023-01,1,H4_SIX_BAR_FOLLOW,115,62,53,1.1763120389993447,1.1291167596233431,1.0597262552596802,1.328292524854375,11.428007921770575,95,True
2023-01,1,H4_PRIOR24_EXTREME_FADE,19,11,8,0.5313855494338015,0.5103869419484935,0.5581031799452291,0.4957816929670469,-6.594192419647942,11,False
2023-01,1,H4_PRIOR24_EXTREME_FOLLOW,3,0,3,2.9745454984901403,2.8503918008843727,0.0,2.9745454984901403,1.9828124453642746,0,False
2023-01,1,H4_BODY_FADE,138,70,68,0.8451733506540475,0.8106292207666211,0.8262130689516657,0.8650229387014711,-13.691561145374935,48,False
2023-01,1,H4_BODY_FOLLOW,144,69,75,0.8876107588791194,0.8516506359417847,1.0033389756969548,0.7895623726703934,-10.222053227288937,42,False
2023-01,1,H4_MACRO_PRESSURE_FOLLOW,74,35,39,0.8553728701552881,0.8245443142277735,0.6824665274214534,1.035711293617427,-6.827525759643058,77,False
2023-01,1,H4_MACRO_PRESSURE_FADE,70,33,37,0.8181141114083669,0.7886756993974613,0.9443095660701403,0.7146260507490817,-8.312606203668778,81,False
2023-01,2,H4_ONE_BAR_FADE,88,25,63,0.8515787674003166,0.8243897815105495,0.7012365085475335,0.9171040677985057,-8.343761731405221,28,False
2023-01,2,H4_THREE_BAR_FADE,95,24,71,1.0199499058040349,0.9870585924017953,1.064082759054094,1.0052381333741125,1.121712952359767,62,False
2023-01,2,H4_THREE_BAR_FOLLOW,93,23,70,1.0763592567523446,1.042255228708114,1.1459258271490769,1.0542921375424694,4.138842749771403,64,False
2023-01,2,H4_SIX_BAR_FOLLOW,79,24,55,0.9425146698477543,0.9122280362384636,1.4902771193583657,0.7599159964526604,-2.770132980103653,58,False
2023-01,2,H4_PRIOR24_EXTREME_FADE,25,10,15,0.8388354181230839,0.814751135494542,0.6392256471421873,0.994068940735007,-2.5873526149836175,10,False
2023-01,2,H4_PRIOR24_EXTREME_FOLLOW,4,2,2,4.469323098978387,4.319922606991723,inf,1.4903274589230038,3.4847423127518544,0,False
2023-01,2,H4_BODY_FADE,90,26,64,0.8222204372161902,0.7959993327555731,0.6622652818065506,0.8941937931348976,-10.35104628567831,30,False
2023-01,2,H4_BODY_FOLLOW,87,24,63,1.1781253797938709,1.140558434230436,1.0644418649883622,1.224844332781141,8.595302333466517,33,True
2023-01,2,H4_MACRO_PRESSURE_FOLLOW,84,19,65,1.5086832208409189,1.4670523483684867,2.0503374494122006,1.3796911061749666,21.236067739505728,127,True
2023-01,2,H4_MACRO_PRESSURE_FADE,88,24,64,0.6249464361110936,0.6073691986854557,0.39139054411820234,0.7284007703180699,-23.35446788343545,123,False
2023-01,3,H4_ONE_BAR_FADE,132,62,70,0.7693465301410152,0.7377443724231572,0.7085518761904069,0.8260795371934168,-20.17009348074861,33,False
