attempt_no,variant_id,paired_source_attempt_no,regime_owner,mechanic,raw_signal_count,minimum_era_raw_signal_count,parameters_json
37293,ea868633e5317a4e,36293,CHOP,CHOP_M15_AR1_STATIONARITY_CONTINUATION,306,50,"{""flow_alignment_min"":0.0,""geometry_id"":""EXTENDED"",""half_life_max"":96.0,""m15_state_age_m5_max"":1,""m5_alignment_min"":0.03,""m5_confirmation_window"":3,""mean_slope_abs_max"":0.15,""phi_max"":0.995,""phi_min"":0.6,""session"":""NY"",""stationarity_window"":768,""z_abs_min"":1.75}"
37294,d12a201bcc64bec1,36294,CHOP,CHOP_M15_AR1_STATIONARITY_CONTINUATION,906,197,"{""flow_alignment_min"":0.01,""geometry_id"":""EXTENDED"",""half_life_max"":36.0,""m15_state_age_m5_max"":1,""m5_alignment_min"":0.03,""m5_confirmation_window"":3,""mean_slope_abs_max"":0.15,""phi_max"":0.995,""phi_min"":0.8,""session"":""ALL"",""stationarity_window"":192,""z_abs_min"":1.75}"
37295,81798acff51a1691,36295,CHOP,CHOP_M15_AR1_STATIONARITY_CONTINUATION,161,32,"{""flow_alignment_min"":-0.03,""geometry_id"":""TREND"",""half_life_max"":12.0,""m15_state_age_m5_max"":0,""m5_alignment_min"":0.03,""m5_confirmation_window"":3,""mean_slope_abs_max"":0.15,""phi_max"":0.995,""phi_min"":0.6,""session"":""ALL"",""stationarity_window"":384,""z_abs_min"":1.25}"
37296,cb835e1ae056b0a3,36296,CHOP,CHOP_M15_AR1_STATIONARITY_CONTINUATION,1979,334,"{""flow_alignment_min"":0.01,""geometry_id"":""FAST"",""half_life_max"":96.0,""m15_state_age_m5_max"":2,""m5_alignment_min"":-0.03,""m5_confirmation_window"":3,""mean_slope_abs_max"":0.7,""phi_max"":0.995,""phi_min"":0.3,""session"":""ALL"",""stationarity_window"":768,""z_abs_min"":1.75}"
37297,2720aed27c4c804a,36297,CHOP,CHOP_M15_AR1_STATIONARITY_CONTINUATION,6415,1419,"{""flow_alignment_min"":-0.03,""geometry_id"":""FAST"",""half_life_max"":36.0,""m15_state_age_m5_max"":2,""m5_alignment_min"":0.0,""m5_confirmation_window"":3,""mean_slope_abs_max"":0.35,""phi_max"":0.995,""phi_min"":0.6,""session"":""ASIA"",""stationarity_window"":192,""z_abs_min"":0.75}"
37298,ffb3882d4cc5a660,36298,CHOP,CHOP_M15_AR1_STATIONARITY_CONTINUATION,270,48,"{""flow_alignment_min"":-0.03,""geometry_id"":""FAST"",""half_life_max"":12.0,""m15_state_age_m5_max"":2,""m5_alignment_min"":-0.03,""m5_confirmation_window"":12,""mean_slope_abs_max"":0.15,""phi_max"":0.995,""phi_min"":0.3,""session"":""LONDON"",""stationarity_window"":192,""z_abs_min"":1.25}"
37299,6ed8f61e9fd5bac8,36299,CHOP,CHOP_M15_AR1_STATIONARITY_CONTINUATION,588,138,"{""flow_alignment_min"":0.01,""geometry_id"":""FAST"",""half_life_max"":12.0,""m15_state_age_m5_max"":2,""m5_alignment_min"":0.0,""m5_confirmation_window"":3,""mean_slope_abs_max"":0.7,""phi_max"":0.97,""phi_min"":0.8,""session"":""ALL"",""stationarity_window"":384,""z_abs_min"":0.75}"
37300,098924dc8f733ad5,36300,CHOP,CHOP_M15_AR1_STATIONARITY_CONTINUATION,146,25,"{""flow_alignment_min"":0.01,""geometry_id"":""BALANCED"",""half_life_max"":96.0,""m15_state_age_m5_max"":1,""m5_alignment_min"":0.03,""m5_confirmation_window"":3,""mean_slope_abs_max"":0.7,""phi_max"":0.9,""phi_min"":0.8,""session"":""NY"",""stationarity_window"":192,""z_abs_min"":0.75}"
37301,39e391cfa2480a0d,36301,CHOP,CHOP_M15_AR1_STATIONARITY_CONTINUATION,368,63,"{""flow_alignment_min"":0.01,""geometry_id"":""BALANCED"",""half_life_max"":36.0,""m15_state_age_m5_max"":2,""m5_alignment_min"":0.03,""m5_confirmation_window"":3,""mean_slope_abs_max"":0.15,""phi_max"":0.995,""phi_min"":0.6,""session"":""LONDON"",""stationarity_window"":384,""z_abs_min"":1.75}"
37302,06cba08cfcf6b0b1,36302,CHOP,CHOP_M15_AR1_STATIONARITY_CONTINUATION,394,83,"{""flow_alignment_min"":-0.03,""geometry_id"":""FAST"",""half_life_max"":96.0,""m15_state_age_m5_max"":2,""m5_alignment_min"":0.0,""m5_confirmation_window"":3,""mean_slope_abs_max"":0.15,""phi_max"":0.97,""phi_min"":0.3,""session"":""NY"",""stationarity_window"":384,""z_abs_min"":1.75}"
37303,55ebf97cee90d546,36303,CHOP,CHOP_M15_AR1_STATIONARITY_CONTINUATION,2113,449,"{""flow_alignment_min"":-0.03,""geometry_id"":""BALANCED"",""half_life_max"":96.0,""m15_state_age_m5_max"":0,""m5_alignment_min"":0.03,""m5_confirmation_window"":3,""mean_slope_abs_max"":0.7,""phi_max"":0.995,""phi_min"":0.6,""session"":""ALL"",""stationarity_window"":384,""z_abs_min"":1.75}"
37304,a44b15ea33d9b431,36304,CHOP,CHOP_M15_AR1_STATIONARITY_CONTINUATION,1177,258,"{""flow_alignment_min"":0.01,""geometry_id"":""BALANCED"",""half_life_max"":96.0,""m15_state_age_m5_max"":1,""m5_alignment_min"":-0.03,""m5_confirmation_window"":12,""mean_slope_abs_max"":0.35,""phi_max"":0.97,""phi_min"":0.6,""session"":""NY"",""stationarity_window"":192,""z_abs_min"":0.75}"
37305,28d519c98ea90294,36305,CHOP,CHOP_M15_AR1_STATIONARITY_CONTINUATION,119,18,"{""flow_alignment_min"":0.0,""geometry_id"":""EXTENDED"",""half_life_max"":96.0,""m15_state_age_m5_max"":0,""m5_alignment_min"":-0.03,""m5_confirmation_window"":12,""mean_slope_abs_max"":0.7,""phi_max"":0.995,""phi_min"":0.3,""session"":""LONDON"",""stationarity_window"":768,""z_abs_min"":1.75}"
37306,6a2b14b73777ad8c,36306,CHOP,CHOP_M15_AR1_STATIONARITY_CONTINUATION,553,116,"{""flow_alignment_min"":-0.03,""geometry_id"":""FAST"",""half_life_max"":12.0,""m15_state_age_m5_max"":2,""m5_alignment_min"":-0.03,""m5_confirmation_window"":3,""mean_slope_abs_max"":0.15,""phi_max"":0.995,""phi_min"":0.6,""session"":""NY"",""stationarity_window"":192,""z_abs_min"":1.75}"
37307,bb61ea502073471c,36307,CHOP,CHOP_M15_AR1_STATIONARITY_CONTINUATION,2270,483,"{""flow_alignment_min"":-0.03,""geometry_id"":""EXTENDED"",""half_life_max"":36.0,""m15_state_age_m5_max"":2,""m5_alignment_min"":0.0,""m5_confirmation_window"":12,""mean_slope_abs_max"":0.35,""phi_max"":0.995,""phi_min"":0.6,""session"":""ALL"",""stationarity_window"":384,""z_abs_min"":1.75}"
37308,663b6758e8da1331,36308,CHOP,CHOP_M15_AR1_STATIONARITY_CONTINUATION,548,70,"{""flow_alignment_min"":0.0,""geometry_id"":""BALANCED"",""half_life_max"":36.0,""m15_state_age_m5_max"":1,""m5_alignment_min"":0.0,""m5_confirmation_window"":12,""mean_slope_abs_max"":0.35,""phi_max"":0.995,""phi_min"":0.3,""session"":""ALL"",""stationarity_window"":768,""z_abs_min"":1.25}"
37309,23d3ea40911a30b3,36309,CHOP,CHOP_M15_AR1_STATIONARITY_CONTINUATION,1765,391,"{""flow_alignment_min"":0.01,""geometry_id"":""BALANCED"",""half_life_max"":36.0,""m15_state_age_m5_max"":2,""m5_alignment_min"":0.0,""m5_confirmation_window"":12,""mean_slope_abs_max"":0.7,""phi_max"":0.995,""phi_min"":0.3,""session"":""ASIA"",""stationarity_window"":384,""z_abs_min"":0.75}"
37310,dc35eff72c0310fa,36310,CHOP,CHOP_M15_AR1_STATIONARITY_CONTINUATION,370,66,"{""flow_alignment_min"":0.01,""geometry_id"":""TREND"",""half_life_max"":96.0,""m15_state_age_m5_max"":2,""m5_alignment_min"":0.0,""m5_confirmation_window"":12,""mean_slope_abs_max"":0.35,""phi_max"":0.97,""phi_min"":0.3,""session"":""ASIA"",""stationarity_window"":384,""z_abs_min"":1.25}"
