variant_id,scale_id,direction,regime_mode,box_bars,atr_percentile_max,box_average_to_median_max,minimum_signal_body_fraction,target_r,stop_atr_floor,candidate_signals,executable_outcomes,policy_trades,passed,development_1_trades,development_1_trades_per_weekday,development_1_stress_net_r,development_1_stress_profit_factor,development_1_average_stress_r,development_1_closed_drawdown_r,development_1_top_winners_removed_stress_net_r,development_1_positive_month_share,development_2_trades,development_2_trades_per_weekday,development_2_stress_net_r,development_2_stress_profit_factor,development_2_average_stress_r,development_2_closed_drawdown_r,development_2_top_winners_removed_stress_net_r,development_2_positive_month_share,confirmation_trades,confirmation_trades_per_weekday,confirmation_stress_net_r,confirmation_stress_profit_factor,confirmation_average_stress_r,confirmation_closed_drawdown_r,confirmation_top_winners_removed_stress_net_r,confirmation_positive_month_share,minimum_window_pf,minimum_window_frequency
V65_H1_M15_3f2c8ddde60f5e45,H1_M15,LONG,STRICT,3,60.0,1.5,0.35,2.0,1.0,2727,2580,1049,False,369,0.47066326530612246,-95.36239752088447,0.5730629817086156,-0.2584346816284132,98.34217178261162,-104.93500696315729,0.2222222222222222,216,0.4145873320537428,-46.05625040229745,0.6554539696478879,-0.21322338149211784,54.12149050888852,-55.63771005922567,0.375,153,0.5862068965517241,-4.479677124552326,0.9428661613812879,-0.029278935454590368,15.709551778991193,-14.108550323693116,0.5833333333333334,0.5730629817086156,0.4145873320537428
V65_H1_M15_a7221a6ce0a372b7,H1_M15,LONG,STRICT,3,60.0,1.25,0.2,2.0,1.0,3015,2851,1070,False,378,0.48214285714285715,-101.25540436011961,0.5688015794251577,-0.26787144010613656,105.21964804764586,-110.82801380239243,0.2222222222222222,217,0.4165067178502879,-51.29786638997304,0.6288577841420527,-0.23639569764964533,57.013387852986305,-60.871455788362574,0.375,158,0.6053639846743295,-4.20379773186896,0.949517321849147,-0.026606314758664304,16.336214023344137,-13.832670931009751,0.5833333333333334,0.5688015794251577,0.4165067178502879
V65_H1_M15_68d430f4009bff64,H1_M15,LONG,PARENT_ONLY,3,60.0,1.25,0.35,2.0,1.0,2671,2524,1043,False,365,0.4655612244897959,-96.56807379300102,0.5685148429481746,-0.26457006518630416,99.54784805472815,-106.14068323527385,0.2222222222222222,215,0.4126679462571977,-48.66331068659521,0.6391905123908947,-0.22634097993765215,56.728550793186265,-58.23690008498475,0.3333333333333333,152,0.5823754789272031,-5.804769527187498,0.9260200159914208,-0.03818927320518091,17.034644181626362,-15.433642726328289,0.5833333333333334,0.5685148429481746,0.4126679462571977
V65_H1_M15_d19858adb0736bd2,H1_M15,LONG,PARENT_ONLY,3,60.0,1.5,0.2,1.5,1.0,3107,2934,1117,False,388,0.49489795918367346,-98.4478734152512,0.566057587896537,-0.25373163251353403,102.92131637593533,-105.53442219031339,0.16666666666666666,231,0.44337811900191937,-48.00695515639647,0.6530937635738009,-0.20782231669435702,55.32514630700894,-55.09318452099538,0.2916666666666667,164,0.6283524904214559,-0.8818732724122951,0.9887968750848506,-0.005377276051294482,14.618812813686999,-8.048270824066652,0.5833333333333334,0.566057587896537,0.44337811900191937
V65_H1_M15_1b0b615577f39e32,H1_M15,SHORT,STRICT,3,80.0,1.5,0.2,2.0,1.0,2606,2476,990,False,297,0.3788265306122449,-84.84545192573131,0.5658137060568009,-0.28567492230885966,84.8454519257314,-94.4304506318466,0.16666666666666666,233,0.4472168905950096,-55.8431689866181,0.6151233595273498,-0.23967025316145107,60.31234920962138,-65.40798308164558,0.25,76,0.29118773946360155,-14.051423971451499,0.6727199197591875,-0.18488715751909868,17.641443481725123,-23.6327842995251,0.08333333333333333,0.5658137060568009,0.29118773946360155
V65_H1_M15_f1e47582ca40a089,H1_M15,LONG,PARENT_ONLY,3,60.0,1.5,0.35,1.5,1.0,2739,2589,1083,False,374,0.4770408163265306,-94.15625593858732,0.5643846549125315,-0.2517546950229608,97.25602411746546,-101.24280471364952,0.1111111111111111,227,0.43570057581573896,-48.47894595899226,0.6436140776782276,-0.213563638585869,55.37064143745213,-55.567620961079086,0.2916666666666667,158,0.6053639846743295,-4.400899790972671,0.9421355190352243,-0.027853796145396653,14.585804543077955,-11.567297342627024,0.4166666666666667,0.5643846549125315,0.43570057581573896
V65_H1_M15_ae930d04bb5d8d0c,H1_M15,LONG,STRICT,3,60.0,1.25,0.35,2.0,1.0,2659,2515,1038,False,365,0.4655612244897959,-98.32270711440667,0.5628603419868838,-0.26937727976549775,101.30248137613378,-107.89531655667949,0.2222222222222222,214,0.4107485604606526,-48.22902584927171,0.6412553312231816,-0.22536927966949397,56.29426595586278,-57.80261524766125,0.3333333333333333,152,0.5823754789272031,-5.804769527187498,0.9260200159914208,-0.03818927320518091,17.034644181626362,-15.433642726328289,0.5833333333333334,0.5628603419868838,0.4107485604606526
V65_H1_M15_84f656bf366edb4e,H1_M15,LONG,STRICT,3,60.0,1.5,0.2,1.5,1.0,3093,2923,1112,False,388,0.49489795918367346,-100.19825987014562,0.5605015951452497,-0.2582429378096537,104.67170283082976,-107.28480864520782,0.16666666666666666,230,0.44145873320537427,-49.39879703280326,0.6430360828591696,-0.21477737840349242,56.716988183415744,-56.48502639740218,0.2916666666666667,164,0.6283524904214559,-0.8488650018032518,0.9892116810615199,-0.005176006108556413,14.585804543077955,-8.015262553457607,0.5833333333333334,0.5605015951452497,0.44145873320537427
V65_H1_M15_f9aa1e90c8e70269,H1_M15,LONG,STRICT,3,60.0,1.5,0.35,1.5,1.0,2727,2580,1078,False,374,0.4770408163265306,-95.91088925999296,0.5585521050133667,-0.2564462279678956,99.01065743887109,-102.99743803505515,0.1111111111111111,226,0.43378119001919385,-49.87078783539906,0.6333821544992689,-0.22066720281150026,56.76248331385893,-56.95946283748588,0.2916666666666667,158,0.6053639846743295,-4.400899790972671,0.9421355190352243,-0.027853796145396653,14.585804543077955,-11.567297342627024,0.4166666666666667,0.5585521050133667,0.43378119001919385
V65_H1_M15_dae08346b299a47f,H1_M15,SHORT,STRICT,2,60.0,1.5,0.2,2.0,1.0,2283,2039,851,False,256,0.32653061224489793,-72.51412986829189,0.5893390850430704,-0.2832583197980152,72.95308304621294,-82.11374973911404,0.2777777777777778,205,0.3934740882917466,-49.471250320960024,0.6442447693677564,-0.24132317229736597,52.165507250652766,-59.0152241094873,0.20833333333333334,58,0.2222222222222222,-17.865913666218496,0.5575507252127228,-0.30803299424514646,20.615377084823642,-27.454969140094207,0.16666666666666666,0.5575507252127228,0.2222222222222222
