report_date,market,cftc_contract_market_code,open_interest_all,producer_long_all,producer_short_all,swap_long_all,swap_short_all,managed_money_long_all,managed_money_short_all,managed_money_spread_all,other_reportable_long_all,other_reportable_short_all,nonreportable_long_all,nonreportable_short_all
2017-06-20,GOLD - COMMODITY EXCHANGE INC.,088691,445841,16301,164235,71455,88537,165035,65659,24985,87585,36286,43201,28860
2017-06-27,GOLD - COMMODITY EXCHANGE INC.,088691,453144,16646,156631,74033,83911,144515,71860,31919,92071,33054,47403,29212
2017-07-03,GOLD - COMMODITY EXCHANGE INC.,088691,457201,18166,146455,77273,56210,129780,96091,39080,91901,31791,47362,33935
2017-07-11,GOLD - COMMODITY EXCHANGE INC.,088691,475669,24005,141642,85352,41631,123619,100397,45416,94018,56980,45455,31799
2017-07-18,GOLD - COMMODITY EXCHANGE INC.,088691,484204,24116,144914,92227,45064,127028,98115,49480,90204,58979,44194,30697
2017-07-25,GOLD - COMMODITY EXCHANGE INC.,088691,463827,21746,159307,94201,59983,136359,62735,34285,83940,66733,43387,30875
2017-08-01,GOLD - COMMODITY EXCHANGE INC.,088691,448709,19082,167618,85526,80375,158082,39624,28389,81684,70470,42055,28342
2017-08-08,GOLD - COMMODITY EXCHANGE INC.,088691,448727,19019,168329,85898,96099,164828,28843,25861,81549,68697,40774,30100
2017-08-15,GOLD - COMMODITY EXCHANGE INC.,088691,477921,16379,179160,82435,116285,195433,18877,25628,82297,71119,40360,31463
2017-08-22,GOLD - COMMODITY EXCHANGE INC.,088691,500443,15981,195128,86325,127096,209717,15638,23626,85994,71635,42070,30590
2017-08-29,GOLD - COMMODITY EXCHANGE INC.,088691,538875,17352,205953,75594,135022,235065,13939,37231,83818,73897,46981,29999
2017-09-05,GOLD - COMMODITY EXCHANGE INC.,088691,566817,18473,212267,76165,144178,251489,14301,39724,84584,76474,50741,34232
2017-09-12,GOLD - COMMODITY EXCHANGE INC.,088691,580606,17582,209237,76515,156958,270413,16896,40532,81079,79836,48644,31306
2017-09-19,GOLD - COMMODITY EXCHANGE INC.,088691,570096,17562,207442,83263,146424,251735,18353,45633,78911,76204,46252,29300
2017-09-26,GOLD - COMMODITY EXCHANGE INC.,088691,549637,18923,208745,88232,131881,219134,23158,45280,84121,67503,48586,27709
2017-10-03,GOLD - COMMODITY EXCHANGE INC.,088691,525127,17710,203648,84906,123391,204361,24917,45420,82935,58524,46571,26003
2017-10-10,GOLD - COMMODITY EXCHANGE INC.,088691,520005,18662,201414,80325,120570,193154,21824,51098,86073,57291,48086,25201
2017-10-17,GOLD - COMMODITY EXCHANGE INC.,088691,528800,18809,206035,83262,117660,196555,27040,51700,88062,56853,47228,26328
2017-10-24,GOLD - COMMODITY EXCHANGE INC.,088691,526674,18360,201023,84376,112366,192701,24333,60190,82820,59803,45115,25847
2017-10-31,GOLD - COMMODITY EXCHANGE INC.,088691,531918,17081,200789,86265,113205,182652,16687,69029,86058,58928,45483,27930
2017-11-07,GOLD - COMMODITY EXCHANGE INC.,088691,536843,17307,198381,82790,117003,187782,17070,70044,84789,59711,46485,26988
2017-11-14,GOLD - COMMODITY EXCHANGE INC.,088691,533054,18323,202533,83054,114635,190657,14559,64692,80839,61853,47250,26543
2017-11-21,GOLD - COMMODITY EXCHANGE INC.,088691,531612,19514,204896,80549,120223,187292,14137,54995,85642,56970,49727,26498
2017-11-28,GOLD - COMMODITY EXCHANGE INC.,088691,503810,17891,202648,75448,137232,208518,9978,30181,78866,52989,47240,25116
2017-12-05,GOLD - COMMODITY EXCHANGE INC.,088691,472795,20819,179239,82926,114396,167174,32664,29800,84060,45241,44147,27586
2017-12-12,GOLD - COMMODITY EXCHANGE INC.,088691,446618,19245,150986,106267,93989,123139,46913,30931,78773,47931,43569,31174
2017-12-19,GOLD - COMMODITY EXCHANGE INC.,088691,453595,17300,148160,106269,103626,116642,35397,39502,80831,48281,43486,29064
2017-12-26,GOLD - COMMODITY EXCHANGE INC.,088691,456470,19715,161264,105936,113856,127715,19957,39664,74875,46685,40768,27247
2018-01-02,GOLD - COMMODITY EXCHANGE INC.,088691,500731,22495,180714,108799,128180,168423,20249,39872,73005,57911,44151,29819
2018-01-09,GOLD - COMMODITY EXCHANGE INC.,088691,555455,21117,198371,105725,148742,216115,20065,48677,73046,65808,46925,29942
2018-01-16,GOLD - COMMODITY EXCHANGE INC.,088691,582333,22861,212879,108318,150807,227373,25841,55770,74490,64311,49098,28302
2018-01-23,GOLD - COMMODITY EXCHANGE INC.,088691,582421,23933,217184,109160,150461,236003,26467,46076,69809,64661,50628,30760
2018-01-30,GOLD - COMMODITY EXCHANGE INC.,088691,559332,22684,209619,106587,144728,230597,23035,42024,67730,68030,48667,30853
2018-02-06,GOLD - COMMODITY EXCHANGE INC.,088691,535321,26595,202225,104742,134563,206377,23448,46198,67451,59503,42286,27712
2018-02-13,GOLD - COMMODITY EXCHANGE INC.,088691,511745,22749,194149,98254,121390,186183,16426,46104,65677,59828,44796,25866
2018-02-20,GOLD - COMMODITY EXCHANGE INC.,088691,528154,30967,207285,96427,134987,190398,14943,49506,66807,51340,48400,24444
2018-02-27,GOLD - COMMODITY EXCHANGE INC.,088691,532860,30993,206218,106048,130619,177475,27456,51154,74506,45807,47335,26257
2018-03-06,GOLD - COMMODITY EXCHANGE INC.,088691,508100,25642,199419,106499,137625,172492,21786,47456,73095,39978,46281,25201
2018-03-13,GOLD - COMMODITY EXCHANGE INC.,088691,526762,25466,195189,107910,126997,162337,26472,60022,72094,40011,48014,27152
2018-03-20,GOLD - COMMODITY EXCHANGE INC.,088691,545499,25478,182047,109340,120041,148152,36345,67627,75730,38806,46306,27767
2018-03-27,GOLD - COMMODITY EXCHANGE INC.,088691,529690,25165,204181,106631,153975,183080,20917,27747,75952,34761,49819,26813
2018-04-03,GOLD - COMMODITY EXCHANGE INC.,088691,493141,30267,197029,113668,135771,155590,28948,26342,79087,39140,43845,21569
2018-04-10,GOLD - COMMODITY EXCHANGE INC.,088691,499588,32193,197288,116790,127347,154044,28482,26730,80413,50603,45574,25294
2018-04-17,GOLD - COMMODITY EXCHANGE INC.,088691,510229,33041,206888,122287,133702,157925,25287,26741,79363,48932,46906,24713
2018-04-24,GOLD - COMMODITY EXCHANGE INC.,088691,506410,32696,196159,123783,122120,143258,43597,30025,82546,45561,50537,25383
2018-05-01,GOLD - COMMODITY EXCHANGE INC.,088691,507756,33204,181259,124348,108165,119064,79747,34568,90513,23051,52288,27195
2018-05-08,GOLD - COMMODITY EXCHANGE INC.,088691,491398,34195,182428,121849,108600,109508,67869,36052,89040,23239,53651,26107
2018-05-15,GOLD - COMMODITY EXCHANGE INC.,088691,519958,35688,175548,121526,99755,103256,84258,50231,98212,24767,57246,31600
2018-05-22,GOLD - COMMODITY EXCHANGE INC.,088691,502942,37972,167276,118596,104867,91411,74880,41127,98266,23840,54558,29940
2018-05-29,GOLD - COMMODITY EXCHANGE INC.,088691,469382,33583,170958,114188,113502,107882,53881,36707,85770,24641,51427,29868
2018-06-05,GOLD - COMMODITY EXCHANGE INC.,088691,450641,42172,140296,97169,133392,100027,49147,35125,85294,24758,50584,27653
2018-06-12,GOLD - COMMODITY EXCHANGE INC.,088691,448695,43227,138843,93548,138519,104313,48809,29057,88439,23703,48159,27812
