policy_id,lookback_ms,minimum_nonzero_mid_updates,minimum_absolute_update_imbalance,minimum_absolute_displacement_bps,maximum_spread_bps,eligible_full_weekdays,candidates,candidates_per_full_weekday,active_days,active_day_share,long_candidates,short_candidates,minority_direction_share,selection_eligible
LB01000__UC15__IM50__DP750__SP300,1000,15,0.5,7.5,3.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC15__IM50__DP750__SP500,1000,15,0.5,7.5,5.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC15__IM60__DP100__SP300,1000,15,0.6,1.0,3.0,22,7,0.3181818181818182,7,0.3181818181818182,5,2,0.2857142857142857,False
LB01000__UC15__IM60__DP100__SP500,1000,15,0.6,1.0,5.0,22,7,0.3181818181818182,7,0.3181818181818182,5,2,0.2857142857142857,False
LB01000__UC15__IM60__DP200__SP300,1000,15,0.6,2.0,3.0,22,5,0.22727272727272727,5,0.22727272727272727,3,2,0.4,False
LB01000__UC15__IM60__DP200__SP500,1000,15,0.6,2.0,5.0,22,5,0.22727272727272727,5,0.22727272727272727,3,2,0.4,False
LB01000__UC15__IM60__DP300__SP300,1000,15,0.6,3.0,3.0,22,2,0.09090909090909091,2,0.09090909090909091,2,0,0.0,False
LB01000__UC15__IM60__DP300__SP500,1000,15,0.6,3.0,5.0,22,2,0.09090909090909091,2,0.09090909090909091,2,0,0.0,False
LB01000__UC15__IM60__DP500__SP300,1000,15,0.6,5.0,3.0,22,1,0.045454545454545456,1,0.045454545454545456,1,0,0.0,False
LB01000__UC15__IM60__DP500__SP500,1000,15,0.6,5.0,5.0,22,1,0.045454545454545456,1,0.045454545454545456,1,0,0.0,False
LB01000__UC15__IM60__DP750__SP300,1000,15,0.6,7.5,3.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC15__IM60__DP750__SP500,1000,15,0.6,7.5,5.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC15__IM70__DP100__SP300,1000,15,0.7,1.0,3.0,22,2,0.09090909090909091,2,0.09090909090909091,1,1,0.5,False
LB01000__UC15__IM70__DP100__SP500,1000,15,0.7,1.0,5.0,22,2,0.09090909090909091,2,0.09090909090909091,1,1,0.5,False
LB01000__UC15__IM70__DP200__SP300,1000,15,0.7,2.0,3.0,22,2,0.09090909090909091,2,0.09090909090909091,1,1,0.5,False
LB01000__UC15__IM70__DP200__SP500,1000,15,0.7,2.0,5.0,22,2,0.09090909090909091,2,0.09090909090909091,1,1,0.5,False
LB01000__UC15__IM70__DP300__SP300,1000,15,0.7,3.0,3.0,22,1,0.045454545454545456,1,0.045454545454545456,1,0,0.0,False
LB01000__UC15__IM70__DP300__SP500,1000,15,0.7,3.0,5.0,22,1,0.045454545454545456,1,0.045454545454545456,1,0,0.0,False
LB01000__UC15__IM70__DP500__SP300,1000,15,0.7,5.0,3.0,22,1,0.045454545454545456,1,0.045454545454545456,1,0,0.0,False
LB01000__UC15__IM70__DP500__SP500,1000,15,0.7,5.0,5.0,22,1,0.045454545454545456,1,0.045454545454545456,1,0,0.0,False
LB01000__UC15__IM70__DP750__SP300,1000,15,0.7,7.5,3.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC15__IM70__DP750__SP500,1000,15,0.7,7.5,5.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC15__IM80__DP100__SP300,1000,15,0.8,1.0,3.0,22,2,0.09090909090909091,2,0.09090909090909091,1,1,0.5,False
LB01000__UC15__IM80__DP100__SP500,1000,15,0.8,1.0,5.0,22,2,0.09090909090909091,2,0.09090909090909091,1,1,0.5,False
LB01000__UC15__IM80__DP200__SP300,1000,15,0.8,2.0,3.0,22,2,0.09090909090909091,2,0.09090909090909091,1,1,0.5,False
LB01000__UC15__IM80__DP200__SP500,1000,15,0.8,2.0,5.0,22,2,0.09090909090909091,2,0.09090909090909091,1,1,0.5,False
LB01000__UC15__IM80__DP300__SP300,1000,15,0.8,3.0,3.0,22,1,0.045454545454545456,1,0.045454545454545456,1,0,0.0,False
LB01000__UC15__IM80__DP300__SP500,1000,15,0.8,3.0,5.0,22,1,0.045454545454545456,1,0.045454545454545456,1,0,0.0,False
LB01000__UC15__IM80__DP500__SP300,1000,15,0.8,5.0,3.0,22,1,0.045454545454545456,1,0.045454545454545456,1,0,0.0,False
LB01000__UC15__IM80__DP500__SP500,1000,15,0.8,5.0,5.0,22,1,0.045454545454545456,1,0.045454545454545456,1,0,0.0,False
LB01000__UC15__IM80__DP750__SP300,1000,15,0.8,7.5,3.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC15__IM80__DP750__SP500,1000,15,0.8,7.5,5.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC15__IM90__DP100__SP300,1000,15,0.9,1.0,3.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC15__IM90__DP100__SP500,1000,15,0.9,1.0,5.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC15__IM90__DP200__SP300,1000,15,0.9,2.0,3.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC15__IM90__DP200__SP500,1000,15,0.9,2.0,5.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC15__IM90__DP300__SP300,1000,15,0.9,3.0,3.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC15__IM90__DP300__SP500,1000,15,0.9,3.0,5.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC15__IM90__DP500__SP300,1000,15,0.9,5.0,3.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC15__IM90__DP500__SP500,1000,15,0.9,5.0,5.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC15__IM90__DP750__SP300,1000,15,0.9,7.5,3.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC15__IM90__DP750__SP500,1000,15,0.9,7.5,5.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC25__IM50__DP100__SP300,1000,25,0.5,1.0,3.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC25__IM50__DP100__SP500,1000,25,0.5,1.0,5.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC25__IM50__DP200__SP300,1000,25,0.5,2.0,3.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC25__IM50__DP200__SP500,1000,25,0.5,2.0,5.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC25__IM50__DP300__SP300,1000,25,0.5,3.0,3.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC25__IM50__DP300__SP500,1000,25,0.5,3.0,5.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC25__IM50__DP500__SP300,1000,25,0.5,5.0,3.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC25__IM50__DP500__SP500,1000,25,0.5,5.0,5.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC25__IM50__DP750__SP300,1000,25,0.5,7.5,3.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC25__IM50__DP750__SP500,1000,25,0.5,7.5,5.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC25__IM60__DP100__SP300,1000,25,0.6,1.0,3.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC25__IM60__DP100__SP500,1000,25,0.6,1.0,5.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC25__IM60__DP200__SP300,1000,25,0.6,2.0,3.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC25__IM60__DP200__SP500,1000,25,0.6,2.0,5.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC25__IM60__DP300__SP300,1000,25,0.6,3.0,3.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC25__IM60__DP300__SP500,1000,25,0.6,3.0,5.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC25__IM60__DP500__SP300,1000,25,0.6,5.0,3.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC25__IM60__DP500__SP500,1000,25,0.6,5.0,5.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC25__IM60__DP750__SP300,1000,25,0.6,7.5,3.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC25__IM60__DP750__SP500,1000,25,0.6,7.5,5.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC25__IM70__DP100__SP300,1000,25,0.7,1.0,3.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC25__IM70__DP100__SP500,1000,25,0.7,1.0,5.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC25__IM70__DP200__SP300,1000,25,0.7,2.0,3.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC25__IM70__DP200__SP500,1000,25,0.7,2.0,5.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC25__IM70__DP300__SP300,1000,25,0.7,3.0,3.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC25__IM70__DP300__SP500,1000,25,0.7,3.0,5.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC25__IM70__DP500__SP300,1000,25,0.7,5.0,3.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC25__IM70__DP500__SP500,1000,25,0.7,5.0,5.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC25__IM70__DP750__SP300,1000,25,0.7,7.5,3.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC25__IM70__DP750__SP500,1000,25,0.7,7.5,5.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC25__IM80__DP100__SP300,1000,25,0.8,1.0,3.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC25__IM80__DP100__SP500,1000,25,0.8,1.0,5.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC25__IM80__DP200__SP300,1000,25,0.8,2.0,3.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC25__IM80__DP200__SP500,1000,25,0.8,2.0,5.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC25__IM80__DP300__SP300,1000,25,0.8,3.0,3.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC25__IM80__DP300__SP500,1000,25,0.8,3.0,5.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC25__IM80__DP500__SP300,1000,25,0.8,5.0,3.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC25__IM80__DP500__SP500,1000,25,0.8,5.0,5.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC25__IM80__DP750__SP300,1000,25,0.8,7.5,3.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC25__IM80__DP750__SP500,1000,25,0.8,7.5,5.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC25__IM90__DP100__SP300,1000,25,0.9,1.0,3.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC25__IM90__DP100__SP500,1000,25,0.9,1.0,5.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC25__IM90__DP200__SP300,1000,25,0.9,2.0,3.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC25__IM90__DP200__SP500,1000,25,0.9,2.0,5.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC25__IM90__DP300__SP300,1000,25,0.9,3.0,3.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC25__IM90__DP300__SP500,1000,25,0.9,3.0,5.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC25__IM90__DP500__SP300,1000,25,0.9,5.0,3.0,22,0,0.0,0,0.0,0,0,0.0,False
LB01000__UC25__IM90__DP500__SP500,1000,25,0.9,5.0,5.0,22,0,0.0,0,0.0,0,0,0.0,False
