month,training_start_utc,training_cutoff_utc,training_signals,score_signals,validated_composite_subregimes,selected_signals,status
2025-08,2022-08-01T00:00:00+00:00,2025-08-01T00:00:00+00:00,2342,89,0,0,PAST_ONLY_VALIDATED_CONSENSUS_FIT
2025-09,2022-09-01T00:00:00+00:00,2025-09-01T00:00:00+00:00,2347,88,0,0,PAST_ONLY_VALIDATED_CONSENSUS_FIT
2025-10,2022-10-01T00:00:00+00:00,2025-10-01T00:00:00+00:00,2364,90,0,0,PAST_ONLY_VALIDATED_CONSENSUS_FIT
2025-11,2022-11-01T00:00:00+00:00,2025-11-01T00:00:00+00:00,2386,60,0,0,PAST_ONLY_VALIDATED_CONSENSUS_FIT
2025-12,2022-12-01T00:00:00+00:00,2025-12-01T00:00:00+00:00,2387,63,0,0,PAST_ONLY_VALIDATED_CONSENSUS_FIT
2026-01,2023-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,2374,41,0,0,PAST_ONLY_VALIDATED_CONSENSUS_FIT
2026-02,2023-02-01T00:00:00+00:00,2026-02-01T00:00:00+00:00,2336,49,0,0,PAST_ONLY_VALIDATED_CONSENSUS_FIT
2026-03,2023-03-01T00:00:00+00:00,2026-03-01T00:00:00+00:00,2302,62,0,0,PAST_ONLY_VALIDATED_CONSENSUS_FIT
2026-04,2023-04-01T00:00:00+00:00,2026-04-01T00:00:00+00:00,2277,63,0,0,PAST_ONLY_VALIDATED_CONSENSUS_FIT
2026-05,2023-05-01T00:00:00+00:00,2026-05-01T00:00:00+00:00,2247,75,0,0,PAST_ONLY_VALIDATED_CONSENSUS_FIT
2026-06,2023-06-01T00:00:00+00:00,2026-06-01T00:00:00+00:00,2274,62,0,0,PAST_ONLY_VALIDATED_CONSENSUS_FIT
