trade_id,expert,cell_id,symbol,broker,cost_model,entry_time_utc,exit_time_utc,direction,entry_price,stop_loss,take_profit,exit_price,net_pnl,r_multiple,setup_reason_code,chart_context_start_utc,chart_context_end_utc,manual_failure_class,manual_notes,reviewer,reviewed_at_utc
trend_pullback-cell5-550,trend_pullback,5,XAUUSD,pepperstone,median,2019-08-08T03:10:00+00:00,2019-08-08T04:35:00+00:00,LONG,1503.035,1496.0988796929516,1513.3516804605724,1496.0988796929516,-48.552842149339085,-0.9204661382279256,market_next_bar_open,2019-08-07T23:10:00+00:00,2019-08-08T05:35:00+00:00,,,,
trend_pullback-cell5-625,trend_pullback,5,XAUUSD,pepperstone,median,2019-09-09T06:25:00+00:00,2019-09-09T08:40:00+00:00,SHORT,1509.8349999999998,1510.9142573699846,1508.2536139450228,1510.9142573699846,-49.64583901930156,-0.9913118750163976,market_next_bar_open,2019-09-09T02:25:00+00:00,2019-09-09T09:40:00+00:00,,,,
trend_pullback-cell5-927,trend_pullback,5,XAUUSD,pepperstone,median,2020-01-06T16:45:00+00:00,2020-01-06T16:55:00+00:00,LONG,1574.485,1572.7054754821654,1577.1417867767518,1572.7054754821654,-49.826686499365685,-0.9693279867359262,market_next_bar_open,2020-01-06T12:45:00+00:00,2020-01-06T17:55:00+00:00,,,,
trend_pullback-cell5-1356,trend_pullback,5,XAUUSD,pepperstone,median,2020-07-01T20:10:00+00:00,2020-07-02T04:20:00+00:00,LONG,1770.765,1765.8332192306566,1778.2001711540152,1765.8332192306566,-39.454246154748034,-0.92082325319076,market_next_bar_open,2020-07-01T16:10:00+00:00,2020-07-02T05:20:00+00:00,,,,
trend_pullback-cell5-1786,trend_pullback,5,XAUUSD,pepperstone,median,2020-12-01T03:20:00+00:00,2020-12-01T03:50:00+00:00,SHORT,1779.5949999999998,1780.7467480503774,1777.8798779244337,1780.7467480503774,-38.00768566246052,-0.972695316057003,market_next_bar_open,2020-11-30T23:20:00+00:00,2020-12-01T04:50:00+00:00,,,,
trend_pullback-cell5-2006,trend_pullback,5,XAUUSD,pepperstone,median,2021-02-18T07:15:00+00:00,2021-02-18T07:40:00+00:00,SHORT,1782.55,1784.3039303296605,1780.019104505509,1784.3039303296605,-31.57074593388961,-0.9666481804627668,market_next_bar_open,2021-02-18T03:15:00+00:00,2021-02-18T08:40:00+00:00,,,,
trend_pullback-cell5-2118,trend_pullback,5,XAUUSD,pepperstone,median,2021-03-31T11:00:00+00:00,2021-03-31T13:35:00+00:00,SHORT,1684.0549999999998,1688.3063383569315,1677.7404924646023,1688.3063383569315,-29.75936849852178,-0.9207979224099012,market_next_bar_open,2021-03-31T07:00:00+00:00,2021-03-31T14:35:00+00:00,,,,
trend_pullback-cell5-2231,trend_pullback,5,XAUUSD,pepperstone,median,2021-05-10T18:40:00+00:00,2021-05-10T21:45:00+00:00,LONG,1840.065,1835.1372831880087,1847.394075217986,1835.1372831880087,-29.566300871945256,-0.894463053927709,market_next_bar_open,2021-05-10T14:40:00+00:00,2021-05-10T22:45:00+00:00,,,,
trend_pullback-cell5-2256,trend_pullback,5,XAUUSD,pepperstone,median,2021-05-19T04:10:00+00:00,2021-05-19T04:20:00+00:00,LONG,1870.965,1867.9009666377556,1875.4985500433672,1867.9009666377556,-33.704366984690296,-0.999697304940309,market_next_bar_open,2021-05-19T00:10:00+00:00,2021-05-19T05:20:00+00:00,,,,
trend_pullback-cell5-2606,trend_pullback,5,XAUUSD,pepperstone,median,2021-09-17T11:35:00+00:00,2021-09-17T11:40:00+00:00,SHORT,1762.215,1763.7379819827963,1760.0180270258056,1763.7379819827963,-28.936657673131776,-0.9862266729954682,market_next_bar_open,2021-09-17T07:35:00+00:00,2021-09-17T12:40:00+00:00,,,,
trend_pullback-cell5-2826,trend_pullback,5,XAUUSD,pepperstone,median,2021-12-10T13:55:00+00:00,2021-12-10T14:05:00+00:00,SHORT,1772.28,1772.769796712182,1771.6203049317269,1772.769796712182,-27.91841259437069,-0.9992565796768595,market_next_bar_open,2021-12-10T09:55:00+00:00,2021-12-10T15:05:00+00:00,,,,
trend_pullback-cell5-2854,trend_pullback,5,XAUUSD,pepperstone,median,2021-12-23T16:05:00+00:00,2021-12-23T16:35:00+00:00,LONG,1807.365,1804.9237134956663,1810.9394297565004,1804.9237134956663,-26.854151547670423,-0.9785376366862724,market_next_bar_open,2021-12-23T12:05:00+00:00,2021-12-23T17:35:00+00:00,,,,
trend_pullback-cell6-278,trend_pullback,6,XAUUSD,pepperstone,p95,2019-04-24T13:45:00+00:00,2019-04-24T14:55:00+00:00,SHORT,1271.765,1273.597144964028,1269.1292825539576,1273.617144964028,-44.45147913667097,-0.9761732229212172,market_next_bar_open,2019-04-24T09:45:00+00:00,2019-04-24T15:55:00+00:00,,,,
trend_pullback-cell6-299,trend_pullback,6,XAUUSD,pepperstone,p95,2019-05-07T03:50:00+00:00,2019-05-07T04:05:00+00:00,LONG,1282.635,1282.087618610242,1283.2935720846372,1282.067618610242,-46.52527396016512,-1.027539706654967,market_next_bar_open,2019-05-06T23:50:00+00:00,2019-05-07T05:05:00+00:00,,,,
trend_pullback-cell6-339,trend_pullback,6,XAUUSD,pepperstone,p95,2019-05-16T03:50:00+00:00,2019-05-16T04:05:00+00:00,LONG,1296.575,1295.791531673855,1297.5877024892177,1295.771531673855,-46.60116291641543,-1.0206278160890496,market_next_bar_open,2019-05-15T23:50:00+00:00,2019-05-16T05:05:00+00:00,,,,
trend_pullback-cell6-1197,trend_pullback,6,XAUUSD,pepperstone,p95,2020-04-15T07:55:00+00:00,2020-04-15T09:20:00+00:00,LONG,1724.4399999999998,1720.1475852691835,1730.0786220962243,1720.1275852691836,-38.81173257734645,-0.92706940896306,market_next_bar_open,2020-04-15T03:55:00+00:00,2020-04-15T10:20:00+00:00,,,,
trend_pullback-cell6-1356,trend_pullback,6,XAUUSD,pepperstone,p95,2020-07-01T20:10:00+00:00,2020-07-02T04:20:00+00:00,LONG,1770.785,1765.8332192306566,1778.2001711540152,1765.8132192306566,-29.830684616060804,-0.8794465133041048,market_next_bar_open,2020-07-01T16:10:00+00:00,2020-07-02T05:20:00+00:00,,,,
trend_pullback-cell6-1529,trend_pullback,6,XAUUSD,pepperstone,p95,2020-08-31T08:30:00+00:00,2020-08-31T08:35:00+00:00,LONG,1968.06,1966.198656145472,1970.727015781792,1966.178656145472,-33.86418938150064,-0.9638809568740762,market_next_bar_open,2020-08-31T04:30:00+00:00,2020-08-31T09:35:00+00:00,,,,
trend_pullback-cell6-1656,trend_pullback,6,XAUUSD,pepperstone,p95,2020-10-07T19:15:00+00:00,2020-10-08T05:00:00+00:00,SHORT,1883.48,1889.104522122676,1875.168216815986,1889.124522122676,-28.2226106133794,-0.9336160822257532,market_next_bar_open,2020-10-07T15:15:00+00:00,2020-10-08T06:00:00+00:00,,,,
trend_pullback-cell6-1740,trend_pullback,6,XAUUSD,pepperstone,p95,2020-11-13T01:50:00+00:00,2020-11-13T14:20:00+00:00,SHORT,1875.325,1882.426833448316,1864.8597498275265,1882.446833448316,-28.48733379326404,-0.9625697396534092,market_next_bar_open,2020-11-12T21:50:00+00:00,2020-11-13T15:20:00+00:00,,,,
trend_pullback-cell6-1877,trend_pullback,6,XAUUSD,pepperstone,p95,2021-01-11T17:55:00+00:00,2021-01-11T20:15:00+00:00,SHORT,1847.975,1851.045433560874,1843.481849658689,1851.065433560874,-27.8139020478668,-0.9409360108614684,market_next_bar_open,2021-01-11T13:55:00+00:00,2021-01-11T21:15:00+00:00,,,,
trend_pullback-cell6-1926,trend_pullback,6,XAUUSD,pepperstone,p95,2021-01-25T06:05:00+00:00,2021-01-25T07:35:00+00:00,SHORT,1853.675,1855.924103164494,1850.413845253259,1855.944103164494,-27.22923797392832,-1.0022221038388686,market_next_bar_open,2021-01-25T02:05:00+00:00,2021-01-25T08:35:00+00:00,,,,
trend_pullback-cell6-2803,trend_pullback,6,XAUUSD,pepperstone,p95,2021-12-01T11:35:00+00:00,2021-12-01T11:40:00+00:00,SHORT,1779.185,1781.2169992625031,1776.2745011062452,1781.236999262503,-18.467993362528432,-1.0078904884828706,market_next_bar_open,2021-12-01T07:35:00+00:00,2021-12-01T12:40:00+00:00,,,,
trend_pullback-cell7-316,trend_pullback,7,XAUUSD,dukascopy,best_case,2022-05-03T20:10:00+00:00,2022-05-03T22:20:00+00:00,SHORT,1866.718,1868.6939490563157,1863.904076415527,1868.6939490563157,-57.30252263314537,-0.9825717672864324,market_next_bar_open,2022-05-03T16:10:00+00:00,2022-05-03T23:20:00+00:00,,,,
trend_pullback-cell7-727,trend_pullback,7,XAUUSD,dukascopy,best_case,2022-10-04T01:00:00+00:00,2022-10-04T01:15:00+00:00,LONG,1698.668,1697.2694773995677,1700.6407839006483,1697.2694773995677,-65.73056222031414,-0.9955345465520212,market_next_bar_open,2022-10-03T21:00:00+00:00,2022-10-04T02:15:00+00:00,,,,
trend_pullback-cell7-738,trend_pullback,7,XAUUSD,dukascopy,best_case,2022-10-06T01:20:00+00:00,2022-10-06T01:30:00+00:00,LONG,1720.744,1719.335388484987,1722.656917272519,1719.335388484987,-66.20474120559129,-0.9850873074972312,market_next_bar_open,2022-10-05T21:20:00+00:00,2022-10-06T02:30:00+00:00,,,,
trend_pullback-cell7-742,trend_pullback,7,XAUUSD,dukascopy,best_case,2022-10-06T06:35:00+00:00,2022-10-06T07:00:00+00:00,LONG,1723.634,1721.2582766968558,1727.0050849547165,1721.2582766968558,-66.52025248803875,-0.9751978462341316,market_next_bar_open,2022-10-06T02:35:00+00:00,2022-10-06T08:00:00+00:00,,,,
trend_pullback-cell7-743,trend_pullback,7,XAUUSD,dukascopy,best_case,2022-10-06T07:40:00+00:00,2022-10-06T08:25:00+00:00,LONG,1723.834,1719.3732003784594,1730.285199432311,1719.3732003784594,-66.9119943231101,-0.9857473394022158,market_next_bar_open,2022-10-06T03:40:00+00:00,2022-10-06T09:25:00+00:00,,,,
trend_pullback-cell7-744,trend_pullback,7,XAUUSD,dukascopy,best_case,2022-10-06T12:55:00+00:00,2022-10-06T13:05:00+00:00,LONG,1716.648,1714.4846181035516,1719.7680728446726,1714.4846181035516,-67.0648387898973,-0.9928927506555894,market_next_bar_open,2022-10-06T08:55:00+00:00,2022-10-06T14:05:00+00:00,,,,
trend_pullback-cell7-747,trend_pullback,7,XAUUSD,dukascopy,best_case,2022-10-06T15:00:00+00:00,2022-10-06T16:05:00+00:00,LONG,1712.014,1707.8268722520322,1718.1146916219518,1707.8268722520322,-66.99404396748287,-0.9945347917026938,market_next_bar_open,2022-10-06T11:00:00+00:00,2022-10-06T17:05:00+00:00,,,,
trend_pullback-cell7-754,trend_pullback,7,XAUUSD,dukascopy,best_case,2022-10-12T02:40:00+00:00,2022-10-12T03:00:00+00:00,SHORT,1662.805,1664.2569594358995,1660.652060846151,1664.2569594358995,-66.79013405137357,-0.9901642365630868,market_next_bar_open,2022-10-11T22:40:00+00:00,2022-10-12T04:00:00+00:00,,,,
trend_pullback-cell7-762,trend_pullback,7,XAUUSD,dukascopy,best_case,2022-10-13T04:50:00+00:00,2022-10-13T05:20:00+00:00,SHORT,1669.715,1670.261853136285,1669.0197202955728,1670.261853136285,-66.71608262675545,-0.9926372517287406,market_next_bar_open,2022-10-13T00:50:00+00:00,2022-10-13T06:20:00+00:00,,,,
