specialist_id,direction,excursion_episode_id,UTC_date,chronological_segment,candidate_bar_time,residual_z_previous,residual_z_current,r_xau,predicted_r_xau,residual,beta_xag,beta_eurusd,beta_usdjpy,condition_number,H1_ATR14,H1_ATR_percentile,current_spread,current_spread_percentile,prior_spread_P99,UTC_time_of_day,unsafe_filter_passed,signal_accepted_pre_execution,signal_accepted,rejection_reason,entry_time,entry_bid,entry_ask,entry_price,entry_spread,entry_delay_milliseconds,M5_ATR14,stop,target,initial_risk_price
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,LONG,LONG-2023-02-03-01389,2023-02-03,DEVELOPMENT,2023-02-03T15:05:00.000Z,-0.240757659599,-2.66140701646,-0.00115861566413,-3.74987671444e-05,-0.00112111689699,0.259554771877,0.284911923832,-0.264039788312,4199.97355239,7.28111053635,99.2,,,0.524,15:10:00,false,false,false,UNSAFE_H1_ATR_PERCENTILE,,,,,,,4.29331172208,,,
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,LONG,LONG-2023-02-03-01390,2023-02-03,DEVELOPMENT,2023-02-03T16:05:00.000Z,1.54467591569,-3.46349484412,-0.00139639283483,6.31316950606e-05,-0.00145952452989,0.257099073844,0.289496557616,-0.268171915603,4150.5897374,7.73095978375,100,,,0.524,16:10:00,false,false,false,UNSAFE_H1_ATR_PERCENTILE,,,,,,,3.72335956534,,,
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,LONG,LONG-2023-02-03-01391,2023-02-03,DEVELOPMENT,2023-02-03T17:00:00.000Z,2.25770820191,-3.57774582592,-0.00111786437716,0.000403294115427,-0.00152115849259,0.255732607001,0.293260575165,-0.265270286263,4139.51732544,7.84528408491,100,,,0.524,17:05:00,false,false,false,UNSAFE_H1_ATR_PERCENTILE,,,,,,,2.83217131628,,,
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,LONG,LONG-2023-02-06-01392,2023-02-06,DEVELOPMENT,2023-02-06T01:00:00.000Z,1.06643185543,-2.83494015645,-0.00258183087573,-0.00133947484593,-0.0012423560298,0.255457833744,0.290325074851,-0.264596853788,4117.43178854,6.72268211102,96.8,,,0.524,01:05:00,false,false,false,OUTSIDE_ENTRY_WINDOW,,,,,,,1.70184818268,,,
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,SHORT,SHORT-2023-02-06-01438,2023-02-06,DEVELOPMENT,2023-02-06T08:00:00.000Z,0.183166894837,2.6431982335,0.00133174963616,0.000221223241656,0.00111052639451,0.259126686489,0.284057556151,-0.259211119115,4111.70083552,5.62505808948,83.2,0.33,33.9838789914,0.524,08:05:00,true,true,true,,2023-02-06T08:05:00.099Z,1878.325,1878.655,1878.325,0.33,99,1.38899783538,1880.06124729,1875.72062906,1.73624729422
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,LONG,LONG-2023-02-06-01393,2023-02-06,DEVELOPMENT,2023-02-06T09:15:00.000Z,-1.42109199291,-2.70087379208,-0.00142532168974,-0.000235446130627,-0.00118987555912,0.260279483286,0.285054043658,-0.260106157223,4105.15504688,5.6368753688,83.2,0.41,82.2047966683,0.524,09:20:00,true,true,true,,2023-02-06T09:20:00.055Z,1870.645,1871.055,1871.055,0.41,55,2.06371686803,1868.47535391,1874.92446913,2.57964608504
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,LONG,LONG-2023-02-06-01394,2023-02-06,DEVELOPMENT,2023-02-06T15:00:00.000Z,-0.594902316175,-3.11194465175,-0.0013323491764,-0.000115302025521,-0.00121704715088,0.261238211663,0.283291646485,-0.25811731513,4109.6133934,5.32050596538,72.8,0.33,33.98958773,0.524,15:05:00,true,true,true,,2023-02-06T15:05:00.057Z,1871.235,1871.565,1871.565,0.33,57,2.22541019904,1868.78323725,1875.73764412,2.78176274881
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,SHORT,SHORT-2023-02-07-01439,2023-02-07,DEVELOPMENT,2023-02-07T12:05:00.000Z,-1.51024924131,3.511552568,0.00154199065533,0.000363050046277,0.00117894060905,0.260996643725,0.302952625937,-0.260791984222,4173.74287312,4.49915649694,31.4,0.41,82.2361756759,0.524,12:10:00,true,true,true,,2023-02-07T12:10:00.617Z,1870.575,1870.985,1870.575,0.41,617,1.68556570934,1872.68195714,1867.41456429,2.10695713667
XAU_NEGATIVE_RESIDUAL_LONG_SPECIALIST,LONG,LONG-2023-02-07-01395,2023-02-07,DEVELOPMENT,2023-02-07T12:45:00.000Z,0.0519919838773,-2.58377829815,-0.00128880422755,-0.000461200325087,-0.000827603902459,0.261583493793,0.302487466946,-0.261357787541,4174.29279211,4.49915649694,31.4,0.438,90.7600450674,0.524,12:50:00,true,true,true,,2023-02-07T12:50:00.250Z,1870.047,1870.485,1870.485,0.438,250,1.62877100416,1868.44903624,1873.53894563,2.0359637552
XAU_POSITIVE_RESIDUAL_SHORT_SPECIALIST,SHORT,SHORT-2023-02-07-01440,2023-02-07,DEVELOPMENT,2023-02-07T14:45:00.000Z,1.01578466391,2.50465647556,0.000160384924161,-0.000638803467157,0.000799188391318,0.262915965021,0.300137187436,-0.259916628961,4175.7908971,4.61493340808,38.2,0.33,33.9910068006,0.524,14:50:00,true,true,true,,2023-02-07T14:50:00.029Z,1870.495,1870.825,1870.495,0.33,29,1.77307803037,1872.71134754,1867.17047869,2.21634753797
