event_id,event_type,event_time_utc,event_date,reference,source_kind,source_url,release_time_rule
PPI_2022-05-12,PPI,2022-05-12 12:30:00+00:00,2022-05-12,April 2022,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_05122022.htm,08:30 America/New_York
PPI_2022-06-14,PPI,2022-06-14 12:30:00+00:00,2022-06-14,May 2022,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_06142022.htm,08:30 America/New_York
PPI_2022-07-14,PPI,2022-07-14 12:30:00+00:00,2022-07-14,June 2022,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_07142022.htm,08:30 America/New_York
PPI_2022-08-11,PPI,2022-08-11 12:30:00+00:00,2022-08-11,July 2022,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_08112022.htm,08:30 America/New_York
PPI_2022-09-14,PPI,2022-09-14 12:30:00+00:00,2022-09-14,August 2022,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_09142022.htm,08:30 America/New_York
PPI_2022-10-12,PPI,2022-10-12 12:30:00+00:00,2022-10-12,September 2022,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_10122022.htm,08:30 America/New_York
PPI_2022-11-15,PPI,2022-11-15 13:30:00+00:00,2022-11-15,October 2022,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_11152022.htm,08:30 America/New_York
PPI_2022-12-09,PPI,2022-12-09 13:30:00+00:00,2022-12-09,November 2022,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_12092022.htm,08:30 America/New_York
PPI_2023-01-18,PPI,2023-01-18 13:30:00+00:00,2023-01-18,December 2022,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_01182023.htm,08:30 America/New_York
PPI_2023-02-16,PPI,2023-02-16 13:30:00+00:00,2023-02-16,January 2023,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_02162023.htm,08:30 America/New_York
PPI_2023-03-15,PPI,2023-03-15 12:30:00+00:00,2023-03-15,February 2023,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_03152023.htm,08:30 America/New_York
PPI_2023-04-13,PPI,2023-04-13 12:30:00+00:00,2023-04-13,March 2023,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_04132023.htm,08:30 America/New_York
